stationIdC,year,mon,day,hour,prs,winDAvg2mi,winSAvg2mi,tem,rhu,pre3h,date,city,station
53392,2024,1,1,0,857.8,335,0.3,-23.7,78,0,2024/1/1 0:00,张家口,康保
53392,2024,1,1,3,857.6,175,0.6,-12.1,85,0,2024/1/1 3:00,张家口,康保
53392,2024,1,1,6,855.9,217,1.4,-8.8,67,0,2024/1/1 6:00,张家口,康保
53392,2024,1,1,9,856.1,276,0.6,-12.3,72,0,2024/1/1 9:00,张家口,康保
53392,2024,1,1,12,856.4,147,1.4,-17.8,85,0,2024/1/1 12:00,张家口,康保
53392,2024,1,1,15,856.2,256,0.9,-17.4,84,0,2024/1/1 15:00,张家口,康保
53392,2024,1,1,18,856.1,245,1.3,-18.4,86,0,2024/1/1 18:00,张家口,康保
