column,type,trained,metric_primary,metric_secondary,fallback
Salad_Intake,regression,True,mse=3.73412,r2=0.2083,none
Social_Visits,regression,True,mse=0.01657,r2=0.0511,none
Recent_Stress_Events,regression,True,mse=0.22579,r2=0.0891,none
Phone_Use_Duration,regression,True,mse=0.11437,r2=0.1156,none
Skin_Color,regression,True,mse=0.19061,r2=0.1207,none
NO2_Air_2007,regression,True,mse=0.47331,r2=0.9427,none
Computer_Time,regression,True,mse=1.83010,r2=0.1338,none
Bowel_Screening,regression,True,mse=0.17538,r2=0.1949,none
Weight_Change_(1_Year),regression,True,mse=0.21421,r2=0.1316,none
Loneliness/Isolation,regression,True,mse=0.10941,r2=0.2875,none
Driving_Time,regression,True,mse=1.24548,r2=0.2583,none
Whole_Body_Water_Mass,regression,True,mse=0.02345,r2=0.9997,none
Basal_Metabolic_Rate,regression,True,mse=469.91901,r2=0.9997,none
Right_Leg_Impedance,regression,True,mse=21.39709,r2=0.9839,none
Left_Leg_Impedance,regression,True,mse=18.76451,r2=0.9853,none
Whole_Body_Fat-Free_Mass,regression,True,mse=0.02022,r2=0.9998,none
Right_Leg_Fat_Percentage,regression,True,mse=0.07534,r2=0.9993,none
Left_Arm_Impedance,regression,True,mse=30.00962,r2=0.9907,none
Right_Leg_Fat_Mass,regression,True,mse=0.00680,r2=0.9981,none
Right_Leg_Fat_Free_Mass,regression,True,mse=0.00192,r2=0.9995,none
Right_Leg_Predicted_Mass,regression,True,mse=0.00188,r2=0.9995,none
Whole_Body_Impedance,regression,True,mse=157.82494,r2=0.9803,none
Left_Leg_Fat_Percentage,regression,True,mse=0.07565,r2=0.9993,none
Right_Arm_Impedance,regression,True,mse=85.94955,r2=0.9723,none
Left_Leg_Fat_Mass,regression,True,mse=0.00534,r2=0.9985,none
Left_Leg_Fat-Free_Mass,regression,True,mse=0.00176,r2=0.9996,none
Left_Leg_Predicted_Mass,regression,True,mse=0.00150,r2=0.9996,none
Right_Arm_Fat_Percentage,regression,True,mse=0.16739,r2=0.9984,none
Right_Arm_Fat_Mass,regression,True,mse=0.00189,r2=0.9954,none
Right_Arm_Fat-Free_Mass,regression,True,mse=0.00138,r2=0.9980,none
Right_Arm_Predicted_Mass,regression,True,mse=0.00122,r2=0.9980,none
Left_Arm_Fat_Percentage,regression,True,mse=0.15265,r2=0.9986,none
Left_Arm_Fat_Mass,regression,True,mse=0.00200,r2=0.9961,none
Left_Arm_Fat-Free_Mass,regression,True,mse=0.00142,r2=0.9980,none
Height_At_10,regression,True,mse=0.11467,r2=0.2967,none
Left_Arm_Predicted_Mass,regression,True,mse=0.00128,r2=0.9980,none
Body_Fat_Percentage,regression,True,mse=0.04620,r2=0.9994,none
Reticulocyte_Percentage,regression,True,mse=0.07625,r2=0.9988,none
Trunk_Fat_Mass,regression,True,mse=0.03267,r2=0.9988,none
Trunk_Fat-Free_Mass,regression,True,mse=0.01580,r2=0.9996,none
Trunk_Predicted_Mass,regression,True,mse=0.00868,r2=0.9997,none
Miserableness,regression,True,mse=0.14343,r2=0.4137,none
Solarium_Use,regression,False,mse=18.99546,r2=-0.0101,median
Weekly_Walking_Days,regression,True,mse=0.00580,r2=0.7195,none
Other_Serious_Medical_Conditions,regression,True,mse=0.11604,r2=0.2884,none
Bread,regression,True,mse=60.18592,r2=0.2012,none
Whole_Body_Fat_Mass,regression,True,mse=0.06344,r2=0.9993,none
Body_Size_At_10,regression,True,mse=0.19814,r2=0.1080,none
Wheezing,regression,True,mse=0.11852,r2=0.2935,none
Fed-Up_Feelings,regression,True,mse=0.13092,r2=0.4578,none
Longstanding_Illness/Disability,regression,True,mse=0.12172,r2=0.4460,none
Mood_Swings,regression,True,mse=0.13213,r2=0.4663,none
Nervous_Feelings,regression,True,mse=0.10714,r2=0.4019,none
Worrier/Anxious_Feelings,regression,True,mse=0.15546,r2=0.3665,none
Guilty_Feelings,regression,True,mse=0.14841,r2=0.2760,none
Sensitivity_to_Hurt_Feelings,regression,True,mse=0.17205,r2=0.3037,none
Tiredness/Lethargy_Frequency,regression,True,mse=0.17287,r2=0.3053,none
Enzymatic_In_Urine,regression,True,mse=12236521.12770,r2=0.6405,none
Tanning_Ease,regression,True,mse=0.13398,r2=0.0575,none
Able_to_Confide,regression,True,mse=0.11438,r2=0.0904,none
Sodium_Urine,regression,True,mse=1092.01791,r2=0.4494,none
Potassium_Urine,regression,True,mse=462.58147,r2=0.5949,none
Unenthusiasm/Disinterest_Frequency,regression,True,mse=0.09237,r2=0.4486,none
Tense/Highly_Strung,regression,True,mse=0.09239,r2=0.3666,none
Risk-Taking_Behavior,regression,True,mse=0.16802,r2=0.1462,none
Suffering_from_Nerves,regression,True,mse=0.10314,r2=0.3780,none
Tenseness/Restlessness_Frequency,regression,True,mse=0.11827,r2=0.3879,none
Post-Embarrassment_Worry,regression,True,mse=0.16919,r2=0.3221,none
Depressed_Mood_Frequency,regression,True,mse=0.08407,r2=0.5371,none
WBC_Count,regression,True,mse=0.00073,r2=0.9958,none
RBC_Count,regression,True,mse=0.03964,r2=0.9969,none
Corpuscular_Haemoglobin_Concentration,regression,True,mse=0.51932,r2=0.4514,none
Haemoglobin_Concentration,regression,True,mse=0.00387,r2=0.9975,none
Mean_Corpuscular_Haemoglobin,regression,True,mse=0.13281,r2=0.9651,none
Haematocrit,regression,True,mse=0.27617,r2=0.9871,none
Mean_Corpuscular_Haemoglobin_Concentration,regression,True,mse=0.11281,r2=0.9101,none
Blood_Cell_Erythrocyte_Distribution_Width,regression,True,mse=31.01486,r2=0.9913,none
Platelet_Count,regression,True,mse=0.00003,r2=0.9858,none
Platelet_Crit,regression,True,mse=0.01272,r2=0.9890,none
Platelet_Thrombocyte_Volume,regression,True,mse=0.19092,r2=0.3061,none
Environment_Score,regression,True,mse=0.34719,r2=0.9291,none
Irritability,regression,True,mse=0.14319,r2=0.2874,none
Hearing_Difficulty,regression,True,mse=0.17787,r2=0.0649,none
Red_Blood_Cell_(Count),regression,True,mse=0.16398,r2=0.9785,none
Eosinophill_Percentage,regression,True,mse=0.02639,r2=0.9219,none
Lymphocyte_Percentage,regression,True,mse=0.17163,r2=0.9969,none
Neutrophill_Percentage,regression,True,mse=0.07561,r2=0.9781,none
Monocyte_Percentage,regression,True,mse=0.30818,r2=0.9958,none
Eosinophill_Count,regression,True,mse=0.00057,r2=0.9710,none
Platelet_Width,regression,True,mse=0.30995,r2=0.7349,none
Neutrophill_Count,regression,True,mse=0.00027,r2=0.8899,none
Lymphocyte_Count,regression,True,mse=0.00223,r2=0.9527,none
Monocyte_Count,regression,True,mse=0.04233,r2=0.9799,none
Basophill_Count,regression,True,mse=0.00009,r2=0.8739,none
Nucleated_Red_Blood_Cell_Percentage,regression,True,mse=0.01141,r2=0.9213,none
Weekly_Moderate_Activity_Days,regression,True,mse=0.01736,r2=0.8440,none
Weekly_Vigorous_Activity_Days,regression,True,mse=0.04184,r2=0.8211,none
Diastolic_BP,regression,True,mse=38.04323,r2=0.6319,none
Pulse_Rate,regression,True,mse=91.16690,r2=0.2794,none
Systolic_BP,regression,True,mse=133.03961,r2=0.6182,none
Basophill_Percentage,regression,True,mse=0.09672,r2=0.9015,none
Reticulocyte_Count,regression,True,mse=0.00004,r2=0.9773,none
High_Light_Scatter_Reticulocyte_Count,regression,True,mse=0.00000,r2=0.9821,none
Sphered_Cell_Volume,regression,True,mse=7.33223,r2=0.7418,none
Light_Scatter_Reticulocyte_Percentage,regression,True,mse=0.12540,r2=0.3288,none
Immature_Fraction,regression,True,mse=0.00002,r2=0.9941,none
Mean_Reticulocyte_Volume,regression,True,mse=19.21475,r2=0.6895,none
Alkaline_Phosphatase,regression,True,mse=507.44511,r2=0.2811,none
Cholesterol,regression,True,mse=0.02822,r2=0.9782,none
Cystatin_C,regression,True,mse=0.01332,r2=0.6313,none
Alanine_Aminotransferase,regression,True,mse=70.46189,r2=0.6845,none
Gamma_Glutamyltransferase,regression,True,mse=923.75392,r2=0.4866,none
Creatinine_Creatinine,regression,True,mse=112.35011,r2=0.6777,none
Urea_Urea,regression,True,mse=1.15129,r2=0.4171,none
Triglycerides_Triglycerides,regression,True,mse=0.27655,r2=0.7399,none
Urate_Urate,regression,True,mse=2878.89471,r2=0.5535,none
LDL_Cholesterol,regression,True,mse=0.01279,r2=0.9833,none
C_Protein,regression,True,mse=12.72532,r2=0.2974,none
Summer_Outdoors_Time,regression,True,mse=2.91764,r2=0.5099,none
Winter_Outdoors_Time,regression,True,mse=1.55315,r2=0.5726,none
Aspartate_Aminotransferase,regression,True,mse=42.55151,r2=0.6339,none
Total_Bilirubin,regression,True,mse=1.91629,r2=0.9018,none
Apolipoprotein_B,regression,True,mse=0.00312,r2=0.9448,none
Igf_1,regression,True,mse=24.56654,r2=0.2554,none
Haemoglobin_(Hba1C),regression,True,mse=16.14193,r2=0.6392,none
Snoring,regression,True,mse=0.20626,r2=0.1223,none
NOx_Air_2010,regression,True,mse=0.20355,r2=0.9439,none
PM2.5_Absorbance_2010,regression,True,mse=0.01840,r2=0.9772,none
PM10_Air_2010,regression,True,mse=0.02771,r2=0.9750,none
PM2.5_Air_2010,regression,True,mse=0.00660,r2=0.9099,none
Caffeine_Drink,regression,False,mse=0.02196,r2=0.0244,median
Inhaler_Use,regression,False,mse=0.00735,r2=0.0481,median
Facial_Ageing,regression,True,mse=0.18129,r2=0.0603,none
FVC,regression,True,mse=0.08923,r2=0.9174,none
PEF,regression,True,mse=4913.93520,r2=0.7044,none
FEV1,regression,True,mse=0.02576,r2=0.9588,none
Over_Speed_Driving,regression,True,mse=0.19525,r2=0.2133,none
Chronotype,regression,False,mse=0.22260,r2=0.0284,median
Garden_1000m,regression,True,mse=0.81392,r2=0.8715,none
Water_1000m,regression,True,mse=15.67364,r2=0.9709,none
Garden_300m,regression,True,mse=1.14739,r2=0.8690,none
Noise_Level,regression,True,mse=4.63175,r2=0.9901,none
Greenspace_300m,regression,True,mse=12.93868,r2=0.9407,none
Greenspace_1000m,regression,True,mse=5.34329,r2=0.9586,none
First_Sexual_Intercourse,regression,True,mse=11.86485,r2=0.1890,none
Crime_Score,regression,True,mse=26.45542,r2=0.8875,none
Education_Score,regression,True,mse=14.24937,r2=0.8606,none
Housing_Score,regression,True,mse=0.07317,r2=0.8805,none
