"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.54022,0.13523,-0.014054,2.5639e-20,0.51827,1.0172,0
-0.53134,0.27466,-0.016472,2.3409e-20,0.5522,1.0838,0
-0.5224,0.44564,-0.012323,-4.4042e-21,0.58741,1.1529,0
-0.51258,0.63191,-0.0022943,-1.4703e-20,0.62391,1.2246,0
-0.50128,0.81532,0.011703,-1.6483e-20,0.66178,1.2989,0
-0.48789,0.97919,0.026737,1.0655e-20,0.70105,1.376,0
-0.47214,1.1119,0.039935,3.8003e-20,0.74178,1.456,0
-0.45422,1.2085,0.049306,-3.0397e-21,0.78402,1.5389,0
-0.43467,1.2705,0.054045,-2.5831e-20,0.82784,1.6249,0
-0.4141,1.3037,0.054385,-2.6863e-20,0.87328,1.7142,0
-0.39306,1.3157,0.051227,-4.9885e-20,0.92041,1.8067,0
-0.37192,1.3138,0.045724,-3.5901e-20,0.96929,1.9027,0
-0.35094,1.3038,0.038968,3.1185e-20,1.02,2.0022,0
-0.33027,1.2897,0.031819,5.322e-20,1.0726,2.1054,0
-0.31001,1.2738,0.024872,1.2133e-20,1.1271,2.2125,0
-0.29022,1.2575,0.018492,-3.8521e-20,1.1837,2.3235,0
-0.27096,1.2413,0.012917,-6.8523e-20,1.2423,2.4387,0
-0.25238,1.2252,0.0079383,9.8156e-21,1.3032,2.5581,0
-0.23209,1.2084,0.0055723,5.4975e-20,1.3663,2.682,0
-0.57028,0.073993,-0.010192,-2.8403e-20,0.40929,0.98812,0
-0.57666,0,0,0,0.38268,0.92388,0
-0.5585,0.20473,-0.018784,4.0671e-21,0.43689,1.0547,0
-0.54781,0.38004,-0.014549,2.964e-20,0.46551,1.1238,0
-0.53638,0.57908,-0.00075684,-4.4049e-21,0.49519,1.1955,0
-0.52287,0.77939,0.019203,-2.2377e-20,0.52598,1.2698,0
-0.5068,0.96,0.041225,9.8228e-21,0.55791,1.3469,0
-0.48809,1.106,0.061114,3.1338e-20,0.59103,1.4269,0
-0.46718,1.211,0.075898,2.2909e-21,0.62538,1.5098,0
-0.44486,1.277,0.084395,7.6882e-21,0.66101,1.5958,0
-0.42195,1.311,0.086971,5.8636e-20,0.69795,1.685,0
-0.3991,1.3224,0.084902,-3.0469e-20,0.73628,1.7775,0
-0.3767,1.3195,0.079741,-1.2987e-19,0.77602,1.8735,0
-0.35492,1.3088,0.072867,-4.6361e-20,0.81724,1.973,0
-0.33385,1.2945,0.065306,6.3266e-20,0.86,2.0762,0
