"T","U:0","U:1","U:2","d","nuT","p","Points:0","Points:1","Points:2"
293.5,0.024792,0,0,0.0041667,7.1028e-05,9.0323,-2.5,-0.5,0
293.5,0.024792,0,0,0.0041667,7.1028e-05,9.0323,-2.5,0.5,0
296.38,0.038696,0.00091554,0,0.0041667,0.0001056,0.0091934,2.5,0.5,0
296.38,0.038696,-0.00091556,0,0.0041667,0.00010561,0.0091936,2.5,-0.5,0
350,0,0,0,0,0.00081307,6.8683,-1,-0.3,0
350,0,0,0,0,0.00066255,9.5242,-1,-0.2,0
350,0,0,0,0,0.00060513,8.8818,-1,-0.05,0
350,0,0,0,0,0.00060513,8.8818,-1,0.05,0
350,0,0,0,0,0.00066255,9.5242,-1,0.2,0
350,0,0,0,0,0.00081307,6.8684,-1,0.3,0
350,0,0,0,0,0.00064857,-0.2433,0,0.3,0
350,0,0,0,0,0.00050095,-0.096679,0,0.2,0
350,0,0,0,0,0.00050333,-0.014534,0,0.05,0
350,0,0,0,0,0.00050333,-0.01453,0,-0.05,0
350,0,0,0,0,0.00050095,-0.096681,0,-0.2,0
350,0,0,0,0,0.00064856,-0.2433,0,-0.3,0
293.5,0.95958,0,0,0.2,0.0075917,9.1052,-2.5,0.3,0
293.5,1.2596,0,0,0.3,0.0050685,9.116,-2.5,0.2,0
293.5,1.4846,0,0,0.45,0.0012534,9.1125,-2.5,0.05,0
293.5,1.4846,0,0,0.45,0.0012534,9.1125,-2.5,-0.05,0
293.5,1.2596,0,0,0.3,0.0050685,9.116,-2.5,-0.2,0
293.5,0.95958,0,0,0.2,0.0075917,9.1052,-2.5,-0.3,0
301.66,0.97499,0.011387,0,0.2,0.0054676,0,2.5,0.3,0
310.59,1.2279,0.0012697,0,0.3,0.0037363,0,2.5,0.2,0
321.12,1.4137,-0.0019613,0,0.45,0.00092456,0,2.5,0.05,0
321.12,1.4137,0.0019588,0,0.45,0.00092448,0,2.5,-0.05,0
310.59,1.2279,-0.0012712,0,0.3,0.0037363,0,2.5,-0.2,0
301.66,0.975,-0.011388,0,0.2,0.0054676,0,2.5,-0.3,0
293.5,0,0,0,0,0.00063154,7.6789,-1,0.5,0
293.72,0,0,0,0,0.00053372,0.93116,0,0.5,0
293.5,0,0,0,0,0.00063154,7.6789,-1,-0.5,0
293.72,0,0,0,0,0.00053372,0.93114,0,-0.5,0
293.5,0,0,0,0,0.00063154,7.6789,-1,0.5,0.1
293.5,0.024792,0,0,0.0041667,7.1028e-05,9.0323,-2.5,0.5,0.1
293.5,0.95958,0,0,0.2,0.0075917,9.1052,-2.5,0.3,0.1
350,0,0,0,0,0.00081307,6.8684,-1,0.3,0.1
293.5,1.2596,0,0,0.3,0.0050685,9.116,-2.5,0.2,0.1
350,0,0,0,0,0.00066255,9.5242,-1,0.2,0.1
293.5,1.4846,0,0,0.45,0.0012534,9.1125,-2.5,0.05,0.1
350,0,0,0,0,0.00060513,8.8818,-1,0.05,0.1
293.5,1.4846,0,0,0.45,0.0012534,9.1125,-2.5,-0.05,0.1
350,0,0,0,0,0.00060513,8.8818,-1,-0.05,0.1
293.5,1.2596,0,0,0.3,0.0050685,9.116,-2.5,-0.2,0.1
350,0,0,0,0,0.00066255,9.5242,-1,-0.2,0.1
293.5,0.95958,0,0,0.2,0.0075917,9.1052,-2.5,-0.3,0.1
350,0,0,0,0,0.00081307,6.8683,-1,-0.3,0.1
293.5,0.024792,0,0,0.0041667,7.1028e-05,9.0323,-2.5,-0.5,0.1
293.5,0,0,0,0,0.00063154,7.6789,-1,-0.5,0.1
293.72,0,0,0,0,0.00053372,0.93114,0,-0.5,0.1
350,0,0,0,0,0.00064856,-0.2433,0,-0.3,0.1
350,0,0,0,0,0.00050095,-0.096681,0,-0.2,0.1
350,0,0,0,0,0.00050333,-0.01453,0,-0.05,0.1
350,0,0,0,0,0.00050333,-0.014534,0,0.05,0.1
350,0,0,0,0,0.00050095,-0.096679,0,0.2,0.1
350,0,0,0,0,0.00064857,-0.2433,0,0.3,0.1
293.72,0,0,0,0,0.00053372,0.93116,0,0.5,0.1
301.66,0.97499,0.011387,0,0.2,0.0054676,0,2.5,0.3,0.1
296.38,0.038696,0.00091554,0,0.0041667,0.0001056,0.0091934,2.5,0.5,0.1
310.59,1.2279,0.0012697,0,0.3,0.0037363,0,2.5,0.2,0.1
321.12,1.4137,-0.0019613,0,0.45,0.00092456,0,2.5,0.05,0.1
321.12,1.4137,0.0019588,0,0.45,0.00092448,0,2.5,-0.05,0.1
310.59,1.2279,-0.0012712,0,0.3,0.0037363,0,2.5,-0.2,0.1
301.66,0.975,-0.011388,0,0.2,0.0054676,0,2.5,-0.3,0.1
296.38,0.038696,-0.00091556,0,0.0041667,0.00010561,0.0091936,2.5,-0.5,0.1
293.5,0,0,0,0,6.9733e-05,9.0365,-2.48,-0.5,0
293.5,0,0,0,0,6.8727e-05,9.0432,-2.46,-0.5,0
293.5,0,0,0,0,6.9464e-05,9.0492,-2.44,-0.5,0
293.5,0,0,0,0,7.0733e-05,9.0553,-2.42,-0.5,0
293.5,0,0,0,0,7.246e-05,9.0603,-2.4,-0.5,0
293.5,0,0,0,0,7.4319e-05,9.0645,-2.38,-0.5,0
293.5,0,0,0,0,7.6201e-05,9.0676,-2.36,-0.5,0
293.5,0,0,0,0,7.8011e-05,9.0699,-2.34,-0.5,0
293.5,0,0,0,0,7.9707e-05,9.0713,-2.32,-0.5,0
293.5,0,0,0,0,8.1269e-05,9.0721,-2.3,-0.5,0
293.5,0,0,0,0,8.2692e-05,9.0722,-2.28,-0.5,0
293.5,0,0,0,0,8.3982e-05,9.0719,-2.26,-0.5,0
293.5,0,0,0,0,8.5146e-05,9.0711,-2.24,-0.5,0
293.5,0,0,0,0,8.6196e-05,9.07,-2.22,-0.5,0
293.5,0,0,0,0,8.7142e-05,9.0686,-2.2,-0.5,0
293.5,0,0,0,0,8.7996e-05,9.067,-2.18,-0.5,0
293.5,0,0,0,0,8.8768e-05,9.0651,-2.16,-0.5,0
293.5,0,0,0,0,8.9468e-05,9.0631,-2.14,-0.5,0
293.5,0,0,0,0,9.0104e-05,9.0609,-2.12,-0.5,0
293.5,0,0,0,0,9.0685e-05,9.0586,-2.1,-0.5,0
293.5,0,0,0,0,9.1217e-05,9.0561,-2.08,-0.5,0
293.5,0,0,0,0,9.1706e-05,9.0536,-2.06,-0.5,0
293.5,0,0,0,0,9.2159e-05,9.051,-2.04,-0.5,0
293.5,0,0,0,0,9.258e-05,9.0483,-2.02,-0.5,0
293.5,0,0,0,0,9.2974e-05,9.0455,-2,-0.5,0
293.5,0,0,0,0,9.3345e-05,9.0427,-1.98,-0.5,0
293.5,0,0,0,0,9.3698e-05,9.0398,-1.96,-0.5,0
293.5,0,0,0,0,9.4036e-05,9.0368,-1.94,-0.5,0
293.5,0,0,0,0,9.4362e-05,9.0338,-1.92,-0.5,0
293.5,0,0,0,0,9.4681e-05,9.0308,-1.9,-0.5,0
293.5,0,0,0,0,9.4996e-05,9.0277,-1.88,-0.5,0
293.5,0,0,0,0,9.5311e-05,9.0245,-1.86,-0.5,0
293.5,0,0,0,0,9.563e-05,9.0213,-1.84,-0.5,0
293.5,0,0,0,0,9.5956e-05,9.0181,-1.82,-0.5,0
293.5,0,0,0,0,9.6294e-05,9.0148,-1.8,-0.5,0
293.5,0,0,0,0,9.6648e-05,9.0114,-1.78,-0.5,0
293.5,0,0,0,0,9.7025e-05,9.008,-1.76,-0.5,0
293.5,0,0,0,0,9.7428e-05,9.0046,-1.74,-0.5,0
293.5,0,0,0,0,9.7866e-05,9.001,-1.72,-0.5,0
293.5,0,0,0,0,9.8345e-05,8.9974,-1.7,-0.5,0
293.5,0,0,0,0,9.8873e-05,8.9937,-1.68,-0.5,0
293.5,0,0,0,0,9.9459e-05,8.9898,-1.66,-0.5,0
293.5,0,0,0,0,0.00010012,8.9859,-1.64,-0.5,0
293.5,0,0,0,0,0.00010085,8.9818,-1.62,-0.5,0
293.5,0,0,0,0,0.00010169,8.9776,-1.6,-0.5,0
293.5,0,0,0,0,0.00010264,8.9732,-1.58,-0.5,0
293.5,0,0,0,0,0.00010372,8.9686,-1.56,-0.5,0
293.5,0,0,0,0,0.00010496,8.9638,-1.54,-0.5,0
293.5,0,0,0,0,0.00010638,8.9586,-1.52,-0.5,0
293.5,0,0,0,0,0.00010801,8.9532,-1.5,-0.5,0
293.5,0,0,0,0,0.00010989,8.9474,-1.48,-0.5,0
293.5,0,0,0,0,0.00011207,8.9411,-1.46,-0.5,0
293.5,0,0,0,0,0.00011459,8.9344,-1.44,-0.5,0
293.5,0,0,0,0,0.00011751,8.927,-1.42,-0.5,0
293.5,0,0,0,0,0.00012089,8.9189,-1.4,-0.5,0
293.5,0,0,0,0,0.00012481,8.9099,-1.38,-0.5,0
293.5,0,0,0,0,0.00012935,8.9,-1.36,-0.5,0
293.5,0,0,0,0,0.00013462,8.8889,-1.34,-0.5,0
293.5,0,0,0,0,0.00014072,8.8765,-1.32,-0.5,0
293.5,0,0,0,0,0.00014781,8.8625,-1.3,-0.5,0
293.5,0,0,0,0,0.00015607,8.8467,-1.28,-0.5,0
293.5,0,0,0,0,0.00016572,8.8288,-1.26,-0.5,0
293.5,0,0,0,0,0.00017711,8.8085,-1.24,-0.5,0
293.5,0,0,0,0,0.00019069,8.7853,-1.22,-0.5,0
293.5,0,0,0,0,0.00020708,8.7586,-1.2,-0.5,0
293.5,0,0,0,0,0.00022713,8.7274,-1.18,-0.5,0
293.5,0,0,0,0,0.00025187,8.6901,-1.16,-0.5,0
293.5,0,0,0,0,0.00028239,8.6442,-1.14,-0.5,0
293.5,0,0,0,0,0.00031954,8.5858,-1.12,-0.5,0
293.5,0,0,0,0,0.00036369,8.5098,-1.1,-0.5,0
293.5,0,0,0,0,0.00041425,8.4099,-1.08,-0.5,0
293.5,0,0,0,0,0.00046959,8.28,-1.06,-0.5,0
293.5,0,0,0,0,0.00052681,8.1149,-1.04,-0.5,0
293.5,0,0,0,0,0.00058218,7.9136,-1.02,-0.5,0
293.5,0,0,0,0,0.00067108,7.4194,-0.98,-0.5,0
293.5,0,0,0,0,0.00069909,7.1485,-0.96,-0.5,0
293.5,0,0,0,0,0.0007158,6.8783,-0.94,-0.5,0
293.5,0,0,0,0,0.00072276,6.6191,-0.92,-0.5,0
293.5,0,0,0,0,0.00072228,6.3779,-0.9,-0.5,0
293.5,0,0,0,0,0.0007165,6.158,-0.88,-0.5,0
293.5,0,0,0,0,0.00070727,5.9585,-0.86,-0.5,0
293.51,0,0,0,0,0.00069617,5.7775,-0.84,-0.5,0
293.51,0,0,0,0,0.00068437,5.6121,-0.82,-0.5,0
293.51,0,0,0,0,0.00067266,5.4596,-0.8,-0.5,0
293.51,0,0,0,0,0.00066158,5.3175,-0.78,-0.5,0
293.51,0,0,0,0,0.00065143,5.1835,-0.76,-0.5,0
293.51,0,0,0,0,0.00064239,5.0555,-0.74,-0.5,0
293.52,0,0,0,0,0.0006345,4.9321,-0.72,-0.5,0
293.52,0,0,0,0,0.00062775,4.812,-0.7,-0.5,0
293.52,0,0,0,0,0.00062207,4.6943,-0.68,-0.5,0
293.52,0,0,0,0,0.00061737,4.5781,-0.66,-0.5,0
293.53,0,0,0,0,0.00061356,4.4629,-0.64,-0.5,0
293.53,0,0,0,0,0.00061051,4.3484,-0.62,-0.5,0
293.53,0,0,0,0,0.00060812,4.234,-0.6,-0.5,0
293.53,0,0,0,0,0.00060629,4.1198,-0.58,-0.5,0
293.54,0,0,0,0,0.00060492,4.0055,-0.56,-0.5,0
293.54,0,0,0,0,0.00060393,3.891,-0.54,-0.5,0
293.54,0,0,0,0,0.00060324,3.7762,-0.52,-0.5,0
293.55,0,0,0,0,0.00060279,3.6611,-0.5,-0.5,0
293.55,0,0,0,0,0.00060251,3.5457,-0.48,-0.5,0
293.56,0,0,0,0,0.00060236,3.4301,-0.46,-0.5,0
293.56,0,0,0,0,0.00060231,3.3141,-0.44,-0.5,0
293.57,0,0,0,0,0.00060231,3.198,-0.42,-0.5,0
293.57,0,0,0,0,0.00060235,3.0817,-0.4,-0.5,0
293.58,0,0,0,0,0.00060239,2.9652,-0.38,-0.5,0
293.58,0,0,0,0,0.00060242,2.8486,-0.36,-0.5,0
293.59,0,0,0,0,0.00060241,2.732,-0.34,-0.5,0
293.59,0,0,0,0,0.00060236,2.6153,-0.32,-0.5,0
293.6,0,0,0,0,0.00060224,2.4987,-0.3,-0.5,0
293.6,0,0,0,0,0.00060202,2.3823,-0.28,-0.5,0
293.61,0,0,0,0,0.00060167,2.2661,-0.26,-0.5,0
293.62,0,0,0,0,0.00060115,2.1503,-0.24,-0.5,0
293.63,0,0,0,0,0.0006004,2.035,-0.22,-0.5,0
293.63,0,0,0,0,0.00059934,1.9204,-0.2,-0.5,0
293.64,0,0,0,0,0.00059787,1.8068,-0.18,-0.5,0
293.65,0,0,0,0,0.00059585,1.6946,-0.16,-0.5,0
293.66,0,0,0,0,0.00059311,1.5843,-0.14,-0.5,0
293.67,0,0,0,0,0.00058943,1.4764,-0.12,-0.5,0
293.67,0,0,0,0,0.00058455,1.3717,-0.1,-0.5,0
293.68,0,0,0,0,0.00057821,1.2712,-0.08,-0.5,0
293.69,0,0,0,0,0.00057011,1.1759,-0.06,-0.5,0
293.7,0,0,0,0,0.00056003,1.0868,-0.04,-0.5,0
293.71,0,0,0,0,0.00054787,1.005,-0.02,-0.5,0
293.74,0,0,0,0,0.00051785,0.86557,0.02,-0.5,0
293.75,0,0,0,0,0.00050069,0.80803,0.04,-0.5,0
293.76,0,0,0,0,0.00048265,0.75785,0.06,-0.5,0
293.77,0,0,0,0,0.00046399,0.71444,0.08,-0.5,0
293.78,0,0,0,0,0.00044494,0.67712,0.1,-0.5,0
293.8,0,0,0,0,0.00042569,0.6453,0.12,-0.5,0
293.81,0,0,0,0,0.0004065,0.61838,0.14,-0.5,0
293.83,0,0,0,0,0.0003876,0.59574,0.16,-0.5,0
293.84,0,0,0,0,0.00036922,0.57677,0.18,-0.5,0
293.86,0,0,0,0,0.00035156,0.56088,0.2,-0.5,0
293.87,0,0,0,0,0.00033476,0.54753,0.22,-0.5,0
293.89,0,0,0,0,0.00031893,0.53623,0.24,-0.5,0
293.9,0,0,0,0,0.00030412,0.52657,0.26,-0.5,0
293.92,0,0,0,0,0.00029036,0.51821,0.28,-0.5,0
293.94,0,0,0,0,0.00027763,0.51085,0.3,-0.5,0
293.95,0,0,0,0,0.00026589,0.50426,0.32,-0.5,0
293.97,0,0,0,0,0.0002551,0.49826,0.34,-0.5,0
293.99,0,0,0,0,0.0002452,0.4927,0.36,-0.5,0
294.01,0,0,0,0,0.00023611,0.48746,0.38,-0.5,0
294.03,0,0,0,0,0.00022778,0.48245,0.4,-0.5,0
294.05,0,0,0,0,0.00022014,0.47761,0.42,-0.5,0
294.06,0,0,0,0,0.00021314,0.47288,0.44,-0.5,0
294.08,0,0,0,0,0.0002067,0.46821,0.46,-0.5,0
294.1,0,0,0,0,0.00020079,0.46359,0.48,-0.5,0
294.12,0,0,0,0,0.00019534,0.45899,0.5,-0.5,0
294.14,0,0,0,0,0.00019032,0.45438,0.52,-0.5,0
294.16,0,0,0,0,0.00018569,0.44976,0.54,-0.5,0
294.18,0,0,0,0,0.00018141,0.44511,0.56,-0.5,0
294.2,0,0,0,0,0.00017744,0.44044,0.58,-0.5,0
294.22,0,0,0,0,0.00017376,0.43574,0.6,-0.5,0
294.24,0,0,0,0,0.00017035,0.43101,0.62,-0.5,0
294.26,0,0,0,0,0.00016717,0.42624,0.64,-0.5,0
294.28,0,0,0,0,0.0001642,0.42144,0.66,-0.5,0
294.3,0,0,0,0,0.00016144,0.41661,0.68,-0.5,0
294.32,0,0,0,0,0.00015885,0.41175,0.7,-0.5,0
294.34,0,0,0,0,0.00015643,0.40685,0.72,-0.5,0
294.36,0,0,0,0,0.00015417,0.40194,0.74,-0.5,0
294.39,0,0,0,0,0.00015204,0.397,0.76,-0.5,0
294.41,0,0,0,0,0.00015004,0.39203,0.78,-0.5,0
294.43,0,0,0,0,0.00014815,0.38705,0.8,-0.5,0
294.45,0,0,0,0,0.00014638,0.38205,0.82,-0.5,0
294.47,0,0,0,0,0.0001447,0.37703,0.84,-0.5,0
294.49,0,0,0,0,0.00014311,0.372,0.86,-0.5,0
294.51,0,0,0,0,0.00014161,0.36696,0.88,-0.5,0
294.53,0,0,0,0,0.00014019,0.36191,0.9,-0.5,0
294.56,0,0,0,0,0.00013884,0.35686,0.92,-0.5,0
294.58,0,0,0,0,0.00013756,0.35179,0.94,-0.5,0
294.6,0,0,0,0,0.00013634,0.34673,0.96,-0.5,0
294.62,0,0,0,0,0.00013518,0.34166,0.98,-0.5,0
294.64,0,0,0,0,0.00013408,0.33659,1,-0.5,0
294.66,0,0,0,0,0.00013302,0.33152,1.02,-0.5,0
294.69,0,0,0,0,0.00013201,0.32645,1.04,-0.5,0
294.71,0,0,0,0,0.00013104,0.32139,1.06,-0.5,0
294.73,0,0,0,0,0.00013012,0.31633,1.08,-0.5,0
294.75,0,0,0,0,0.00012923,0.31128,1.1,-0.5,0
294.78,0,0,0,0,0.00012838,0.30623,1.12,-0.5,0
294.8,0,0,0,0,0.00012756,0.30119,1.14,-0.5,0
294.82,0,0,0,0,0.00012677,0.29616,1.16,-0.5,0
294.84,0,0,0,0,0.00012601,0.29114,1.18,-0.5,0
294.86,0,0,0,0,0.00012528,0.28613,1.2,-0.5,0
294.89,0,0,0,0,0.00012457,0.28113,1.22,-0.5,0
294.91,0,0,0,0,0.00012389,0.27614,1.24,-0.5,0
294.93,0,0,0,0,0.00012323,0.27117,1.26,-0.5,0
294.96,0,0,0,0,0.0001226,0.2662,1.28,-0.5,0
294.98,0,0,0,0,0.00012198,0.26125,1.3,-0.5,0
295,0,0,0,0,0.00012138,0.25632,1.32,-0.5,0
295.02,0,0,0,0,0.0001208,0.2514,1.34,-0.5,0
295.05,0,0,0,0,0.00012023,0.24649,1.36,-0.5,0
295.07,0,0,0,0,0.00011969,0.2416,1.38,-0.5,0
295.09,0,0,0,0,0.00011915,0.23672,1.4,-0.5,0
295.12,0,0,0,0,0.00011863,0.23186,1.42,-0.5,0
295.14,0,0,0,0,0.00011813,0.22701,1.44,-0.5,0
295.16,0,0,0,0,0.00011764,0.22218,1.46,-0.5,0
295.18,0,0,0,0,0.00011716,0.21736,1.48,-0.5,0
295.21,0,0,0,0,0.00011669,0.21257,1.5,-0.5,0
295.23,0,0,0,0,0.00011623,0.20778,1.52,-0.5,0
295.25,0,0,0,0,0.00011578,0.20302,1.54,-0.5,0
295.28,0,0,0,0,0.00011535,0.19827,1.56,-0.5,0
295.3,0,0,0,0,0.00011492,0.19354,1.58,-0.5,0
295.32,0,0,0,0,0.0001145,0.18883,1.6,-0.5,0
295.35,0,0,0,0,0.00011409,0.18413,1.62,-0.5,0
295.37,0,0,0,0,0.00011369,0.17945,1.64,-0.5,0
295.39,0,0,0,0,0.0001133,0.17479,1.66,-0.5,0
295.42,0,0,0,0,0.00011292,0.17015,1.68,-0.5,0
295.44,0,0,0,0,0.00011254,0.16552,1.7,-0.5,0
295.47,0,0,0,0,0.00011217,0.16091,1.72,-0.5,0
295.49,0,0,0,0,0.00011181,0.15633,1.74,-0.5,0
295.51,0,0,0,0,0.00011145,0.15176,1.76,-0.5,0
295.54,0,0,0,0,0.0001111,0.1472,1.78,-0.5,0
295.56,0,0,0,0,0.00011076,0.14267,1.8,-0.5,0
295.58,0,0,0,0,0.00011042,0.13816,1.82,-0.5,0
295.61,0,0,0,0,0.00011009,0.13367,1.84,-0.5,0
295.63,0,0,0,0,0.00010977,0.1292,1.86,-0.5,0
295.65,0,0,0,0,0.00010945,0.12474,1.88,-0.5,0
295.68,0,0,0,0,0.00010913,0.12031,1.9,-0.5,0
295.7,0,0,0,0,0.00010883,0.1159,1.92,-0.5,0
295.73,0,0,0,0,0.00010853,0.11152,1.94,-0.5,0
295.75,0,0,0,0,0.00010823,0.10715,1.96,-0.5,0
295.77,0,0,0,0,0.00010794,0.1028,1.98,-0.5,0
295.8,0,0,0,0,0.00010766,0.09848,2,-0.5,0
295.82,0,0,0,0,0.00010738,0.09418,2.02,-0.5,0
295.85,0,0,0,0,0.00010711,0.089903,2.04,-0.5,0
295.87,0,0,0,0,0.00010684,0.085649,2.06,-0.5,0
295.89,0,0,0,0,0.00010658,0.081419,2.08,-0.5,0
295.92,0,0,0,0,0.00010632,0.077213,2.1,-0.5,0
295.94,0,0,0,0,0.00010607,0.073032,2.12,-0.5,0
295.97,0,0,0,0,0.00010582,0.068875,2.14,-0.5,0
295.99,0,0,0,0,0.00010557,0.064744,2.16,-0.5,0
296.01,0,0,0,0,0.00010533,0.060639,2.18,-0.5,0
296.04,0,0,0,0,0.00010509,0.056561,2.2,-0.5,0
296.06,0,0,0,0,0.00010485,0.052513,2.22,-0.5,0
296.09,0,0,0,0,0.0001046,0.048496,2.24,-0.5,0
296.11,0,0,0,0,0.00010434,0.044517,2.26,-0.5,0
296.13,0,0,0,0,0.00010407,0.040583,2.28,-0.5,0
296.16,0,0,0,0,0.00010377,0.036707,2.3,-0.5,0
296.18,0,0,0,0,0.00010343,0.032909,2.32,-0.5,0
296.21,0,0,0,0,0.00010305,0.029218,2.34,-0.5,0
296.23,0,0,0,0,0.0001026,0.025692,2.36,-0.5,0
296.25,0,0,0,0,0.00010208,0.022364,2.38,-0.5,0
296.28,0,0,0,0,0.00010151,0.019422,2.4,-0.5,0
296.3,0,0,0,0,0.00010089,0.016705,2.42,-0.5,0
296.33,0,0,0,0,0.00010057,0.015033,2.44,-0.5,0
296.35,0,0,0,0,0.00010029,0.012487,2.46,-0.5,0
296.37,0,0,0,0,0.0001028,0.014303,2.48,-0.5,0
296.38,0.14477,-0.0049122,0,0.016667,0.00046062,0,2.5,-0.48333,0
296.42,0.27049,-0.010742,0,0.033333,0.0013705,0,2.5,-0.46667,0
296.5,0.37914,-0.015403,0,0.05,0.0025639,0,2.5,-0.45,0
296.64,0.47301,-0.018446,0,0.066667,0.0038631,0,2.5,-0.43333,0
296.87,0.55464,-0.020042,0,0.083333,0.0051844,0,2.5,-0.41667,0
297.18,0.62634,-0.020514,0,0.1,0.0064004,0,2.5,-0.4,0
297.6,0.69132,-0.019979,0,0.11667,0.0067703,0,2.5,-0.38333,0
298.14,0.7529,-0.018736,0,0.13333,0.006468,0,2.5,-0.36667,0
298.81,0.81219,-0.017152,0,0.15,0.0062284,0,2.5,-0.35,0
299.62,0.869,-0.015316,0,0.16667,0.0059809,0,2.5,-0.33333,0
300.57,0.92329,-0.013369,0,0.18333,0.0057279,0,2.5,-0.31667,0
302.89,1.0241,-0.0094334,0,0.21667,0.0051992,0,2.5,-0.28333,0
304.26,1.0704,-0.0075492,0,0.23333,0.0049224,0,2.5,-0.26667,0
305.74,1.1141,-0.0057673,0,0.25,0.0046369,0,2.5,-0.25,0
307.32,1.1549,-0.0041139,0,0.26667,0.0043436,0,2.5,-0.23333,0
308.94,1.1928,-0.0026098,0,0.28333,0.004043,0,2.5,-0.21667,0
312.22,1.2601,-0.00011267,0,0.31667,0.0034241,0,2.5,-0.18333,0
313.78,1.2894,0.00085331,0,0.33333,0.0031075,0,2.5,-0.16667,0
315.25,1.3157,0.0016188,0,0.35,0.0027886,0,2.5,-0.15,0
316.59,1.3392,0.0021788,0,0.36667,0.0024694,0,2.5,-0.13333,0
317.8,1.3597,0.0025302,0,0.38333,0.0021517,0,2.5,-0.11667,0
318.85,1.3773,0.0026746,0,0.4,0.0018373,0,2.5,-0.1,0
319.76,1.3922,0.0026183,0,0.41667,0.0015275,0,2.5,-0.083333,0
320.52,1.4043,0.0023734,0,0.43333,0.0012232,0,2.5,-0.066667,0
321.56,1.4204,0.0014007,0,0.46667,0.0006311,0,2.5,-0.033333,0
321.83,1.4245,0.00073248,0,0.48333,0.00035222,0,2.5,-0.016667,0
321.92,1.4259,-1.285e-06,0,0.49167,0.00021873,0,2.5,-1.3287e-13,0
321.83,1.4245,-0.00073504,0,0.48333,0.00035229,0,2.5,0.016667,0
321.56,1.4204,-0.0014032,0,0.46667,0.00063118,0,2.5,0.033333,0
320.52,1.4043,-0.0023758,0,0.43333,0.0012233,0,2.5,0.066667,0
319.76,1.3922,-0.0026206,0,0.41667,0.0015276,0,2.5,0.083333,0
318.85,1.3773,-0.0026768,0,0.4,0.0018374,0,2.5,0.1,0
317.8,1.3597,-0.0025323,0,0.38333,0.0021518,0,2.5,0.11667,0
316.59,1.3391,-0.0021807,0,0.36667,0.0024695,0,2.5,0.13333,0
315.25,1.3157,-0.0016207,0,0.35,0.0027886,0,2.5,0.15,0
313.78,1.2894,-0.00085503,0,0.33333,0.0031076,0,2.5,0.16667,0
312.22,1.2601,0.00011106,0,0.31667,0.0034241,0,2.5,0.18333,0
308.94,1.1928,0.0026084,0,0.28333,0.0040431,0,2.5,0.21667,0
307.32,1.1549,0.0041126,0,0.26667,0.0043436,0,2.5,0.23333,0
305.74,1.114,0.0057661,0,0.25,0.004637,0,2.5,0.25,0
304.26,1.0704,0.0075481,0,0.23333,0.0049224,0,2.5,0.26667,0
302.89,1.0241,0.0094324,0,0.21667,0.0051992,0,2.5,0.28333,0
300.57,0.92328,0.013368,0,0.18333,0.0057279,0,2.5,0.31667,0
299.62,0.86899,0.015315,0,0.16667,0.0059808,0,2.5,0.33333,0
298.81,0.81218,0.017152,0,0.15,0.0062284,0,2.5,0.35,0
298.14,0.75289,0.018736,0,0.13333,0.006468,0,2.5,0.36667,0
297.6,0.69132,0.019979,0,0.11667,0.0067702,0,2.5,0.38333,0
297.18,0.62634,0.020513,0,0.1,0.0064003,0,2.5,0.4,0
296.87,0.55463,0.020042,0,0.083333,0.0051844,0,2.5,0.41667,0
296.64,0.473,0.018445,0,0.066667,0.003863,0,2.5,0.43333,0
296.5,0.37914,0.015402,0,0.05,0.0025638,0,2.5,0.45,0
296.42,0.27049,0.010742,0,0.033333,0.0013704,0,2.5,0.46667,0
296.38,0.14476,0.0049121,0,0.016667,0.00046061,0,2.5,0.48333,0
296.37,0,0,0,0,0.0001028,0.014303,2.48,0.5,0
296.35,0,0,0,0,0.00010029,0.012487,2.46,0.5,0
296.33,0,0,0,0,0.00010057,0.015033,2.44,0.5,0
296.3,0,0,0,0,0.00010089,0.016705,2.42,0.5,0
296.28,0,0,0,0,0.00010151,0.019421,2.4,0.5,0
296.26,0,0,0,0,0.00010207,0.022363,2.38,0.5,0
296.23,0,0,0,0,0.0001026,0.025692,2.36,0.5,0
296.21,0,0,0,0,0.00010305,0.029218,2.34,0.5,0
296.18,0,0,0,0,0.00010343,0.032909,2.32,0.5,0
296.16,0,0,0,0,0.00010377,0.036706,2.3,0.5,0
296.13,0,0,0,0,0.00010407,0.040583,2.28,0.5,0
296.11,0,0,0,0,0.00010434,0.044517,2.26,0.5,0
296.09,0,0,0,0,0.0001046,0.048496,2.24,0.5,0
296.06,0,0,0,0,0.00010485,0.052513,2.22,0.5,0
296.04,0,0,0,0,0.00010509,0.056561,2.2,0.5,0
296.01,0,0,0,0,0.00010533,0.060639,2.18,0.5,0
295.99,0,0,0,0,0.00010557,0.064744,2.16,0.5,0
295.97,0,0,0,0,0.00010582,0.068875,2.14,0.5,0
295.94,0,0,0,0,0.00010607,0.073032,2.12,0.5,0
295.92,0,0,0,0,0.00010632,0.077213,2.1,0.5,0
295.89,0,0,0,0,0.00010658,0.081419,2.08,0.5,0
295.87,0,0,0,0,0.00010684,0.085649,2.06,0.5,0
295.85,0,0,0,0,0.00010711,0.089903,2.04,0.5,0
295.82,0,0,0,0,0.00010738,0.09418,2.02,0.5,0
295.8,0,0,0,0,0.00010766,0.09848,2,0.5,0
