"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.4669,0,0,0,82,0.70711,0.70711,0
-0.45507,0.0055153,0.045456,-4.2487e-20,87,0.85936,0.85936,0
-0.45296,0.2141,0.01875,2.1068e-20,92,0.89178,1.0442,0
-0.44758,0.74453,0.00079756,2.5572e-21,101,1.2866,1.2866,0
-0.38915,1.3033,-0.037432,-1.4413e-20,112,1.5316,1.7937,0
-0.30997,1.2822,-0.076037,-5.3372e-21,120,1.8605,2.1789,0
-0.47457,0.095817,0.0092092,-4.6362e-21,126,0.71472,0.98382,0
-0.50766,0,0,0,145,0.5225,0.85264,0
-0.47364,0.46724,-0.00093167,-2.618e-20,149,0.71792,1.1717,0
-0.41089,1.2666,0.0412,-7.0143e-20,155,1.0047,1.6399,0
-0.50403,0.25913,-0.0095984,2.2001e-20,168,0.5522,1.0838,0
-0.49801,0.76757,0.028115,-1.8733e-20,191,0.52598,1.2698,0
-0.57459,0,0,0,208,0.30902,0.95106,0
-0.54052,0.4817,0.003709,5.043e-20,210,0.37591,1.1568,0
-0.41719,1.3218,0.13181,1.2192e-20,216,0.5338,1.6426,0
-0.55908,0.60236,0.027724,8.3781e-20,231,0.28397,1.1826,0
-0.51768,1.0314,0.10476,-4.8996e-20,233,0.32087,1.3362,0
-0.38045,1.3373,0.16074,-7.2037e-20,238,0.42578,1.7727,0
-0.61137,0.55419,0.052687,-1.1917e-20,272,0.089562,1.1377,0
-0.55753,1.0493,0.16963,1.5836e-20,274,0.1015,1.289,0
-0.65858,0,0,0,292,0,1,0
-0.38083,0,0,0,313,1,0,0
-0.39975,-0.028821,0.23261,-3.0787e-21,319,1.212,0.095424,0
-0.38606,-0.042254,0.23303,-2.1288e-20,320,1.2925,0,0
-0.39235,-0.07706,0.22949,-5.0841e-20,324,1.4555,0,0
-0.41029,-0.061846,0.24989,1.5424e-20,325,1.4519,0.11435,0
-0.44348,-0.089388,0.18103,4.4736e-20,333,1.8155,0.14304,0
-0.43384,-0.16092,0.067417,1.1864e-20,338,2.1297,0,0
-0.42671,-0.14652,-0.21698,-1.6818e-20,348,2.7283,0,0
-0.4136,0,0,0,355,0.98769,0.15643,0
