"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.4239,0,0,0,82,0.70711,0.70711,0
-0.4194,0.019745,0.019449,-2.8365e-20,87,0.85936,0.85936,0
-0.42085,0.20221,-0.0087418,1.9393e-20,92,0.89178,1.0442,0
-0.38653,0.60788,-0.056784,-2.557e-20,101,1.2866,1.2866,0
-0.27913,1.1387,-0.0062998,-3.0788e-20,112,1.5316,1.7937,0
-0.19643,1.1706,0.019174,-6.6809e-22,120,1.8605,2.1789,0
-0.43407,0.09953,-0.001065,3.2126e-22,126,0.71472,0.98382,0
-0.45912,0,0,0,145,0.5225,0.85264,0
-0.43031,0.41853,-0.011121,-1.3985e-20,149,0.71792,1.1717,0
-0.34715,1.1431,0.044697,-1.0122e-19,155,1.0047,1.6399,0
-0.45327,0.24012,-0.015131,2.3249e-20,168,0.5522,1.0838,0
-0.44274,0.68873,0.022643,-2.3309e-20,191,0.52598,1.2698,0
-0.50861,0,0,0,208,0.30902,0.95106,0
-0.47781,0.43817,5.4127e-05,3.8424e-20,210,0.37591,1.1568,0
-0.36095,1.2308,0.13914,1.2774e-20,216,0.5338,1.6426,0
-0.49049,0.54846,0.02359,6.7602e-20,231,0.28397,1.1826,0
-0.45297,0.94113,0.099476,-4.3585e-20,233,0.32087,1.3362,0
-0.32523,1.2604,0.17262,-6.8705e-20,238,0.42578,1.7727,0
-0.53026,0.50977,0.04799,3.8438e-21,272,0.089562,1.1377,0
-0.48255,0.96637,0.16058,1.7733e-20,274,0.1015,1.289,0
-0.56964,0,0,0,292,0,1,0
-0.35863,0,0,0,313,1,0,0
-0.36117,-0.029076,-0.16401,-6.8705e-21,319,1.212,0.095424,0
-0.36287,-0.042722,-0.22076,6.9982e-22,320,1.2925,0,0
-0.36647,-0.076194,-0.26481,1.2576e-21,324,1.4555,0,0
-0.36592,-0.091249,-0.23881,1.0573e-20,325,1.4519,0.11435,0
-0.37732,-0.16182,-0.30023,7.4325e-21,333,1.8155,0.14304,0
-0.40608,-0.13623,-0.32447,2.2351e-21,338,2.1297,0,0
-0.45366,-0.077493,-0.18794,4.5189e-21,348,2.7283,0,0
-0.35443,0,0,0,355,0.98769,0.15643,0
-0.37039,-0.21574,-0.30935,-1.2236e-20,367,2.1071,0.33402,0
-0.36479,-0.03432,-0.10132,6.6415e-21,378,1.1826,0.28397,0
-0.36659,-0.056455,-0.12797,6.511e-21,379,1.258,0.30208,0
-0.36989,-0.10108,-0.17132,1.4448e-22,381,1.4172,0.34035,0
-0.37152,-0.1366,-0.21473,-1.7813e-20,406,1.7344,0.56364,0
-0.33187,-0.13444,-0.27094,1.0228e-21,410,2.137,0.69452,0
-0.26857,-0.10531,-0.26493,-7.5307e-20,413,2.4799,0.80599,0
-0.24154,-0.090214,-0.2489,6.8535e-20,414,2.6029,0.84595,0
-0.36909,0,0,0,418,0.92388,0.38268,0
-0.34228,-0.031916,-0.23027,-4.312e-20,430,1.973,0.81724,0
-0.38639,-0.034056,-0.0087269,1.2067e-20,441,1.0838,0.5522,0
-0.39177,-0.043201,-0.068294,4.0667e-22,444,1.2989,0.66178,0
-0.29453,0.20735,-0.20899,4.6111e-20,453,2.1054,1.0726,0
-0.39049,0,0,0,460,0.85264,0.5225,0
-0.38636,0.13407,-0.12134,-1.9332e-20,469,1.5546,0.95244,0
-0.40432,-0.018512,0.021605,-4.0107e-21,483,0.98382,0.71472,0
-0.40636,0.018942,-0.0089897,1.2927e-20,485,1.1114,0.8074,0
-0.34067,0.51019,-0.12944,-7.0915e-20,493,1.7261,1.2538,0
-0.38961,-0.11849,-0.013275,3.6077e-20,523,3.187,0.23587,0
-0.38806,0.14146,0.36899,-4.1981e-20,528,3.8141,0,0
-0.30085,0.22396,0.53594,-1.6001e-20,532,4.2681,0,0
-0.26469,0.10709,0.4968,-5.5924e-20,533,4.2628,0.23492,0
-0.18472,0.25558,0.62775,-1.5867e-20,540,5.282,0,0
-0.20145,0.25804,0.5604,2.94e-20,543,5.5544,0.23377,0
-0.24209,0.4249,0.27467,-3.3003e-20,547,6.1409,0.23326,0
-0.22457,0.44014,0.14128,-1.7696e-19,548,6.4555,0,0
-0.1752,0.68619,-0.40359,5.4155e-20,554,7.4555,0,0
-0.09711,0.79336,-0.52788,-2.8677e-21,561,8.5669,0.23111,0
-0.084456,0.74065,-0.48953,-6.3169e-21,565,9.382,0.23039,0
-0.1483,0.65892,-0.31169,1.0526e-20,570,10.726,0,0
-0.089179,0.7926,0.41479,-2.2595e-20,626,12.738,0.454,0
-0.15779,-0.0035624,0.38097,1.6473e-20,641,4.1971,0.69968,0
-0.14982,0.11438,0.5114,-8.0437e-21,643,4.6868,0.69847,0
-0.28088,0.73295,-0.034773,2.5284e-20,649,6.3905,0.6943,0
-0.15531,0.91155,-0.51449,-1.9022e-20,653,7.7527,0.69096,0
-0.10688,0.65408,0.063597,7.5441e-21,662,11.654,0.68139,0
-0.14206,-0.076062,-0.058714,5.4022e-20,675,3.2568,0.92918,0
-0.11447,-0.043908,0.12005,5.8076e-21,677,3.6808,0.9279,0
-0.16319,0.37046,0.42731,-1.6451e-20,683,5.1561,0.92345,0
-0.12224,0.13018,-0.12687,-9.8258e-21,712,2.9753,1.1514,0
-0.057407,0.15305,0.22824,2.7291e-20,717,4.0596,1.1477,0
-0.25461,0.84319,0.048181,3.3166e-20,724,5.9526,1.1414,0
-0.054749,0.81864,-0.40084,4.6452e-21,733,9.2192,1.1304,0
-0.060428,0.43206,0.26476,-2.1379e-20,757,4.4592,1.3602,0
-0.16748,0.73037,0.21654,3.7745e-20,760,5.2716,1.3574,0
-0.18149,1.1008,-0.41884,2.0042e-20,766,7.19,1.3508,0
-0.080869,0.94926,-0.434,-6.6066e-22,769,8.319,1.347,0
-0.043681,0.66214,-0.29155,-7.1672e-20,774,10.499,1.3395,0
-0.033748,0.54436,0.01774,-1.346e-20,791,3.3928,1.5691,0
-0.022363,0.5294,0.11336,-1.1958e-20,793,3.8541,1.5676,0
-0.10983,0.75299,0.20373,7.3676e-20,797,4.8843,1.5643,0
