"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.49209,0,0,0,82,0.70711,0.70711,0
-0.48024,0.015152,0.044704,-3.981e-20,87,0.85936,0.85936,0
-0.47948,0.23272,0.012296,1.7458e-20,92,0.89178,1.0442,0
-0.47528,0.76359,-0.022825,-1.5828e-21,101,1.2866,1.2866,0
-0.3938,1.2841,-0.057324,-2.1146e-20,112,1.5316,1.7937,0
-0.30092,1.2518,-0.083248,-4.4543e-21,120,1.8605,2.1789,0
-0.49924,0.10813,0.0046228,-3.0486e-21,126,0.71472,0.98382,0
-0.5321,0,0,0,145,0.5225,0.85264,0
-0.49793,0.48341,-0.0086798,-2.4368e-20,149,0.71792,1.1717,0
-0.4275,1.2627,0.026045,-8.1877e-20,155,1.0047,1.6399,0
-0.52754,0.27246,-0.015145,2.3112e-20,168,0.5522,1.0838,0
-0.51963,0.77937,0.020875,-2.1616e-20,191,0.52598,1.2698,0
-0.59659,0,0,0,208,0.30902,0.95106,0
-0.56208,0.49408,-0.00082233,4.832e-20,210,0.37591,1.1568,0
-0.43235,1.3186,0.12187,1.2951e-20,216,0.5338,1.6426,0
-0.5793,0.6135,0.023862,8.2013e-20,231,0.28397,1.1826,0
-0.53615,1.0381,0.098496,-4.9859e-20,233,0.32087,1.3362,0
-0.39297,1.3322,0.15183,-7.5425e-20,238,0.42578,1.7727,0
-0.62889,0.56277,0.051137,-3.1131e-21,272,0.089562,1.1377,0
-0.57357,1.0547,0.16546,1.8683e-20,274,0.1015,1.289,0
-0.67449,0,0,0,292,0,1,0
-0.37256,0,0,0,313,1,0,0
-0.39659,-0.038077,0.18239,-5.0032e-21,319,1.212,0.095424,0
-0.37941,-0.054152,0.16219,-2.6338e-20,320,1.2925,0,0
-0.3848,-0.094257,0.13496,-6.365e-20,324,1.4555,0,0
-0.40755,-0.083121,0.1603,8.3634e-21,325,1.4519,0.11435,0
-0.4341,-0.12864,0.053011,3.4533e-20,333,1.8155,0.14304,0
-0.40625,-0.19939,-0.092885,1.5685e-20,338,2.1297,0,0
-0.37649,-0.2009,-0.36897,-1.8317e-20,348,2.7283,0,0
-0.41162,0,0,0,355,0.98769,0.15643,0
-0.48974,-0.052025,-0.065336,-1.7357e-20,367,2.1071,0.33402,0
-0.4305,-0.040881,0.20025,1.5404e-20,378,1.1826,0.28397,0
-0.43367,-0.043811,0.2101,2.1184e-20,379,1.258,0.30208,0
-0.44566,-0.042024,0.19162,-2.5503e-21,381,1.4172,0.34035,0
-0.50147,0.070955,0.085432,2.5238e-20,406,1.7344,0.56364,0
-0.53695,0.22557,-0.1031,-5.3384e-21,410,2.137,0.69452,0
-0.51126,0.37594,-0.27845,-7.9566e-20,413,2.4799,0.80599,0
-0.48611,0.42487,-0.33243,6.6569e-20,414,2.6029,0.84595,0
-0.45675,0,0,0,418,0.92388,0.38268,0
-0.5361,0.31091,-0.050705,1.4403e-20,430,1.973,0.81724,0
-0.46015,-0.035442,0.15763,7.9036e-21,441,1.0838,0.5522,0
-0.4688,0.036613,0.16483,3.4036e-20,444,1.2989,0.66178,0
-0.52421,0.6223,-0.15814,1.3836e-20,453,2.1054,1.0726,0
-0.47279,0,0,0,460,0.85264,0.5225,0
-0.50017,0.32666,0.040326,2.56e-20,469,1.5546,0.95244,0
-0.46943,-0.022478,0.099752,-8.8342e-21,483,0.98382,0.71472,0
-0.46709,0.047182,0.10788,-1.3739e-21,485,1.1114,0.8074,0
-0.49938,0.78454,-0.083226,-2.6783e-20,493,1.7261,1.2538,0
-0.35508,-0.095361,-0.52645,-4.0689e-20,523,3.187,0.23587,0
-0.30738,-0.050975,-0.51386,-1.3705e-21,528,3.8141,0,0
-0.32026,0.092752,-0.33886,-5.309e-20,532,4.2681,0,0
-0.27107,0.0099561,-0.41564,-4.33e-20,533,4.2628,0.23492,0
-0.28885,0.4293,0.26576,3.3781e-20,540,5.282,0,0
-0.21626,0.39877,0.3403,-7.4396e-20,543,5.5544,0.23377,0
-0.15425,0.52542,0.52759,3.2969e-20,547,6.1409,0.23326,0
-0.14173,0.62393,0.5811,3.7511e-20,548,6.4555,0,0
-0.1152,0.58982,0.55396,3.3072e-20,554,7.4555,0,0
-0.19306,0.60308,0.27009,-4.3887e-21,561,8.5669,0.23111,0
-0.19319,0.75709,-0.20129,2.9556e-21,565,9.382,0.23039,0
-0.094596,0.82979,-0.49215,-3.7085e-21,570,10.726,0,0
-0.077003,0.73686,-0.40644,-1.6071e-20,626,12.738,0.454,0
-0.16145,0.068249,-0.47958,2.9472e-20,641,4.1971,0.69968,0
-0.14106,0.068236,-0.28457,-9.538e-21,643,4.6868,0.69847,0
-0.092903,0.46302,0.49289,-1.6778e-20,649,6.3905,0.6943,0
-0.14507,0.56843,0.53385,2.1199e-20,653,7.7527,0.69096,0
-0.062682,0.84198,-0.43198,7.7355e-21,662,11.654,0.68139,0
-0.29997,0.45522,-0.46809,8.9226e-20,675,3.2568,0.92918,0
-0.19361,0.35739,-0.47729,-4.1751e-20,677,3.6808,0.9279,0
-0.07292,0.15599,-0.057532,-5.7174e-20,683,5.1561,0.92345,0
-0.34946,0.71154,-0.40187,1.2566e-21,712,2.9753,1.1514,0
-0.086228,0.41574,-0.37881,1.5523e-20,717,4.0596,1.1477,0
-0.028217,0.32498,0.27854,6.1527e-20,724,5.9526,1.1414,0
-0.20397,1.0107,-0.25815,5.632e-21,733,9.2192,1.1304,0
-0.008885,0.43572,-0.25229,1.7696e-20,757,4.4592,1.3602,0
0.019416,0.26457,-0.037727,-2.4113e-21,760,5.2716,1.3574,0
-0.068281,0.56603,0.48554,-1.7382e-21,766,7.19,1.3508,0
-0.19217,0.89869,0.14336,-3.4219e-20,769,8.319,1.347,0
-0.085281,1.0005,-0.4289,-1.7796e-20,774,10.499,1.3395,0
-0.16998,0.8853,-0.31716,-4.7173e-20,791,3.3928,1.5691,0
-0.076637,0.75916,-0.2705,-7.7366e-21,793,3.8541,1.5676,0
0.039557,0.45005,-0.11432,2.6195e-20,797,4.8843,1.5643,0
0.027373,0.39189,0.24782,-4.4272e-20,801,6.0767,1.5606,0
-0.042234,0.91136,-0.36033,2.0251e-21,814,11.41,1.5437,0
-0.26331,1.0911,-0.26732,8.7731e-20,828,2.8331,1.7658,0
-0.10429,0.95051,-0.20926,4.1995e-20,871,3.586,1.9485,0
-0.029108,0.85045,-0.14947,-3.8225e-21,873,4.0873,1.9478,0
0.051462,0.69663,-0.01489,1.1721e-21,876,4.9116,1.9466,0
0.068973,0.5938,0.09048,2.5188e-21,878,5.5135,1.9457,0
0.011519,0.91154,0.23563,-7.936e-21,961,6.7218,2.3126,0
0.038953,0.91021,0.061293,-1.2079e-20,996,5.0613,2.5172,0
