"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.49762,0,0,0,82,0.70711,0.70711,0
-0.48722,0.023322,0.040871,-3.4794e-20,87,0.85936,0.85936,0
-0.48804,0.24046,0.0044833,1.4585e-20,92,0.89178,1.0442,0
-0.47863,0.74657,-0.046324,-9.6627e-21,101,1.2866,1.2866,0
-0.37472,1.242,-0.061569,-2.8107e-20,112,1.5316,1.7937,0
-0.27362,1.2131,-0.068421,-3.0043e-21,120,1.8605,2.1789,0
-0.50476,0.11534,0.00067864,-1.0392e-21,126,0.71472,0.98382,0
-0.5358,0,0,0,145,0.5225,0.85264,0
-0.50266,0.4817,-0.014438,-2.0691e-20,149,0.71792,1.1717,0
-0.4242,1.2364,0.018862,-9.4402e-20,155,1.0047,1.6399,0
-0.53017,0.2754,-0.019087,2.3982e-20,168,0.5522,1.0838,0
-0.52035,0.76928,0.0161,-2.4023e-20,191,0.52598,1.2698,0
-0.5952,0,0,0,208,0.30902,0.95106,0
-0.56113,0.4915,-0.0039264,4.4671e-20,210,0.37591,1.1568,0
-0.42958,1.2988,0.11814,1.3466e-20,216,0.5338,1.6426,0
-0.57639,0.60819,0.021004,7.7643e-20,231,0.28397,1.1826,0
-0.53319,1.0232,0.094208,-4.9102e-20,233,0.32087,1.3362,0
-0.38898,1.3139,0.14944,-7.6546e-20,238,0.42578,1.7727,0
-0.6219,0.55811,0.049355,4.8101e-21,272,0.089562,1.1377,0
-0.56713,1.0406,0.16145,2.0547e-20,274,0.1015,1.289,0
-0.66499,0,0,0,292,0,1,0
-0.35419,0,0,0,313,1,0,0
-0.37821,-0.046108,0.07363,-6.2162e-21,319,1.212,0.095424,0
-0.36163,-0.063982,0.029276,-2.5097e-20,320,1.2925,0,0
-0.36459,-0.10793,-0.019984,-6.0305e-20,324,1.4555,0,0
-0.38655,-0.10621,0.010211,-1.461e-21,325,1.4519,0.11435,0
-0.39994,-0.17389,-0.12029,1.4728e-20,333,1.8155,0.14304,0
-0.36793,-0.21863,-0.26789,1.5547e-20,338,2.1297,0,0
-0.35392,-0.19906,-0.45044,-1.4246e-20,348,2.7283,0,0
-0.39024,0,0,0,355,0.98769,0.15643,0
-0.43602,-0.14754,-0.22803,-1.7486e-20,367,2.1071,0.33402,0
