"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.33031,0,0,0,82,0.70711,0.70711,0
-0.32278,-0.017974,0.035762,-3.7214e-20,87,0.85936,0.85936,0
-0.31796,0.13416,0.027045,2.8594e-20,92,0.89178,1.0442,0
-0.29139,0.56036,0.051314,-3.2982e-21,101,1.2866,1.2866,0
-0.27815,1.2418,0.068477,-4.8544e-22,112,1.5316,1.7937,0
-0.2515,1.3131,0.030745,-5.2356e-21,120,1.8605,2.1789,0
-0.33853,0.051814,0.019205,-8.0455e-21,126,0.71472,0.98382,0
-0.36609,0,0,0,145,0.5225,0.85264,0
-0.33643,0.36219,0.021567,-2.2295e-20,149,0.71792,1.1717,0
-0.28863,1.1757,0.10528,-4.7181e-20,155,1.0047,1.6399,0
-0.36355,0.19174,0.006834,1.9583e-20,168,0.5522,1.0838,0
-0.36038,0.65276,0.051588,-1.1907e-20,191,0.52598,1.2698,0
-0.42708,0,0,0,208,0.30902,0.95106,0
-0.39712,0.39664,0.017838,4.8399e-20,210,0.37591,1.1568,0
-0.30422,1.2558,0.1778,9.4432e-21,216,0.5338,1.6426,0
-0.41561,0.5129,0.038854,7.7032e-20,231,0.28397,1.1826,0
-0.38382,0.92646,0.12438,-4.0875e-20,233,0.32087,1.3362,0
-0.27867,1.292,0.20645,-5.5488e-20,238,0.42578,1.7727,0
-0.46746,0.48305,0.054487,-3.1552e-20,272,0.089562,1.1377,0
-0.42413,0.95622,0.17778,6.814e-21,274,0.1015,1.289,0
-0.51415,0,0,0,292,0,1,0
-0.34692,0,0,0,313,1,0,0
-0.34446,-0.033403,0.11494,-3.8476e-21,319,1.212,0.095424,0
-0.35268,-0.056725,0.12699,1.2549e-20,320,1.2925,0,0
-0.35468,-0.096449,0.18243,2.9488e-20,324,1.4555,0,0
-0.34524,-0.079798,0.20528,1.2897e-20,325,1.4519,0.11435,0
-0.35196,-0.11832,0.29738,9.6785e-21,333,1.8155,0.14304,0
-0.37132,-0.17646,0.35562,-8.6433e-21,338,2.1297,0,0
-0.4047,-0.11797,0.35849,3.0175e-21,348,2.7283,0,0
-0.33818,0,0,0,355,0.98769,0.15643,0
-0.36169,-0.023973,0.3353,5.7132e-21,367,2.1071,0.33402,0
-0.33318,-0.027501,0.12866,-5.2308e-21,378,1.1826,0.28397,0
-0.33191,-0.033936,0.16539,-8.1934e-21,379,1.258,0.30208,0
-0.32969,-0.039705,0.222,-4.097e-21,381,1.4172,0.34035,0
-0.32345,0.043925,0.26866,2.8174e-20,406,1.7344,0.56364,0
-0.35294,0.19876,0.26572,9.639e-21,410,2.137,0.69452,0
-0.39929,0.37358,0.20437,6.4151e-20,413,2.4799,0.80599,0
-0.41771,0.44118,0.16928,-7.1839e-21,414,2.6029,0.84595,0
-0.32907,0,0,0,418,0.92388,0.38268,0
-0.32849,0.22538,0.22904,1.7951e-20,430,1.973,0.81724,0
-0.32062,-0.02955,0.091919,8.1982e-22,441,1.0838,0.5522,0
-0.30896,-0.0039328,0.16123,-2.3745e-20,444,1.2989,0.66178,0
-0.33656,0.44788,0.14934,-2.1011e-20,453,2.1054,1.0726,0
-0.32382,0,0,0,460,0.85264,0.5225,0
-0.29282,0.17242,0.14383,6.564e-21,469,1.5546,0.95244,0
-0.31727,-0.034535,0.058184,-6.3432e-21,483,0.98382,0.71472,0
-0.30706,-0.010188,0.0819,1.6366e-20,485,1.1114,0.8074,0
-0.29962,0.54871,0.084969,2.0041e-20,493,1.7261,1.2538,0
-0.47423,0.14531,0.15148,-3.4814e-20,523,3.187,0.23587,0
-0.42075,0.14722,-0.12803,4.1896e-20,528,3.8141,0,0
-0.3568,0.26283,-0.37402,3.5132e-20,532,4.2681,0,0
-0.3928,0.41031,-0.42203,-3.4876e-20,533,4.2628,0.23492,0
-0.18891,0.41273,-0.6093,2.2824e-21,540,5.282,0,0
-0.16114,0.49152,-0.60023,-3.166e-20,543,5.5544,0.23377,0
-0.13891,0.41511,-0.56899,-9.2598e-21,547,6.1409,0.23326,0
-0.17128,0.37135,-0.5149,1.1742e-19,548,6.4555,0,0
-0.20705,0.57749,0.052995,-9.1504e-20,554,7.4555,0,0
-0.11786,0.72199,0.46522,1.5382e-20,561,8.5669,0.23111,0
-0.085484,0.76854,0.51686,-4.36e-21,565,9.382,0.23039,0
-0.099881,0.71054,0.47725,-4.5719e-21,570,10.726,0,0
-0.15903,0.85758,-0.26713,1.6721e-20,626,12.738,0.454,0
-0.41419,0.72777,-0.46584,-6.7677e-20,641,4.1971,0.69968,0
-0.29053,0.74167,-0.58473,8.8031e-20,643,4.6868,0.69847,0
-0.091671,0.47845,-0.46262,-2.1971e-20,649,6.3905,0.6943,0
-0.10863,0.48903,0.076762,4.5408e-22,653,7.7527,0.69096,0
-0.17446,0.79829,0.21241,-4.1354e-21,662,11.654,0.68139,0
-0.48947,0.70865,-0.07083,2.0605e-21,675,3.2568,0.92918,0
-0.48073,0.81713,-0.27141,-2.2879e-21,677,3.6808,0.9279,0
-0.17377,0.78149,-0.55419,-1.0398e-20,683,5.1561,0.92345,0
-0.45347,0.81756,-0.029179,4.2422e-20,712,2.9753,1.1514,0
-0.38472,1.0105,-0.44435,-1.3694e-21,717,4.0596,1.1477,0
-0.06962,0.6851,-0.40976,2.1571e-20,724,5.9526,1.1414,0
-0.049213,0.69621,0.44993,1.1396e-20,733,9.2192,1.1304,0
-0.2618,1.0458,-0.48515,3.4604e-20,757,4.4592,1.3602,0
-0.12313,0.864,-0.45414,-3.1578e-20,760,5.2716,1.3574,0
-0.022394,0.47453,-0.20354,1.4639e-21,766,7.19,1.3508,0
-0.026233,0.54653,0.20863,-3.0738e-20,769,8.319,1.347,0
-0.090309,0.78914,0.48617,-5.2944e-20,774,10.499,1.3395,0
-0.38012,1.2187,-0.2535,-3.919e-20,791,3.3928,1.5691,0
-0.3331,1.1973,-0.36844,-6.0076e-20,793,3.8541,1.5676,0
-0.16183,0.98297,-0.43784,-4.2286e-20,797,4.8843,1.5643,0
-0.038167,0.74228,-0.31308,6.7077e-21,801,6.0767,1.5606,0
-0.14994,0.94234,0.21267,-1.7865e-20,814,11.41,1.5437,0
-0.34573,1.2789,-0.12002,4.6128e-20,828,2.8331,1.7658,0
-0.28073,1.2689,-0.26437,5.7425e-20,871,3.586,1.9485,0
-0.22793,1.1816,-0.33033,7.7769e-21,873,4.0873,1.9478,0
-0.127,1.0073,-0.35135,-3.1376e-20,876,4.9116,1.9466,0
-0.066909,0.89223,-0.31356,-6.9972e-21,878,5.5135,1.9457,0
0.01411,0.77867,-0.1204,-4.9703e-21,961,6.7218,2.3126,0
-0.081105,1.0012,-0.24559,9.2211e-21,996,5.0613,2.5172,0
-0.036722,0.91478,-0.21101,5.8607e-21,998,5.6893,2.5172,0
0.037027,0.74799,0.0034478,-6.5037e-21,1003,7.4758,2.5172,0
-0.0052781,0.92339,0.2886,4.0639e-21,1049,10.099,2.736,0
-0.065024,1.1426,0.10411,-1.5237e-20,1051,11.109,2.736,0
0.03745,0.85592,0.22145,1.3056e-21,1087,9.1598,2.97,0
-0.060845,1.2223,-0.1596,2.4097e-20,1093,12.196,2.97,0
-0.059262,1.0181,-0.1609,8.2204e-21,1116,5.0613,3.2202,0
0.010937,0.93656,-0.03719,-2.9834e-21,1201,6.7218,3.7739,0
0.030599,1.0382,0.11266,-2.9048e-21,1247,9.1598,4.08,0
-0.0037885,1.1791,0.0095328,-1.5809e-21,1251,11.109,4.08,0
0.0039081,0.99018,-0.018262,2.4634e-21,1321,6.7218,4.7572,0
0.0007689,1.1163,-0.061372,0,1333,12.196,4.7572,0
