"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.49832,0,0,0,82,0.70711,0.70711,0
-0.48778,0.022993,0.041231,-3.5084e-20,87,0.85936,0.85936,0
-0.4885,0.24054,0.004949,1.4664e-20,92,0.89178,1.0442,0
-0.47963,0.74891,-0.045159,-9.1097e-21,101,1.2866,1.2866,0
-0.37672,1.245,-0.062004,-2.777e-20,112,1.5316,1.7937,0
-0.27572,1.2154,-0.070072,-3.097e-21,120,1.8605,2.1789,0
-0.5054,0.1152,0.00085181,-1.1851e-21,126,0.71472,0.98382,0
-0.53658,0,0,0,145,0.5225,0.85264,0
-0.50334,0.48252,-0.014233,-2.092e-20,149,0.71792,1.1717,0
-0.42527,1.2387,0.018889,-9.3777e-20,155,1.0047,1.6399,0
-0.531,0.27569,-0.018961,2.3964e-20,168,0.5522,1.0838,0
-0.52126,0.77067,0.016233,-2.3939e-20,191,0.52598,1.2698,0
-0.59631,0,0,0,208,0.30902,0.95106,0
-0.56218,0.49224,-0.0038347,4.4898e-20,210,0.37591,1.1568,0
-0.43052,1.3004,0.11807,1.3452e-20,216,0.5338,1.6426,0
-0.57756,0.60913,0.021101,7.7949e-20,231,0.28397,1.1826,0
-0.53428,1.0248,0.094336,-4.9204e-20,233,0.32087,1.3362,0
-0.38991,1.3154,0.14929,-7.6596e-20,238,0.42578,1.7727,0
-0.6233,0.55888,0.049451,4.4889e-21,272,0.089562,1.1377,0
-0.56842,1.0421,0.16164,2.0504e-20,274,0.1015,1.289,0
-0.66655,0,0,0,292,0,1,0
-0.35538,0,0,0,313,1,0,0
-0.37969,-0.045901,0.081436,-6.2037e-21,319,1.212,0.095424,0
-0.36286,-0.063782,0.038339,-2.547e-20,320,1.2925,0,0
-0.36599,-0.10769,-0.0099334,-6.1415e-20,324,1.4555,0,0
-0.38827,-0.10525,0.02009,-1.0247e-21,325,1.4519,0.11435,0
-0.40244,-0.1719,-0.10998,1.5862e-20,333,1.8155,0.14304,0
-0.36972,-0.21916,-0.25902,1.5731e-20,338,2.1297,0,0
-0.35316,-0.20216,-0.45011,-1.4745e-20,348,2.7283,0,0
-0.39206,0,0,0,355,0.98769,0.15643,0
-0.44006,-0.14201,-0.21917,-1.7533e-20,367,2.1071,0.33402,0
-0.41714,-0.048259,0.12239,1.9269e-20,378,1.1826,0.28397,0
-0.42095,-0.058387,0.11419,2.6588e-20,379,1.258,0.30208,0
-0.43212,-0.073115,0.073348,3.2185e-21,381,1.4172,0.34035,0
-0.48226,0.0036291,-0.036647,-5.1035e-21,406,1.7344,0.56364,0
-0.48522,0.11518,-0.21819,-1.1048e-20,410,2.137,0.69452,0
-0.42879,0.22014,-0.35106,-1.0678e-19,413,2.4799,0.80599,0
-0.39627,0.25109,-0.38385,6.8255e-20,414,2.6029,0.84595,0
-0.44658,0,0,0,418,0.92388,0.38268,0
-0.50185,0.22718,-0.15169,-8.8234e-21,430,1.973,0.81724,0
-0.4596,-0.037445,0.12627,1.058e-20,441,1.0838,0.5522,0
-0.47288,0.020818,0.098813,3.7226e-20,444,1.2989,0.66178,0
-0.47485,0.5307,-0.22042,3.2492e-20,453,2.1054,1.0726,0
-0.47187,0,0,0,460,0.85264,0.5225,0
-0.50179,0.30238,-0.024276,1.2899e-20,469,1.5546,0.95244,0
-0.47515,-0.018591,0.089393,-7.3606e-21,483,0.98382,0.71472,0
-0.47683,0.0519,0.081886,-1.9265e-21,485,1.1114,0.8074,0
-0.4823,0.74059,-0.12441,-5.173e-20,493,1.7261,1.2538,0
-0.33425,-0.17061,-0.5032,-1.6118e-20,523,3.187,0.23587,0
-0.37817,0.060291,-0.24816,-2.8142e-20,528,3.8141,0,0
-0.37579,0.20896,0.010408,-5.3109e-20,532,4.2681,0,0
-0.31524,0.085253,-0.06683,-5.8993e-20,533,4.2628,0.23492,0
-0.24264,0.47466,0.51414,2.0447e-20,540,5.282,0,0
-0.17899,0.43042,0.53467,-5.5339e-20,543,5.5544,0.23377,0
-0.13711,0.49298,0.58945,9.561e-21,547,6.1409,0.23326,0
-0.13016,0.54051,0.58524,-1.9286e-20,548,6.4555,0,0
-0.16048,0.47449,0.46292,8.2188e-20,554,7.4555,0,0
-0.20407,0.73326,-0.19847,-1.2961e-20,561,8.5669,0.23111,0
-0.13697,0.83586,-0.47032,1.0433e-20,565,9.382,0.23039,0
