"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.38098,0,0,0,82,0.70711,0.70711,0
-0.378,0.01276,0.010387,-2.7802e-20,87,0.85936,0.85936,0
-0.37819,0.17692,-0.010574,2.3321e-20,92,0.89178,1.0442,0
-0.33592,0.5469,-0.045385,-2.7941e-20,101,1.2866,1.2866,0
-0.24164,1.1126,0.026375,-2.6758e-20,112,1.5316,1.7937,0
-0.17568,1.1772,0.055186,-7.0105e-22,120,1.8605,2.1789,0
-0.39179,0.086598,-0.00016392,-1.215e-21,126,0.71472,0.98382,0
-0.41508,0,0,0,145,0.5225,0.85264,0
-0.38756,0.38677,-0.005916,-1.3087e-20,149,0.71792,1.1717,0
-0.30756,1.1109,0.063531,-9.5491e-20,155,1.0047,1.6399,0
-0.40982,0.2201,-0.010775,2.251e-20,168,0.5522,1.0838,0
-0.40004,0.65345,0.029058,-2.1522e-20,191,0.52598,1.2698,0
-0.46298,0,0,0,208,0.30902,0.95106,0
-0.4335,0.41241,0.0040807,3.7739e-20,210,0.37591,1.1568,0
-0.32513,1.2083,0.15288,1.2006e-20,216,0.5338,1.6426,0
-0.44615,0.52112,0.026762,6.5531e-20,231,0.28397,1.1826,0
-0.41138,0.90811,0.10498,-4.1347e-20,233,0.32087,1.3362,0
-0.29285,1.2449,0.18672,-6.3719e-20,238,0.42578,1.7727,0
-0.48576,0.48791,0.048447,-1.8187e-21,272,0.089562,1.1377,0
-0.44112,0.93709,0.16275,1.5143e-20,274,0.1015,1.289,0
-0.52494,0,0,0,292,0,1,0
-0.37262,0,0,0,313,1,0,0
-0.36699,-0.021756,-0.20515,-8.0108e-21,319,1.212,0.095424,0
-0.37652,-0.036315,-0.25543,1.0551e-20,320,1.2925,0,0
-0.3818,-0.067677,-0.28181,2.4403e-20,324,1.4555,0,0
-0.37224,-0.08196,-0.25701,1.9976e-20,325,1.4519,0.11435,0
-0.38642,-0.15351,-0.26696,7.5528e-21,333,1.8155,0.14304,0
-0.43168,-0.12951,-0.24087,-3.6169e-21,338,2.1297,0,0
-0.4652,-0.086051,-0.017299,1.1478e-20,348,2.7283,0,0
-0.35304,0,0,0,355,0.98769,0.15643,0
-0.36498,-0.21352,-0.22522,-9.1816e-21,367,2.1071,0.33402,0
-0.35396,-0.024095,-0.14452,-6.9783e-22,378,1.1826,0.28397,0
-0.355,-0.046978,-0.16686,-5.0141e-21,379,1.258,0.30208,0
-0.3564,-0.094159,-0.19329,-5.8397e-21,381,1.4172,0.34035,0
-0.34022,-0.14621,-0.19265,-3.8177e-21,406,1.7344,0.56364,0
-0.29544,-0.15366,-0.18458,6.4403e-21,410,2.137,0.69452,0
-0.23562,-0.12156,-0.128,-6.9385e-20,413,2.4799,0.80599,0
-0.21175,-0.10171,-0.097925,5.8923e-20,414,2.6029,0.84595,0
-0.34328,0,0,0,418,0.92388,0.38268,0
-0.29448,-0.072824,-0.17457,-4.4533e-20,430,1.973,0.81724,0
-0.354,-0.028623,-0.045686,9.0253e-21,441,1.0838,0.5522,0
-0.35365,-0.056749,-0.094544,-1.3571e-20,444,1.2989,0.66178,0
-0.24174,0.1345,-0.14277,4.0043e-20,453,2.1054,1.0726,0
-0.35339,0,0,0,460,0.85264,0.5225,0
-0.33203,0.076251,-0.11609,-2.5015e-20,469,1.5546,0.95244,0
-0.36498,-0.01981,-0.0024183,-3.9126e-21,483,0.98382,0.71472,0
-0.36432,0.001593,-0.03167,1.5568e-20,485,1.1114,0.8074,0
-0.28362,0.42916,-0.099182,-6.6269e-20,493,1.7261,1.2538,0
-0.36764,-0.135,0.18618,5.0957e-20,523,3.187,0.23587,0
-0.33783,0.08126,0.50133,-3.6638e-20,528,3.8141,0,0
-0.26166,0.12145,0.60646,3.2108e-23,532,4.2681,0,0
-0.24066,0.03653,0.5856,-2.9926e-20,533,4.2628,0.23492,0
-0.21963,0.20131,0.50018,-3.6621e-20,540,5.282,0,0
-0.26526,0.36055,0.28224,4.4956e-20,543,5.5544,0.23377,0
-0.27455,0.56212,-0.087726,2.0633e-20,547,6.1409,0.23326,0
-0.22931,0.54864,-0.20884,-1.5043e-19,548,6.4555,0,0
-0.13426,0.71787,-0.53388,2.7943e-20,554,7.4555,0,0
-0.089268,0.73393,-0.50807,4.8342e-21,561,8.5669,0.23111,0
-0.1033,0.64877,-0.47613,-1.5495e-20,565,9.382,0.23039,0
-0.17109,0.699,0.012495,1.4262e-20,570,10.726,0,0
-0.075328,0.82178,0.46977,-1.4208e-20,626,12.738,0.454,0
-0.17326,0.066172,0.46456,2.1283e-20,641,4.1971,0.69968,0
-0.20671,0.24684,0.45483,-3.4748e-20,643,4.6868,0.69847,0
-0.27448,0.8516,-0.332,2.6743e-20,649,6.3905,0.6943,0
-0.11111,0.85731,-0.52535,-1.5538e-20,653,7.7527,0.69096,0
-0.091954,0.72251,0.31455,3.0499e-21,662,11.654,0.68139,0
-0.13594,-0.02764,0.12575,3.2759e-20,675,3.2568,0.92918,0
-0.12472,0.046043,0.27522,8.2582e-21,677,3.6808,0.9279,0
-0.26215,0.60611,0.20652,-5.6491e-21,683,5.1561,0.92345,0
-0.11404,0.14456,0.020208,-8.0696e-21,712,2.9753,1.1514,0
-0.11613,0.32932,0.2909,1.7459e-20,717,4.0596,1.1477,0
-0.2853,0.99481,-0.22387,4.0309e-20,724,5.9526,1.1414,0
-0.050634,0.72622,-0.36985,8.7342e-21,733,9.2192,1.1304,0
-0.15904,0.66108,0.21038,-2.5868e-20,757,4.4592,1.3602,0
-0.25699,0.94536,0.0024208,3.6431e-20,760,5.2716,1.3574,0
-0.13301,1.0291,-0.46276,1.8168e-20,766,7.19,1.3508,0
-0.058496,0.86099,-0.40085,-5.407e-21,769,8.319,1.347,0
-0.050233,0.58856,-0.15965,-8.8868e-20,774,10.499,1.3395,0
-0.071726,0.61682,0.095837,3.7947e-21,791,3.3928,1.5691,0
-0.092894,0.67781,0.15233,-6.7746e-21,793,3.8541,1.5676,0
-0.20849,0.96783,0.059788,7.4469e-20,797,4.8843,1.5643,0
-0.22907,1.1796,-0.30929,-2.288e-20,801,6.0767,1.5606,0
-0.035449,0.64777,0.134,-9.1095e-21,814,11.41,1.5437,0
-0.094192,0.85851,0.035654,1.5028e-20,828,2.8331,1.7658,0
-0.091374,1.0114,0.093256,-1.4065e-20,871,3.586,1.9485,0
-0.11959,1.0676,0.086677,-2.0855e-21,873,4.0873,1.9478,0
-0.18248,1.207,-0.03189,-9.4623e-21,876,4.9116,1.9466,0
-0.19785,1.2623,-0.17285,6.8636e-20,878,5.5135,1.9457,0
-0.10213,1.14,-0.29513,-2.6511e-20,961,6.7218,2.3126,0
-0.1347,1.2785,-0.08931,1.879e-20,996,5.0613,2.5172,0
-0.13059,1.2515,-0.17844,1.0806e-20,998,5.6893,2.5172,0
-0.055267,1.0333,-0.27737,-1.3077e-20,1003,7.4758,2.5172,0
0.013079,0.78341,-0.10555,-7.5038e-22,1049,10.099,2.736,0
0.019094,0.71331,0.012775,-9.4272e-21,1051,11.109,2.736,0
0.0020182,0.87853,-0.16336,2.3587e-21,1087,9.1598,2.97,0
0.021345,0.76846,0.17899,9.4772e-21,1093,12.196,2.97,0
-0.093118,1.2113,-0.077106,-4.1969e-21,1116,5.0613,3.2202,0
-0.046039,1.0916,-0.14637,-3.4893e-21,1201,6.7218,3.7739,0
0.0078281,0.94118,-0.093293,4.0842e-21,1247,9.1598,4.08,0
0.030354,0.89424,0.038738,7.5485e-22,1251,11.109,4.08,0
-0.030057,1.0726,-0.093516,2.2081e-21,1321,6.7218,4.7572,0
0.029158,0.97935,0.088235,0,1333,12.196,4.7572,0
-0.087166,1.1131,0.1446,3.048e-20,2145,-4.3934e-16,3.1819,0
-0.060371,1.0964,0.11605,-1.5437e-20,2175,-4.2301e-16,3.807,0
-0.046103,1.0873,0.098807,-7.9738e-21,2195,-4.1015e-16,4.2993,0
0.10544,0.89582,0.26385,4.1256e-20,2456,-1.5845,1.5845,0
0.090504,0.84304,0.43148,-4.6414e-20,2468,-1.1532,1.1532,0
-0.021655,0.87563,0.56994,-4.6391e-20,2475,-0.89178,1.0442,0
-0.090253,0.79559,0.61262,-6.3506e-21,2479,-0.78951,0.92446,0
-0.15886,0,0,0,2484,-0.64945,0.76041,0
-0.032986,0.95022,0.48352,6.5805e-20,2499,-0.90709,1.2487,0
-0.15055,1.0072,0.55351,8.7839e-21,2522,-0.71792,1.1717,0
-0.32089,0,0,0,2527,-0.5225,0.85264,0
-0.014064,1.0198,0.26008,-1.5257e-20,2533,-1.0726,2.1054,0
-0.30125,0.95985,0.52536,-1.3643e-20,2545,-0.5522,1.0838,0
-0.44016,0,0,0,2569,-0.38268,0.92388,0
-0.30372,1.1494,0.46317,6.3299e-21,2585,-0.42475,1.3071,0
-0.3985,0.99544,0.41615,-5.4979e-20,2587,-0.37591,1.1568,0
