"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.43414,0,0,0,82,0.70711,0.70711,0
-0.42914,0.021121,0.021965,-2.8611e-20,87,0.85936,0.85936,0
-0.43077,0.20803,-0.0078304,1.8458e-20,92,0.89178,1.0442,0
-0.39882,0.62362,-0.058238,-2.4561e-20,101,1.2866,1.2866,0
-0.28928,1.1471,-0.013946,-3.135e-20,112,1.5316,1.7937,0
-0.20312,1.1712,0.0096359,-7.9574e-22,120,1.8605,2.1789,0
-0.44402,0.10236,-0.0011399,5.1546e-22,126,0.71472,0.98382,0
-0.4696,0,0,0,145,0.5225,0.85264,0
-0.44041,0.42632,-0.012124,-1.4378e-20,149,0.71792,1.1717,0
-0.35691,1.1521,0.040524,-1.019e-19,155,1.0047,1.6399,0
-0.46366,0.24488,-0.016037,2.3412e-20,168,0.5522,1.0838,0
-0.45302,0.69777,0.021296,-2.3645e-20,191,0.52598,1.2698,0
-0.51972,0,0,0,208,0.30902,0.95106,0
-0.48858,0.44458,-0.0007936,3.8773e-20,210,0.37591,1.1568,0
-0.36972,1.2372,0.13601,1.2928e-20,216,0.5338,1.6426,0
-0.50136,0.55538,0.022942,6.8332e-20,231,0.28397,1.1826,0
-0.46315,0.94984,0.09833,-4.417e-20,233,0.32087,1.3362,0
-0.33323,1.2651,0.16934,-6.9844e-20,238,0.42578,1.7727,0
-0.54137,0.51533,0.047958,4.8673e-21,272,0.089562,1.1377,0
-0.49286,0.97414,0.16023,1.8286e-20,274,0.1015,1.289,0
-0.58091,0,0,0,292,0,1,0
-0.35534,0,0,0,313,1,0,0
-0.3602,-0.031588,-0.14809,-6.6544e-21,319,1.212,0.095424,0
-0.35982,-0.045398,-0.20582,-1.9352e-21,320,1.2925,0,0
-0.36299,-0.079963,-0.25326,-4.8758e-21,324,1.4555,0,0
-0.36485,-0.094633,-0.22664,7.9961e-21,325,1.4519,0.11435,0
-0.3752,-0.16579,-0.29996,6.8264e-21,333,1.8155,0.14304,0
-0.39835,-0.14214,-0.33769,3.6823e-21,338,2.1297,0,0
-0.44595,-0.081319,-0.22699,2.9758e-21,348,2.7283,0,0
-0.35543,0,0,0,355,0.98769,0.15643,0
-0.3717,-0.21657,-0.32147,-1.2798e-20,367,2.1071,0.33402,0
-0.36823,-0.037097,-0.085284,8.5582e-21,378,1.1826,0.28397,0
-0.37024,-0.058798,-0.11208,9.5319e-21,379,1.258,0.30208,0
-0.3741,-0.10217,-0.15834,1.603e-21,381,1.4172,0.34035,0
-0.38057,-0.13047,-0.21142,-2.0948e-20,406,1.7344,0.56364,0
-0.34254,-0.12282,-0.28339,-7.2514e-22,410,2.137,0.69452,0
-0.27826,-0.091807,-0.2915,-7.7859e-20,413,2.4799,0.80599,0
-0.2504,-0.077189,-0.27991,6.9744e-20,414,2.6029,0.84595,0
-0.37634,0,0,0,418,0.92388,0.38268,0
-0.35597,-0.014551,-0.236,-4.2101e-20,430,1.973,0.81724,0
