"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.301,0,0,0,82,0.70711,0.70711,0
-0.29721,-0.0092872,0.013243,-2.9101e-20,87,0.85936,0.85936,0
-0.29291,0.12509,0.006227,2.9045e-20,92,0.89178,1.0442,0
-0.24941,0.47329,0.01653,-1.9609e-20,101,1.2866,1.2866,0
-0.20778,1.1348,0.090182,-8.8232e-21,112,1.5316,1.7937,0
-0.18276,1.2491,0.092061,-2.9426e-21,120,1.8605,2.1789,0
-0.3096,0.054194,0.0098794,-7.5609e-21,126,0.71472,0.98382,0
-0.33245,0,0,0,145,0.5225,0.85264,0
-0.30536,0.33281,0.013549,-1.5444e-20,149,0.71792,1.1717,0
-0.24453,1.0946,0.10831,-6.4907e-20,155,1.0047,1.6399,0
-0.3288,0.18088,0.0025721,2.0685e-20,168,0.5522,1.0838,0
-0.32259,0.60462,0.047523,-1.5217e-20,191,0.52598,1.2698,0
-0.38352,0,0,0,208,0.30902,0.95106,0
-0.35545,0.37073,0.015353,4.14e-20,210,0.37591,1.1568,0
-0.26517,1.1977,0.1828,9.7165e-21,216,0.5338,1.6426,0
-0.37048,0.48044,0.036165,6.7762e-20,231,0.28397,1.1826,0
-0.34046,0.87045,0.12075,-3.8087e-20,233,0.32087,1.3362,0
-0.24049,1.2442,0.2149,-5.3158e-20,238,0.42578,1.7727,0
-0.41506,0.4562,0.051603,-2.1831e-20,272,0.089562,1.1377,0
-0.37493,0.90512,0.17205,8.2404e-21,274,0.1015,1.289,0
-0.4572,0,0,0,292,0,1,0
-0.3698,0,0,0,313,1,0,0
-0.3565,-0.032521,-0.12201,-1.0123e-20,319,1.212,0.095424,0
-0.37688,-0.05636,-0.14427,2.6809e-20,320,1.2925,0,0
-0.38195,-0.097404,-0.11294,6.4633e-20,324,1.4555,0,0
-0.35917,-0.099514,-0.084108,2.269e-20,325,1.4519,0.11435,0
-0.36076,-0.17978,0.019431,-1.2229e-20,333,1.8155,0.14304,0
-0.39944,-0.20555,0.123,-1.6252e-20,338,2.1297,0,0
-0.36856,-0.20724,0.39107,1.8966e-20,348,2.7283,0,0
-0.33474,0,0,0,355,0.98769,0.15643,0
-0.31396,-0.19199,0.14233,8.5932e-21,367,2.1071,0.33402,0
-0.32497,-0.024514,-0.070867,-1.0254e-20,378,1.1826,0.28397,0
-0.32425,-0.044781,-0.062926,-1.8842e-20,379,1.258,0.30208,0
-0.3206,-0.084136,-0.031686,-9.2225e-21,381,1.4172,0.34035,0
-0.28202,-0.094265,0.059363,7.2931e-21,406,1.7344,0.56364,0
-0.24631,-0.037228,0.15207,7.2107e-21,410,2.137,0.69452,0
-0.22767,0.079456,0.21831,-3.4189e-21,413,2.4799,0.80599,0
-0.22667,0.1348,0.23363,-4.8674e-21,414,2.6029,0.84595,0
-0.30128,0,0,0,418,0.92388,0.38268,0
-0.23659,0.019061,0.10511,-2.3689e-20,430,1.973,0.81724,0
-0.29729,-0.02382,-0.016597,4.3716e-22,441,1.0838,0.5522,0
-0.28645,-0.047215,0.0021201,-3.2938e-20,444,1.2989,0.66178,0
-0.20774,0.21558,0.099429,7.55e-21,453,2.1054,1.0726,0
-0.29252,0,0,0,460,0.85264,0.5225,0
-0.24696,0.061684,0.024388,-2.1781e-20,469,1.5546,0.95244,0
-0.29224,-0.026896,0.0034378,-4.5418e-21,483,0.98382,0.71472,0
-0.28478,-0.020954,0.001071,1.6214e-20,485,1.1114,0.8074,0
-0.21657,0.3883,0.033187,-2.466e-20,493,1.7261,1.2538,0
-0.31051,-0.11688,0.47459,4.8766e-20,523,3.187,0.23587,0
-0.31717,-0.036342,0.47908,6.8462e-21,528,3.8141,0,0
-0.33183,0.1146,0.28236,5.4278e-20,532,4.2681,0,0
-0.37077,0.25054,0.19983,3.944e-20,533,4.2628,0.23492,0
-0.28345,0.44195,-0.31831,-2.8261e-20,540,5.282,0,0
-0.26733,0.61893,-0.48412,-3.4375e-20,543,5.5544,0.23377,0
-0.1738,0.67387,-0.58782,6.8403e-20,547,6.1409,0.23326,0
-0.13692,0.61618,-0.58403,-2.6123e-20,548,6.4555,0,0
-0.11958,0.56642,-0.55365,-4.0597e-20,554,7.4555,0,0
-0.1555,0.53447,-0.25723,3.6972e-20,561,8.5669,0.23111,0
-0.15321,0.66541,0.1901,-1.8733e-20,565,9.382,0.23039,0
-0.089401,0.82924,0.49544,3.035e-21,570,10.726,0,0
-0.11377,0.77068,0.42658,-6.546e-21,626,12.738,0.454,0
-0.39676,0.56222,0.063531,1.5949e-20,641,4.1971,0.69968,0
-0.40005,0.71218,-0.18061,3.2473e-20,643,4.6868,0.69847,0
-0.13673,0.79345,-0.55969,4.5917e-21,649,6.3905,0.6943,0
-0.081367,0.60083,-0.44209,-7.5127e-21,653,7.7527,0.69096,0
-0.074719,0.79583,0.4945,-4.5993e-22,662,11.654,0.68139,0
-0.27954,0.39721,0.24825,-2.6659e-20,675,3.2568,0.92918,0
