"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.30012,0,0,0,82,0.70711,0.70711,0
-0.2947,-0.016006,0.02427,-3.2204e-20,87,0.85936,0.85936,0
-0.2897,0.1211,0.018157,2.9209e-20,92,0.89178,1.0442,0
-0.25316,0.49699,0.040415,-1.1851e-20,101,1.2866,1.2866,0
-0.23045,1.1808,0.091357,-2.9017e-21,112,1.5316,1.7937,0
-0.21068,1.2849,0.073333,-4.1416e-21,120,1.8605,2.1789,0
-0.30814,0.048282,0.015661,-8.509e-21,126,0.71472,0.98382,0
-0.33276,0,0,0,145,0.5225,0.85264,0
-0.30477,0.33578,0.020072,-1.8343e-20,149,0.71792,1.1717,0
-0.2523,1.124,0.11414,-5.3039e-20,155,1.0047,1.6399,0
-0.3297,0.17896,0.0064193,1.9992e-20,168,0.5522,1.0838,0
-0.32521,0.61554,0.052069,-1.2924e-20,191,0.52598,1.2698,0
-0.38802,0,0,0,208,0.30902,0.95106,0
-0.35942,0.37423,0.018075,4.4633e-20,210,0.37591,1.1568,0
-0.27112,1.2187,0.18551,9.236e-21,216,0.5338,1.6426,0
-0.37613,0.48662,0.038658,7.1632e-20,231,0.28397,1.1826,0
-0.34619,0.8862,0.12462,-3.8575e-20,233,0.32087,1.3362,0
-0.24726,1.2626,0.21592,-5.2407e-20,238,0.42578,1.7727,0
-0.42422,0.46164,0.053191,-2.861e-20,272,0.089562,1.1377,0
-0.38358,0.91986,0.17569,6.6201e-21,274,0.1015,1.289,0
-0.46855,0,0,0,292,0,1,0
-0.35379,0,0,0,313,1,0,0
-0.34386,-0.037864,-0.018381,-8.0056e-21,319,1.212,0.095424,0
-0.36121,-0.064059,-0.024726,2.4945e-20,320,1.2925,0,0
-0.36409,-0.10801,0.025004,5.9661e-20,324,1.4555,0,0
-0.34428,-0.10084,0.053341,1.6342e-20,325,1.4519,0.11435,0
-0.34173,-0.16868,0.17192,-1.0997e-20,333,1.8155,0.14304,0
-0.36733,-0.21828,0.2722,-1.5708e-20,338,2.1297,0,0
-0.35441,-0.1974,0.45034,1.4034e-20,348,2.7283,0,0
-0.32682,0,0,0,355,0.98769,0.15643,0
-0.31228,-0.12756,0.27462,1.1979e-20,367,2.1071,0.33402,0
