"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.43069,0,0,0,82,0.70711,0.70711,0
-0.42585,0.020683,0.021122,-2.8504e-20,87,0.85936,0.85936,0
-0.42741,0.20612,-0.0081512,1.8768e-20,92,0.89178,1.0442,0
-0.39465,0.61838,-0.057814,-2.4927e-20,101,1.2866,1.2866,0
-0.28568,1.1442,-0.011435,-3.1212e-20,112,1.5316,1.7937,0
-0.20053,1.1709,0.012797,-7.1657e-22,120,1.8605,2.1789,0
-0.44065,0.10144,-0.0011218,4.2808e-22,126,0.71472,0.98382,0
-0.46604,0,0,0,145,0.5225,0.85264,0
-0.43697,0.42374,-0.011804,-1.4224e-20,149,0.71792,1.1717,0
-0.35353,1.149,0.041885,-1.0176e-19,155,1.0047,1.6399,0
-0.46012,0.24331,-0.015745,2.3372e-20,168,0.5522,1.0838,0
-0.44951,0.69476,0.021731,-2.355e-20,191,0.52598,1.2698,0
-0.51593,0,0,0,208,0.30902,0.95106,0
-0.4849,0.44245,-0.00052008,3.8647e-20,210,0.37591,1.1568,0
-0.36667,1.235,0.13704,1.2881e-20,216,0.5338,1.6426,0
-0.49764,0.55308,0.02315,6.8081e-20,231,0.28397,1.1826,0
-0.45966,0.94693,0.0987,-4.3981e-20,233,0.32087,1.3362,0
-0.33044,1.2635,0.17041,-6.9481e-20,238,0.42578,1.7727,0
-0.53756,0.51348,0.047965,4.5466e-21,272,0.089562,1.1377,0
-0.48932,0.97154,0.16034,1.8109e-20,274,0.1015,1.289,0
-0.57705,0,0,0,292,0,1,0
-0.35644,0,0,0,313,1,0,0
-0.36051,-0.030734,-0.15362,-6.7289e-21,319,1.212,0.095424,0
-0.36083,-0.044474,-0.21107,-1.0433e-21,320,1.2925,0,0
-0.36415,-0.078655,-0.25742,-2.8001e-21,324,1.4555,0,0
-0.36519,-0.093483,-0.23102,8.8785e-21,325,1.4519,0.11435,0
-0.37592,-0.16441,-0.30043,7.0658e-21,333,1.8155,0.14304,0
-0.40104,-0.14,-0.33364,3.1949e-21,338,2.1297,0,0
-0.44888,-0.079775,-0.21416,3.5245e-21,348,2.7283,0,0
-0.35507,0,0,0,355,0.98769,0.15643,0
-0.37129,-0.21632,-0.31785,-1.2627e-20,367,2.1071,0.33402,0
-0.36705,-0.036175,-0.090833,7.914e-21,378,1.1826,0.28397,0
-0.369,-0.058035,-0.11762,8.5147e-21,379,1.258,0.30208,0
-0.37266,-0.10186,-0.16297,1.1126e-21,381,1.4172,0.34035,0
-0.37751,-0.13269,-0.2129,-1.9908e-20,406,1.7344,0.56364,0
-0.33894,-0.12702,-0.27965,-1.5055e-22,410,2.137,0.69452,0
-0.27492,-0.096741,-0.28304,-7.6977e-20,413,2.4799,0.80599,0
-0.24733,-0.081989,-0.26995,6.9497e-20,414,2.6029,0.84595,0
-0.37387,0,0,0,418,0.92388,0.38268,0
-0.35139,-0.020621,-0.23443,-4.2286e-20,430,1.973,0.81724,0
-0.39196,-0.034816,-0.000829,1.2373e-20,441,1.0838,0.5522,0
-0.39828,-0.039967,-0.060959,3.0776e-21,444,1.2989,0.66178,0
-0.3046,0.22425,-0.21639,4.6627e-20,453,2.1054,1.0726,0
-0.3968,0,0,0,460,0.85264,0.5225,0
-0.39557,0.14529,-0.11941,-1.7956e-20,469,1.5546,0.95244,0
-0.41064,-0.01832,0.026289,-4.0567e-21,483,0.98382,0.71472,0
-0.41303,0.021921,-0.0039454,1.215e-20,485,1.1114,0.8074,0
-0.35063,0.5253,-0.13273,-7.1229e-20,493,1.7261,1.2538,0
-0.39029,-0.11831,-0.047635,3.4511e-20,523,3.187,0.23587,0
-0.39547,0.14618,0.34133,-4.2381e-20,528,3.8141,0,0
-0.30884,0.2345,0.52032,-1.8356e-20,532,4.2681,0,0
-0.27044,0.11588,0.47703,-5.8824e-20,533,4.2628,0.23492,0
-0.18271,0.27822,0.62967,-1.2749e-20,540,5.282,0,0
-0.19295,0.25632,0.58617,2.3008e-20,543,5.5544,0.23377,0
-0.23266,0.40332,0.33274,-3.7786e-20,547,6.1409,0.23326,0
