"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.37088,0,0,0,82,0.70711,0.70711,0
-0.3681,0.01079,0.008744,-2.7692e-20,87,0.85936,0.85936,0
-0.36786,0.17063,-0.010412,2.4216e-20,92,0.89178,1.0442,0
-0.32417,0.53353,-0.041242,-2.8062e-20,101,1.2866,1.2866,0
-0.23398,1.1087,0.034397,-2.54e-20,112,1.5316,1.7937,0
-0.17242,1.181,0.062855,-7.9325e-22,120,1.8605,2.1789,0
-0.38165,0.083208,0.00025578,-1.8095e-21,126,0.71472,0.98382,0
-0.40461,0,0,0,145,0.5225,0.85264,0
-0.3773,0.37932,-0.0043765,-1.2998e-20,149,0.71792,1.1717,0
-0.29849,1.1046,0.068414,-9.3426e-20,155,1.0047,1.6399,0
-0.39949,0.21524,-0.0095771,2.234e-20,168,0.5522,1.0838,0
-0.38994,0.64555,0.030806,-2.1015e-20,191,0.52598,1.2698,0
-0.45233,0,0,0,208,0.30902,0.95106,0
-0.42312,0.40645,0.0051692,3.7742e-20,210,0.37591,1.1568,0
-0.31682,1.204,0.15634,1.1791e-20,216,0.5338,1.6426,0
-0.43584,0.51492,0.027639,6.5247e-20,231,0.28397,1.1826,0
-0.4017,0.90099,0.10649,-4.0853e-20,233,0.32087,1.3362,0
-0.28541,1.2421,0.1902,-6.2483e-20,238,0.42578,1.7727,0
-0.47559,0.48298,0.048636,-3.4823e-21,272,0.089562,1.1377,0
-0.43164,0.93083,0.16345,1.4462e-20,274,0.1015,1.289,0
-0.51485,0,0,0,292,0,1,0
-0.37579,0,0,0,313,1,0,0
-0.36854,-0.020998,-0.2091,-8.3439e-21,319,1.212,0.095424,0
-0.3798,-0.036144,-0.25735,1.2754e-20,320,1.2925,0,0
-0.38541,-0.06763,-0.27866,2.9673e-20,324,1.4555,0,0
-0.37386,-0.081304,-0.2538,2.1776e-20,325,1.4519,0.11435,0
-0.38812,-0.15386,-0.25101,6.7637e-21,333,1.8155,0.14304,0
-0.43585,-0.1321,-0.2139,-4.9955e-21,338,2.1297,0,0
-0.46336,-0.093569,0.025932,1.4957e-20,348,2.7283,0,0
-0.35307,0,0,0,355,0.98769,0.15643,0
-0.36287,-0.21384,-0.19732,-8.2108e-21,367,2.1071,0.33402,0
-0.35198,-0.022296,-0.14909,-2.2825e-21,378,1.1826,0.28397,0
-0.35285,-0.045198,-0.16956,-7.4818e-21,379,1.258,0.30208,0
-0.35381,-0.092544,-0.19089,-7.091e-21,381,1.4172,0.34035,0
