"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.33044,0,0,0,82,0.70711,0.70711,0
-0.32781,0.0015503,0.0061047,-2.765e-20,87,0.85936,0.85936,0
-0.32554,0.14537,-0.0060235,2.7321e-20,92,0.89178,1.0442,0
-0.27887,0.4886,-0.017676,-2.6234e-20,101,1.2866,1.2866,0
-0.20981,1.1059,0.06627,-1.8141e-20,112,1.5316,1.7937,0
-0.16749,1.2064,0.08737,-1.5684e-21,120,1.8605,2.1789,0
-0.34047,0.068542,0.0034254,-4.6107e-21,126,0.71472,0.98382,0
-0.36268,0,0,0,145,0.5225,0.85264,0
-0.33591,0.35116,0.0033921,-1.343e-20,149,0.71792,1.1717,0
-0.2642,1.0876,0.089215,-8.1658e-20,155,1.0047,1.6399,0
-0.35828,0.19596,-0.0039813,2.1561e-20,168,0.5522,1.0838,0
-0.35007,0.6177,0.038774,-1.847e-20,191,0.52598,1.2698,0
-0.41086,0,0,0,208,0.30902,0.95106,0
-0.38254,0.38434,0.010076,3.8657e-20,210,0.37591,1.1568,0
-0.2848,1.1924,0.17063,1.0789e-20,216,0.5338,1.6426,0
-0.39599,0.49253,0.03167,6.5245e-20,231,0.28397,1.1826,0
-0.36425,0.87736,0.11332,-3.9074e-20,233,0.32087,1.3362,0
-0.257,1.2363,0.20414,-5.7371e-20,238,0.42578,1.7727,0
-0.43724,0.46533,0.049772,-1.1679e-20,272,0.089562,1.1377,0
-0.39574,0.91036,0.1671,1.1425e-20,274,0.1015,1.289,0
-0.47736,0,0,0,292,0,1,0
-0.38066,0,0,0,313,1,0,0
-0.36845,-0.023058,-0.19696,-9.7072e-21,319,1.212,0.095424,0
-0.38583,-0.041871,-0.23485,2.107e-20,320,1.2925,0,0
-0.39212,-0.076495,-0.23224,5.0003e-20,324,1.4555,0,0
-0.37333,-0.086262,-0.20587,2.5834e-20,325,1.4519,0.11435,0
-0.38414,-0.1646,-0.15056,-7.0903e-22,333,1.8155,0.14304,0
-0.43406,-0.15951,-0.073271,-1.1068e-20,338,2.1297,0,0
-0.42831,-0.14422,0.21036,1.7664e-20,348,2.7283,0,0
-0.34793,0,0,0,355,0.98769,0.15643,0
-0.34356,-0.21524,-0.051963,-1.6106e-21,367,2.1071,0.33402,0
-0.34051,-0.019504,-0.1396,-7.6009e-21,378,1.1826,0.28397,0
-0.34065,-0.042033,-0.149,-1.5557e-20,379,1.258,0.30208,0
-0.33952,-0.088332,-0.14614,-1.0281e-20,381,1.4172,0.34035,0
-0.30619,-0.13328,-0.088172,6.3034e-21,406,1.7344,0.56364,0
