"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.4186,0,0,0,82,0.70711,0.70711,0
-0.40786,-0.0064771,0.044277,-4.2813e-20,87,0.85936,0.85936,0
-0.40439,0.18276,0.025371,2.5127e-20,92,0.89178,1.0442,0
-0.39282,0.68825,0.028419,3.6957e-21,101,1.2866,1.2866,0
-0.36043,1.3028,0.00075095,-6.7743e-21,112,1.5316,1.7937,0
-0.30255,1.3095,-0.046364,-5.8412e-21,120,1.8605,2.1789,0
-0.42681,0.077088,0.014953,-6.1924e-21,126,0.71472,0.98382,0
-0.45871,0,0,0,145,0.5225,0.85264,0
-0.42591,0.4314,0.0097787,-2.6379e-20,149,0.71792,1.1717,0
-0.37182,1.2487,0.066423,-5.7124e-20,155,1.0047,1.6399,0
-0.45593,0.23408,-0.0018905,2.0633e-20,168,0.5522,1.0838,0
-0.45188,0.73254,0.038637,-1.5108e-20,191,0.52598,1.2698,0
-0.52575,0,0,0,208,0.30902,0.95106,0
-0.49297,0.45316,0.010138,5.1314e-20,210,0.37591,1.1568,0
-0.38132,1.3088,0.1493,1.1053e-20,216,0.5338,1.6426,0
-0.51239,0.57365,0.032989,8.3273e-20,231,0.28397,1.1826,0
-0.47455,1.0023,0.1137,-4.643e-20,233,0.32087,1.3362,0
-0.34895,1.3303,0.17737,-6.591e-20,238,0.42578,1.7727,0
-0.56634,0.53158,0.054168,-2.2514e-20,272,0.089562,1.1377,0
-0.51607,1.0238,0.17442,1.1741e-20,274,0.1015,1.289,0
-0.61448,0,0,0,292,0,1,0
-0.37314,0,0,0,313,1,0,0
-0.38399,-0.022878,0.23845,-1.342e-21,319,1.212,0.095424,0
-0.37705,-0.036244,0.25593,-1.0903e-20,320,1.2925,0,0
-0.38238,-0.067609,0.28148,-2.5485e-20,324,1.4555,0,0
-0.39133,-0.049657,0.29847,1.7553e-20,325,1.4519,0.11435,0
-0.42186,-0.066341,0.2899,4.3213e-20,333,1.8155,0.14304,0
-0.43242,-0.12984,0.23653,5.1571e-21,338,2.1297,0,0
-0.46491,-0.087162,0.010155,-1.1334e-20,348,2.7283,0,0
-0.39301,0,0,0,355,0.98769,0.15643,0
-0.47738,0.048869,0.22316,-8.8133e-21,367,2.1071,0.33402,0
-0.39553,-0.026183,0.22942,3.0481e-21,378,1.1826,0.28397,0
-0.39577,-0.023699,0.26709,4.2381e-21,379,1.258,0.30208,0
-0.40117,-0.01021,0.30094,-6.1799e-21,381,1.4172,0.34035,0
-0.43408,0.11424,0.25836,4.8943e-20,406,1.7344,0.56364,0
-0.4976,0.29424,0.1428,8.6057e-21,410,2.137,0.69452,0
-0.54159,0.47623,-0.012564,2.7552e-20,413,2.4799,0.80599,0
-0.54816,0.54577,-0.078806,3.3753e-20,414,2.6029,0.84595,0
-0.4072,0,0,0,418,0.92388,0.38268,0
-0.46912,0.33073,0.14765,3.572e-20,430,1.973,0.81724,0
-0.39903,-0.032194,0.15019,3.4498e-21,441,1.0838,0.5522,0
-0.39383,0.028834,0.21385,1.8635e-21,444,1.2989,0.66178,0
-0.48249,0.60634,0.028075,-1.8773e-20,453,2.1054,1.0726,0
-0.40828,0,0,0,460,0.85264,0.5225,0
-0.40559,0.27331,0.13616,2.6394e-20,469,1.5546,0.95244,0
-0.39979,-0.032044,0.088645,-8.4642e-21,483,0.98382,0.71472,0
-0.39063,0.016098,0.11548,1.0081e-20,485,1.1114,0.8074,0
-0.42576,0.71594,0.025185,1.8595e-20,493,1.7261,1.2538,0
-0.4908,0.14378,-0.26403,-6.0224e-20,523,3.187,0.23587,0
-0.33585,0.077577,-0.50564,3.4577e-20,528,3.8141,0,0
-0.26065,0.11629,-0.60856,-2.7577e-22,532,4.2681,0,0
-0.26753,0.2427,-0.60874,-4.8459e-20,533,4.2628,0.23492,0
-0.22192,0.20297,-0.49009,3.4751e-20,540,5.282,0,0
-0.19425,0.2287,-0.40388,-3.5788e-20,543,5.5544,0.23377,0
-0.20493,0.37993,-0.035576,-1.7748e-20,547,6.1409,0.23326,0
-0.22874,0.55246,0.22136,1.4969e-19,548,6.4555,0,0
-0.13319,0.71798,0.53652,-2.6372e-20,554,7.4555,0,0
-0.096259,0.69628,0.53635,5.8605e-21,561,8.5669,0.23111,0
-0.12749,0.64949,0.50326,-1.1877e-20,565,9.382,0.23039,0
-0.17146,0.70194,-0.027178,-1.4245e-20,570,10.726,0,0
-0.078745,0.87513,-0.46144,1.2019e-21,626,12.738,0.454,0
-0.2541,0.54284,-0.57535,-5.4668e-20,641,4.1971,0.69968,0
-0.15994,0.45971,-0.54765,4.1722e-20,643,4.6868,0.69847,0
-0.1126,0.34681,0.0068863,-3.5668e-20,649,6.3905,0.6943,0
-0.079669,0.6248,0.494,1.3807e-21,653,7.7527,0.69096,0
-0.13766,0.92809,-0.42968,7.1091e-21,662,11.654,0.68139,0
