"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.30286,0,0,0,82,0.70711,0.70711,0
-0.29926,-0.0080724,0.011883,-2.8786e-20,87,0.85936,0.85936,0
-0.29514,0.12675,0.0044781,2.8939e-20,92,0.89178,1.0442,0
-0.25091,0.47263,0.012429,-2.0618e-20,101,1.2866,1.2866,0
-0.20603,1.1296,0.088444,-9.8925e-21,112,1.5316,1.7937,0
-0.17939,1.2436,0.093073,-2.7631e-21,120,1.8605,2.1789,0
-0.31159,0.0556,0.0089995,-7.3142e-21,126,0.71472,0.98382,0
-0.33427,0,0,0,145,0.5225,0.85264,0
-0.30726,0.33388,0.012369,-1.5098e-20,149,0.71792,1.1717,0
-0.24506,1.092,0.10657,-6.6938e-20,155,1.0047,1.6399,0
-0.33053,0.18206,0.0018441,2.08e-20,168,0.5522,1.0838,0
-0.32405,0.60478,0.046594,-1.5611e-20,191,0.52598,1.2698,0
-0.38484,0,0,0,208,0.30902,0.95106,0
-0.35679,0.37143,0.014798,4.0981e-20,210,0.37591,1.1568,0
-0.26584,1.1959,0.18176,9.8275e-21,216,0.5338,1.6426,0
-0.37159,0.48086,0.03568,6.7316e-20,231,0.28397,1.1826,0
-0.34145,0.86984,0.11996,-3.8128e-20,233,0.32087,1.3362,0
-0.24088,1.2424,0.21408,-5.3515e-20,238,0.42578,1.7727,0
-0.4157,0.45645,0.051366,-2.0651e-20,272,0.089562,1.1377,0
-0.37551,0.90447,0.17146,8.5771e-21,274,0.1015,1.289,0
-0.45755,0,0,0,292,0,1,0
-0.37176,0,0,0,313,1,0,0
-0.35829,-0.031318,-0.13434,-1.0218e-20,319,1.212,0.095424,0
-0.37866,-0.054604,-0.15871,2.6495e-20,320,1.2925,0,0
-0.384,-0.094905,-0.13065,6.3803e-20,324,1.4555,0,0
-0.3613,-0.098161,-0.10202,2.3455e-20,325,1.4519,0.11435,0
-0.36392,-0.17897,-0.0029654,-1.1527e-20,333,1.8155,0.14304,0
-0.4047,-0.20067,0.098945,-1.6014e-20,338,2.1297,0,0
-0.37466,-0.20232,0.37362,1.9155e-20,348,2.7283,0,0
-0.33631,0,0,0,355,0.98769,0.15643,0
-0.31666,-0.19759,0.11947,7.5347e-21,367,2.1071,0.33402,0
-0.32653,-0.02371,-0.082024,-1.016e-20,378,1.1826,0.28397,0
-0.32591,-0.044433,-0.076318,-1.8844e-20,379,1.258,0.30208,0
-0.32252,-0.085099,-0.048272,-9.566e-21,381,1.4172,0.34035,0
-0.2837,-0.10078,0.040696,7.1561e-21,406,1.7344,0.56364,0
-0.2454,-0.050917,0.1341,7.3731e-21,410,2.137,0.69452,0
-0.22213,0.059023,0.206,-1.004e-20,413,2.4799,0.80599,0
-0.21913,0.11219,0.22439,-2.0143e-21,414,2.6029,0.84595,0
-0.30226,0,0,0,418,0.92388,0.38268,0
-0.236,0.0070904,0.088858,-2.6225e-20,430,1.973,0.81724,0
