"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.47492,0,0,0,82,0.70711,0.70711,0
-0.46716,0.024993,0.032999,-3.0664e-20,87,0.85936,0.85936,0
-0.4689,0.23032,-0.0023194,1.5094e-20,92,0.89178,1.0442,0
-0.44883,0.69354,-0.058169,-1.8115e-20,101,1.2866,1.2866,0
-0.33573,1.1924,-0.044465,-3.1674e-20,112,1.5316,1.7937,0
-0.23756,1.1843,-0.033607,-1.6511e-21,120,1.8605,2.1789,0
-0.48318,0.11246,-0.00092063,3.7302e-22,126,0.71472,0.98382,0
-0.51148,0,0,0,145,0.5225,0.85264,0
-0.48027,0.45942,-0.015117,-1.6982e-20,149,0.71792,1.1717,0
-0.39738,1.1958,0.025052,-1.0134e-19,155,1.0047,1.6399,0
-0.50536,0.26426,-0.019021,2.3998e-20,168,0.5522,1.0838,0
-0.49466,0.73814,0.016736,-2.4571e-20,191,0.52598,1.2698,0
-0.56557,0,0,0,208,0.30902,0.95106,0
-0.5328,0.47224,-0.0036317,4.1187e-20,210,0.37591,1.1568,0
-0.4058,1.2687,0.12393,1.3423e-20,216,0.5338,1.6426,0
-0.54647,0.5858,0.020898,7.2567e-20,231,0.28397,1.1826,0
-0.50528,0.98994,0.094536,-4.6883e-20,233,0.32087,1.3362,0
-0.36641,1.2892,0.15638,-7.4296e-20,238,0.42578,1.7727,0
-0.58851,0.53987,0.048259,7.2833e-21,272,0.089562,1.1377,0
-0.53643,1.0102,0.15975,2.0212e-20,274,0.1015,1.289,0
-0.62941,0,0,0,292,0,1,0
-0.34629,0,0,0,313,1,0,0
-0.36227,-0.042809,-0.049531,-6.2564e-21,319,1.212,0.095424,0
-0.35235,-0.058826,-0.10661,-1.4745e-20,320,1.2925,0,0
-0.35426,-0.099601,-0.16256,-3.4757e-20,324,1.4555,0,0
-0.36757,-0.10858,-0.13268,-1.6626e-21,325,1.4519,0.11435,0
-0.37487,-0.18329,-0.24998,5.3595e-21,333,1.8155,0.14304,0
-0.36717,-0.18477,-0.3518,1.0442e-20,338,2.1297,0,0
-0.39477,-0.12948,-0.38092,-5.0305e-21,348,2.7283,0,0
-0.36677,0,0,0,355,0.98769,0.15643,0
-0.38893,-0.20689,-0.32302,-1.5104e-20,367,2.1071,0.33402,0
-0.38925,-0.047316,0.0088996,1.6535e-20,378,1.1826,0.28397,0
-0.39235,-0.065068,-0.01344,2.2144e-20,379,1.258,0.30208,0
-0.39958,-0.098167,-0.064961,5.7786e-21,381,1.4172,0.34035,0
-0.42952,-0.079404,-0.15441,-2.5704e-20,406,1.7344,0.56364,0
-0.40427,-0.029633,-0.29101,-8.6243e-21,410,2.137,0.69452,0
-0.33685,0.025121,-0.3634,-9.6066e-20,413,2.4799,0.80599,0
-0.30491,0.041869,-0.37385,7.2535e-20,414,2.6029,0.84595,0
-0.41228,0,0,0,418,0.92388,0.38268,0
-0.42698,0.094794,-0.2238,-3.1162e-20,430,1.973,0.81724,0
-0.43205,-0.038105,0.065348,1.2815e-20,441,1.0838,0.5522,0
-0.44422,-0.0099013,0.011953,2.4051e-20,444,1.2989,0.66178,0
-0.3889,0.37603,-0.2423,4.4998e-20,453,2.1054,1.0726,0
-0.44172,0,0,0,460,0.85264,0.5225,0
-0.46028,0.23242,-0.085177,-4.1426e-21,469,1.5546,0.95244,0
-0.45245,-0.017386,0.061964,-5.2238e-21,483,0.98382,0.71472,0
-0.45609,0.042027,0.039371,4.4362e-21,485,1.1114,0.8074,0
-0.42455,0.6416,-0.14255,-6.7544e-20,493,1.7261,1.2538,0
-0.36919,-0.14183,-0.30377,1.2085e-20,523,3.187,0.23587,0
-0.42067,0.14181,0.079947,-4.1796e-20,528,3.8141,0,0
-0.36438,0.26176,0.33441,-3.7273e-20,532,4.2681,0,0
-0.31012,0.13476,0.26972,-6.9649e-20,533,4.2628,0.23492,0
-0.19342,0.43026,0.60418,4.4104e-21,540,5.282,0,0
-0.16302,0.36075,0.6093,-2.1081e-20,543,5.5544,0.23377,0
-0.16216,0.36314,0.6023,-2.5478e-20,547,6.1409,0.23326,0
-0.16213,0.38244,0.54762,-1.0398e-19,548,6.4555,0,0
-0.20678,0.55472,0.023701,9.5928e-20,554,7.4555,0,0
-0.14527,0.81785,-0.48506,-1.1501e-20,561,8.5669,0.23111,0
-0.091282,0.82136,-0.51262,4.0369e-21,565,9.382,0.23039,0
-0.093867,0.72505,-0.48318,3.784e-21,570,10.726,0,0
-0.11688,0.70821,0.13177,-3.9102e-20,626,12.738,0.454,0
-0.1707,-0.019025,0.11245,2.7352e-20,641,4.1971,0.69968,0
-0.1427,0.10213,0.34524,1.5435e-20,643,4.6868,0.69847,0
-0.19204,0.47502,0.44563,-2.7149e-21,649,6.3905,0.6943,0
-0.23106,0.8786,-0.29566,-7.8106e-21,653,7.7527,0.69096,0
-0.090641,0.64523,-0.29756,1.7329e-20,662,11.654,0.68139,0
-0.16832,-0.015776,-0.31328,7.0397e-20,675,3.2568,0.92918,0
-0.12425,-0.050397,-0.17819,1.027e-21,677,3.6808,0.9279,0
-0.085299,0.19906,0.44934,-3.9921e-20,683,5.1561,0.92345,0
-0.17172,0.27141,-0.28931,-1.4884e-20,712,2.9753,1.1514,0
-0.038296,0.072158,-0.020581,3.1577e-20,717,4.0596,1.1477,0
-0.12853,0.5112,0.41551,1.7181e-20,724,5.9526,1.1414,0
-0.079288,0.93264,-0.44932,1.4934e-21,733,9.2192,1.1304,0
0.010222,0.2351,0.12746,-3.6891e-21,757,4.4592,1.3602,0
-0.033919,0.39296,0.35312,1.9104e-20,760,5.2716,1.3574,0
