"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.42746,0,0,0,82,0.70711,0.70711,0
-0.42281,0.020224,0.020283,-2.8425e-20,87,0.85936,0.85936,0
-0.42432,0.20418,-0.0084553,1.9059e-20,92,0.89178,1.0442,0
-0.39082,0.61313,-0.05733,-2.5236e-20,101,1.2866,1.2866,0
-0.28265,1.1414,-0.0088836,-3.0979e-20,112,1.5316,1.7937,0
-0.19869,1.1707,0.015987,-6.2487e-22,120,1.8605,2.1789,0
-0.43754,0.10049,-0.0010966,4.0006e-22,126,0.71472,0.98382,0
-0.46275,0,0,0,145,0.5225,0.85264,0
-0.43382,0.42114,-0.01147,-1.4098e-20,149,0.71792,1.1717,0
-0.35054,1.146,0.043276,-1.0148e-19,155,1.0047,1.6399,0
-0.45687,0.24172,-0.015443,2.3306e-20,168,0.5522,1.0838,0
-0.4463,0.69175,0.02218,-2.3432e-20,191,0.52598,1.2698,0
-0.51243,0,0,0,208,0.30902,0.95106,0
-0.48152,0.44032,-0.00023719,3.8522e-20,210,0.37591,1.1568,0
-0.36398,1.2329,0.13808,1.2828e-20,216,0.5338,1.6426,0
-0.49422,0.55077,0.023366,6.7825e-20,231,0.28397,1.1826,0
-0.45647,0.94402,0.099082,-4.3776e-20,233,0.32087,1.3362,0
-0.328,1.2619,0.17151,-6.9098e-20,238,0.42578,1.7727,0
-0.53406,0.51162,0.047975,4.2251e-21,272,0.089562,1.1377,0
-0.48608,0.96895,0.16045,1.7927e-20,274,0.1015,1.289,0
-0.57348,0,0,0,292,0,1,0
-0.35759,0,0,0,313,1,0,0
-0.36091,-0.029896,-0.15894,-6.795e-21,319,1.212,0.095424,0
-0.36191,-0.04358,-0.21605,-1.862e-22,320,1.2925,0,0
-0.36537,-0.077396,-0.26128,-8.0578e-22,324,1.4555,0,0
-0.36562,-0.092352,-0.23509,9.7146e-21,325,1.4519,0.11435,0
-0.37669,-0.16308,-0.30053,7.263e-21,333,1.8155,0.14304,0
-0.40363,-0.13802,-0.32924,2.7214e-21,338,2.1297,0,0
-0.45133,-0.078512,-0.2012,4.0697e-21,348,2.7283,0,0
-0.35483,0,0,0,355,0.98769,0.15643,0
-0.37095,-0.21604,-0.31381,-1.2424e-20,367,2.1071,0.33402,0
-0.36602,-0.035249,-0.096188,7.2902e-21,378,1.1826,0.28397,0
-0.36789,-0.057252,-0.12293,7.5312e-21,379,1.258,0.30208,0
-0.37137,-0.10149,-0.16731,6.4113e-22,381,1.4172,0.34035,0
-0.37464,-0.13474,-0.21401,-1.889e-20,406,1.7344,0.56364,0
-0.33557,-0.1309,-0.27551,4.5074e-22,410,2.137,0.69452,0
-0.27203,-0.10126,-0.27418,-7.5947e-20,413,2.4799,0.80599,0
-0.24476,-0.086343,-0.2596,6.8921e-20,414,2.6029,0.84595,0
-0.37159,0,0,0,418,0.92388,0.38268,0
-0.34699,-0.026424,-0.23254,-4.2769e-20,430,1.973,0.81724,0
-0.3893,-0.034452,-0.0048156,1.2283e-20,441,1.0838,0.5522,0
-0.39517,-0.041614,-0.064715,1.8667e-21,444,1.2989,0.66178,0
-0.29982,0.21567,-0.21281,4.6354e-20,453,2.1054,1.0726,0
-0.39378,0,0,0,460,0.85264,0.5225,0
-0.39117,0.13964,-0.12047,-1.864e-20,469,1.5546,0.95244,0
-0.40763,-0.018411,0.023931,-4.0485e-21,483,0.98382,0.71472,0
-0.40987,0.020431,-0.0065035,1.2572e-20,485,1.1114,0.8074,0
-0.3459,0.51771,-0.13115,-7.101e-20,493,1.7261,1.2538,0
-0.38973,-0.11827,-0.030425,3.5457e-20,523,3.187,0.23587,0
-0.3916,0.144,0.35538,-4.2216e-20,528,3.8141,0,0
-0.30465,0.22947,0.52833,-1.718e-20,532,4.2681,0,0
-0.26733,0.11169,0.48709,-5.7369e-20,533,4.2628,0.23492,0
-0.18358,0.26668,0.62916,-1.4294e-20,540,5.282,0,0
-0.1971,0.25652,0.57419,2.6297e-20,543,5.5544,0.23377,0
-0.23749,0.41393,0.30404,-3.5491e-20,547,6.1409,0.23326,0
-0.22216,0.43103,0.17202,-1.7564e-19,548,6.4555,0,0
-0.17864,0.681,-0.38649,5.6588e-20,554,7.4555,0,0
-0.098709,0.79699,-0.52908,-3.4524e-21,561,8.5669,0.23111,0
-0.083805,0.74695,-0.49013,-5.6712e-21,565,9.382,0.23039,0
