epoch,error u,error v,error w,error p
1000,0.027060143508696823,0.006869555532190395,0.0034072704233604322,0.5466591340966535
2000,0.02029927711669365,0.006477526754151551,0.002946060136304061,0.5468255169400376
3000,0.0169905525432587,0.00685547582649666,0.0029618074838851575,0.5468095308953113
4000,0.021090690607144396,0.006824595627533826,0.00438041539757045,0.5468520485219136
5000,0.01888163368749255,0.007249356280211482,0.003497872284171152,0.5468110460914908
6000,0.009092221564197318,0.010114158682527885,0.003524061339632647,0.546485323762248
7000,0.007089147356266492,0.007567737514041472,0.004053798456091798,0.5463408307076163
8000,0.0070331605590494934,0.006286580245537087,0.003962104139036234,0.5463020670012386
9000,0.006948314669004651,0.008722637434962599,0.003343201280624846,0.5462100974688019
10000,0.00502099002916845,0.006290648919610524,0.0028573203990656534,0.5461891314234245
11000,0.005732273894578832,0.005571840336643573,0.004728999991668839,0.5462049553318715
12000,0.00559902407128152,0.005559348689690725,0.0051176694521325675,0.5461598101514898
13000,0.006825438742555745,0.009368576212458048,0.0032939929181314523,0.5461758598057889
14000,0.006385312499236361,0.005765958567592426,0.003292975187353031,0.5462891900180868
15000,0.00647784732077218,0.006796523219051183,0.0029388813385345072,0.5461634710663952
16000,0.005024295048481725,0.004817685795836733,0.003023051944565046,0.5461179653103886
17000,0.00643351808636742,0.0045487560608155645,0.0030727629554991188,0.5461372268637469
18000,0.008700901814904419,0.0046811975821408735,0.0038182295216379896,0.5461959405965252
19000,0.004997533417976392,0.0047376945712982775,0.0041131180340854235,0.5461966056525085
20000,0.012970003609024039,0.007194633193609401,0.005987040677875183,0.5464974496753395
21000,0.004412470626738208,0.0034604996764718843,0.0031570915552094907,0.5462462898260885
22000,0.004774699692261742,0.0041471641835740475,0.002798483896203667,0.5462519157848565
23000,0.004047427786697864,0.0034559997364947232,0.0024897556788297825,0.5462128939567071
24000,0.004999461424544916,0.003550543273708799,0.002716025083081864,0.5462081545681741
25000,0.0036481949525417165,0.003807097310636749,0.002676142485974232,0.5461347286919873
26000,0.004528011342627995,0.003918249822106672,0.0034053329482931706,0.5461966921170133
27000,0.004696662474945614,0.004037206244776494,0.002965259755182083,0.5462614823003715
28000,0.004989838990726572,0.005167941108865627,0.003321575936691376,0.5462411606616483
29000,0.004912491010331544,0.003937043786181752,0.0032148835537428324,0.5462363238512652
30000,0.004139078154777445,0.0035028969842001534,0.004940667065569776,0.546194452394009
31000,0.0049693821360436066,0.004208515401316449,0.0028896130360010312,0.5462728746490023
32000,0.006045765275563239,0.005764684027148949,0.00349778714699673,0.5463174634281825
33000,0.004960117117064131,0.003367535758661057,0.002713478478586187,0.5462326088952966
34000,0.008353099446345625,0.009321341667384906,0.004506561110952653,0.5462962250584357
35000,0.004391317972476493,0.004427395836750745,0.0031401056144257163,0.5462918031893332
36000,0.004725120755872033,0.003717066172013503,0.0026793563198458975,0.5462604160363967
37000,0.007141043878085576,0.0053869326426295525,0.0037955136313340284,0.546310928136503
38000,0.005807124723957243,0.00521981526288274,0.0032563282617801,0.5462668717441076
39000,0.00390974864248763,0.003804570002769867,0.003088574941020796,0.5462029479539161
40000,0.008154623869138272,0.009405481588802419,0.003516008484443084,0.5462489136277848
41000,0.005386564231124628,0.0038285130051667468,0.0029822038317695383,0.5462851104273283
42000,0.009404387939817679,0.00433225860042799,0.0031783364875581305,0.5462334657376968
43000,0.005904412479528457,0.005914943446610142,0.0031033113637317835,0.5463492448281946
44000,0.0040735491460987105,0.0032436937865137506,0.002265298223103496,0.5462276963044779
45000,0.004637701359780109,0.004266957261181162,0.0029057092109144775,0.5463315522069597
