"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0,1,0,0,0.47341,1.9709,0
0,1,0,0,0.49856,2.0756,0
0,1,0,0,0.52464,2.1841,0
0,1,0,0,0.55169,2.2967,0
0,1,0,0,0.57975,2.4134,0
0,1,0,0,0.60885,2.5345,0
0,1,0,0,0.63903,2.6601,0
0,1,0,0,0.67033,2.7904,0
0,1,0,0,0.70279,2.9255,0
0,1,0,0,0.16731,1.0562,0
0,0,0,0,0.15643,0.98769,0
0,1,0,0,0.17859,1.1273,0
0,1,0,0,0.19028,1.201,0
0,1,0,0,0.20241,1.2775,0
0,1,0,0,0.21499,1.3568,0
0,1,0,0,0.22804,1.4391,0
0,1,0,0,0.24158,1.5244,0
0,1,0,0,0.25561,1.6129,0
0,1,0,0,0.27017,1.7047,0
0,1,0,0,0.28527,1.7998,0
0,1,0,0,0.30093,1.8985,0
0,1,0,0,0.31718,2.0009,0
0,1,0,0,0.33402,2.1071,0
0,1,0,0,0.35149,2.2173,0
0,1,0,0,0.36961,2.3315,0
0,1,0,0,0.38841,2.45,0
0,1,0,0,0.4079,2.5728,0
0,1,0,0,0.42812,2.7003,0
0,1,0,0,0.44909,2.8324,0
0,1,0,0,0.47083,2.9695,0
0,1,0,0,0.083909,1.066,0
0,0,0,0,0.078459,0.99692,0
0,1,0,0,0.089562,1.1377,0
0,1,0,0,0.095424,1.212,0
0,1,0,0,0.1015,1.289,0
0,1,0,0,0.10781,1.369,0
0,1,0,0,0.11435,1.4519,0
0,1,0,0,0.12113,1.5379,0
0,1,0,0,0.12817,1.6271,0
0,1,0,0,0.13547,1.7195,0
0,1,0,0,0.14304,1.8155,0
0,1,0,0,0.15088,1.915,0
0,1,0,0,0.15903,2.0182,0
0,1,0,0,0.16747,2.1252,0
0,1,0,0,0.17623,2.2362,0
0,1,0,0,0.18531,2.3513,0
0,1,0,0,0.19473,2.4707,0
0,1,0,0,0.2045,2.5946,0
0,1,0,0,0.21463,2.723,0
0,1,0,0,0.22514,2.8563,0
0,1,0,0,0.23604,2.9944,0
0,1,0,0,-1.5359e-17,1.0692,0
0,0,0,0,0,1,0
0,1,0,0,-3.1288e-17,1.1409,0
0,1,0,0,-4.781e-17,1.2153,0
0,1,0,0,-6.4945e-17,1.2925,0
0,1,0,0,-8.2717e-17,1.3725,0
0,1,0,0,-1.0115e-16,1.4555,0
0,1,0,0,-1.2027e-16,1.5416,0
0,1,0,0,-1.4009e-16,1.6309,0
0,1,0,0,-1.6066e-16,1.7235,0
0,1,0,0,-1.8199e-16,1.8196,0
0,1,0,0,-2.0411e-16,1.9192,0
0,1,0,0,-2.2705e-16,2.0225,0
0,1,0,0,-2.5084e-16,2.1297,0
0,1,0,0,-2.7552e-16,2.2408,0
0,1,0,0,-3.0112e-16,2.3561,0
0,1,0,0,-3.2766e-16,2.4757,0
0,1,0,0,-3.552e-16,2.5997,0
0,1,0,0,-3.8375e-16,2.7283,0
0,1,0,0,-4.1337e-16,2.8617,0
0,1,0,0,0,3,0
0,1,0,0,1.0692,0,0
0,0,0,0,1,0,0
0,1,0,0,1.066,0.083909,0
0,0,0,0,0.99692,0.078459,0
0,1,0,0,1.1409,0,0
0,1,0,0,1.1377,0.089562,0
0,1,0,0,1.2153,0,0
0,1,0,0,1.212,0.095424,0
0,1,0,0,1.2925,0,0
0,1,0,0,1.289,0.1015,0
0,1,0,0,1.3725,0,0
0,1,0,0,1.369,0.10781,0
0,1,0,0,1.4555,0,0
0,1,0,0,1.4519,0.11435,0
0,1,0,0,1.5416,0,0
0,1,0,0,1.5379,0.12113,0
0,1,0,0,1.6309,0,0
0,1,0,0,1.6271,0.12817,0
0,1,0,0,1.7235,0,0
0,1,0,0,1.7195,0.13547,0
0,1,0,0,1.8196,0,0
0,1,0,0,1.8155,0.14304,0
0,1,0,0,1.9192,0,0
0,1,0,0,1.915,0.15088,0
0,1,0,0,2.0225,0,0
0,1,0,0,2.0182,0.15903,0
0,1,0,0,2.1297,0,0
0,1,0,0,2.1252,0.16747,0
0,1,0,0,2.2408,0,0
0,1,0,0,2.2362,0.17623,0
0,1,0,0,2.3561,0,0
0,1,0,0,2.3513,0.18531,0
0,1,0,0,2.4757,0,0
0,1,0,0,2.4707,0.19473,0
0,1,0,0,2.5997,0,0
0,1,0,0,2.5946,0.2045,0
0,1,0,0,2.7283,0,0
0,1,0,0,2.723,0.21463,0
0,1,0,0,2.8617,0,0
0,1,0,0,2.8563,0.22514,0
0,1,0,0,2.9944,0.23604,0
0,1,0,0,3,0,0
0,1,0,0,1.0562,0.16731,0
0,0,0,0,0.98769,0.15643,0
0,1,0,0,1.1273,0.17859,0
0,1,0,0,1.201,0.19028,0
0,1,0,0,1.2775,0.20241,0
0,1,0,0,1.3568,0.21499,0
0,1,0,0,1.4391,0.22804,0
0,1,0,0,1.5244,0.24158,0
0,1,0,0,1.6129,0.25561,0
0,1,0,0,1.7047,0.27017,0
0,1,0,0,1.7998,0.28527,0
0,1,0,0,1.8985,0.30093,0
0,1,0,0,2.0009,0.31718,0
0,1,0,0,2.1071,0.33402,0
0,1,0,0,2.2173,0.35149,0
0,1,0,0,2.3315,0.36961,0
0,1,0,0,2.45,0.38841,0
0,1,0,0,2.5728,0.4079,0
0,1,0,0,2.7003,0.42812,0
0,1,0,0,2.8324,0.44909,0
0,1,0,0,2.9695,0.47083,0
0,1,0,0,1.0399,0.24968,0
0,0,0,0,0.97237,0.23345,0
0,1,0,0,1.11,0.26651,0
0,1,0,0,1.1826,0.28397,0
0,1,0,0,1.258,0.30208,0
0,1,0,0,1.3362,0.32087,0
0,1,0,0,1.4172,0.34035,0
0,1,0,0,1.5013,0.36055,0
0,1,0,0,1.5885,0.38151,0
0,1,0,0,1.6789,0.40324,0
0,1,0,0,1.7727,0.42578,0
0,1,0,0,1.87,0.44916,0
0,1,0,0,1.9709,0.47341,0
0,1,0,0,2.0756,0.49856,0
0,1,0,0,2.1841,0.52464,0
0,1,0,0,2.2967,0.55169,0
0,1,0,0,2.4134,0.57975,0
0,1,0,0,2.5345,0.60885,0
0,1,0,0,2.6601,0.63903,0
0,1,0,0,2.7904,0.67033,0
0,1,0,0,2.9255,0.70279,0
0,1,0,0,1.0172,0.33051,0
0,0,0,0,0.95106,0.30902,0
0,1,0,0,1.0857,0.35279,0
0,1,0,0,1.1568,0.37591,0
0,1,0,0,1.2306,0.39989,0
0,1,0,0,1.3071,0.42475,0
0,1,0,0,1.3864,0.45054,0
0,1,0,0,1.4687,0.47729,0
0,1,0,0,1.5541,0.50503,0
0,1,0,0,1.6426,0.5338,0
0,1,0,0,1.7344,0.56364,0
0,1,0,0,1.8296,0.59459,0
0,1,0,0,1.9283,0.62669,0
0,1,0,0,2.0308,0.65999,0
0,1,0,0,2.137,0.69452,0
0,1,0,0,2.2472,0.73033,0
0,1,0,0,2.3614,0.76747,0
0,1,0,0,2.4799,0.80599,0
0,1,0,0,2.6029,0.84595,0
0,1,0,0,2.7303,0.88739,0
0,1,0,0,2.8626,0.93037,0
0,1,0,0,0.98812,0.40929,0
0,0,0,0,0.92388,0.38268,0
0,1,0,0,1.0547,0.43689,0
0,1,0,0,1.1238,0.46551,0
0,1,0,0,1.1955,0.49519,0
0,1,0,0,1.2698,0.52598,0
0,1,0,0,1.3469,0.55791,0
0,1,0,0,1.4269,0.59103,0
0,1,0,0,1.5098,0.62538,0
0,1,0,0,1.5958,0.66101,0
0,1,0,0,1.685,0.69795,0
0,1,0,0,1.7775,0.73628,0
0,1,0,0,1.8735,0.77602,0
0,1,0,0,1.973,0.81724,0
0,1,0,0,2.0762,0.86,0
0,1,0,0,2.1833,0.90434,0
0,1,0,0,2.2943,0.95033,0
0,1,0,0,2.4095,0.99803,0
0,1,0,0,2.5289,1.0475,0
0,1,0,0,2.6528,1.0988,0
0,1,0,0,2.7812,1.152,0
0,1,0,0,0.95295,0.48554,0
0,0,0,0,0.89101,0.45399,0
0,1,0,0,1.0172,0.51827,0
0,1,0,0,1.0838,0.5522,0
0,1,0,0,1.1529,0.58741,0
0,1,0,0,1.2246,0.62391,0
0,1,0,0,1.2989,0.66178,0
0,1,0,0,1.376,0.70105,0
0,1,0,0,1.456,0.74178,0
0,1,0,0,1.5389,0.78402,0
0,1,0,0,1.6249,0.82784,0
0,1,0,0,1.7142,0.87328,0
0,1,0,0,1.8067,0.92041,0
0,1,0,0,1.9027,0.96929,0
0,1,0,0,2.0022,1.02,0
0,1,0,0,2.1054,1.0726,0
0,1,0,0,2.2125,1.1271,0
0,1,0,0,2.3235,1.1837,0
0,1,0,0,2.4387,1.2423,0
0,1,0,0,2.5581,1.3032,0
0,1,0,0,2.682,1.3663,0
0,1,0,0,0.91188,0.55878,0
0,0,0,0,0.85264,0.5225,0
0,1,0,0,0.97332,0.59642,0
0,1,0,0,1.0371,0.63545,0
0,1,0,0,1.1031,0.67593,0
0,1,0,0,1.1717,0.71792,0
0,1,0,0,1.2428,0.76147,0
0,1,0,0,1.3165,0.80663,0
0,1,0,0,1.393,0.85347,0
0,1,0,0,1.4723,0.90205,0
0,1,0,0,1.5546,0.95244,0
0,1,0,0,1.6399,1.0047,0
0,1,0,0,1.7284,1.0589,0
0,1,0,0,1.8202,1.1151,0
0,1,0,0,1.9154,1.1734,0
0,1,0,0,2.0141,1.2339,0
0,1,0,0,2.1165,1.2966,0
0,1,0,0,2.2227,1.3617,0
0,1,0,0,2.3328,1.4291,0
0,1,0,0,2.4471,1.4991,0
0,1,0,0,2.5656,1.5717,0
0,1,0,0,0.86517,0.62856,0
0,0,0,0,0.80902,0.58779,0
0,1,0,0,0.92341,0.67086,0
0,1,0,0,0.98382,0.71472,0
0,1,0,0,1.0465,0.76021,0
0,1,0,0,1.1114,0.8074,0
0,1,0,0,1.1788,0.85633,0
0,1,0,0,1.2487,0.90709,0
0,1,0,0,1.3212,0.95973,0
0,1,0,0,1.3964,1.0143,0
0,1,0,0,1.4744,1.071,0
0,1,0,0,1.5553,1.1297,0
0,1,0,0,1.6392,1.1906,0
0,1,0,0,1.7261,1.2538,0
0,1,0,0,1.8164,1.3193,0
0,1,0,0,1.91,1.3873,0
0,1,0,0,2.007,1.4577,0
0,1,0,0,2.1077,1.5308,0
0,1,0,0,2.2121,1.6066,0
0,1,0,0,2.3204,1.6853,0
0,1,0,0,2.4327,1.7668,0
0,1,0,0,0.81311,0.69444,0
0,0,0,0,0.76041,0.64945,0
0,1,0,0,0.86777,0.74111,0
0,1,0,0,0.92446,0.78951,0
0,1,0,0,0.98326,0.83971,0
0,1,0,0,1.0442,0.89178,0
0,1,0,0,1.1075,0.94578,0
0,1,0,0,1.1731,1.0018,0
0,1,0,0,1.2411,1.0599,0
0,1,0,0,1.3117,1.1201,0
0,1,0,0,1.3849,1.1826,0
0,1,0,0,1.4608,1.2474,0
0,1,0,0,1.5395,1.3146,0
0,1,0,0,1.6212,1.3843,0
0,1,0,0,1.7058,1.4566,0
0,1,0,0,1.7937,1.5316,0
0,1,0,0,1.8848,1.6094,0
0,1,0,0,1.9793,1.69,0
0,1,0,0,2.0772,1.7737,0
0,1,0,0,2.1789,1.8605,0
0,1,0,0,2.2843,1.9505,0
0,1,0,0,3.1925,0,0
0,1,0,0,3.187,0.23587,0
0,1,0,0,3.3922,0,0
