"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.42863,0,0,0,82,0.70711,0.70711,0
-0.4176,-0.0044027,0.044668,-4.2996e-20,87,0.85936,0.85936,0
-0.41435,0.18887,0.024344,2.4469e-20,92,0.89178,1.0442,0
-0.40419,0.70075,0.023757,3.8136e-21,101,1.2866,1.2866,0
-0.36752,1.305,-0.007021,-8.0487e-21,112,1.5316,1.7937,0
-0.30557,1.3056,-0.053286,-5.8007e-21,120,1.8605,2.1789,0
-0.43675,0.080615,0.013971,-5.9466e-21,126,0.71472,0.98382,0
-0.46897,0,0,0,145,0.5225,0.85264,0
-0.43588,0.43894,0.0078419,-2.6507e-20,149,0.71792,1.1717,0
-0.38036,1.2538,0.061502,-5.9275e-20,155,1.0047,1.6399,0
-0.46607,0.23913,-0.003287,2.0866e-20,168,0.5522,1.0838,0
-0.46171,0.74034,0.036694,-1.5735e-20,191,0.52598,1.2698,0
-0.53622,0,0,0,208,0.30902,0.95106,0
-0.50316,0.45921,0.0089617,5.13e-20,210,0.37591,1.1568,0
-0.38918,1.3125,0.14583,1.127e-20,216,0.5338,1.6426,0
-0.5225,0.57988,0.032042,8.3578e-20,231,0.28397,1.1826,0
-0.48394,1.0092,0.11206,-4.6996e-20,233,0.32087,1.3362,0
-0.35596,1.3326,0.17401,-6.714e-20,238,0.42578,1.7727,0
-0.5763,0.53651,0.053951,-2.0705e-20,272,0.089562,1.1377,0
-0.52528,1.0298,0.17363,1.2495e-20,274,0.1015,1.289,0
-0.62436,0,0,0,292,0,1,0
-0.37604,0,0,0,313,1,0,0
-0.38839,-0.02323,0.24204,-1.5148e-21,319,1.212,0.095424,0
-0.38007,-0.036176,0.2574,-1.3071e-20,320,1.2925,0,0
-0.38572,-0.067707,0.27785,-3.0691e-20,324,1.4555,0,0
-0.39647,-0.050173,0.29512,1.7695e-20,325,1.4519,0.11435,0
-0.42841,-0.067685,0.27477,4.4766e-20,333,1.8155,0.14304,0
-0.43607,-0.1327,0.20917,6.4979e-21,338,2.1297,0,0
-0.46216,-0.09496,-0.033166,-1.2901e-20,348,2.7283,0,0
-0.39855,0,0,0,355,0.98769,0.15643,0
-0.48642,0.046419,0.19917,-1.0106e-20,367,2.1071,0.33402,0
-0.40235,-0.027008,0.23347,4.1523e-21,378,1.1826,0.28397,0
-0.40286,-0.024381,0.26947,5.7522e-21,379,1.258,0.30208,0
-0.40916,-0.010562,0.29868,-6.3439e-21,381,1.4172,0.34035,0
-0.44575,0.11564,0.24712,4.9226e-20,406,1.7344,0.56364,0
-0.50969,0.29559,0.12095,7.779e-21,410,2.137,0.69452,0
-0.5491,0.47764,-0.042394,1.7778e-20,413,2.4799,0.80599,0
-0.55265,0.54664,-0.11041,3.9178e-20,414,2.6029,0.84595,0
-0.41557,0,0,0,418,0.92388,0.38268,0
-0.48252,0.33587,0.13094,3.5738e-20,430,1.973,0.81724,0
-0.40793,-0.032484,0.15401,3.8151e-21,441,1.0838,0.5522,0
-0.40392,0.031304,0.21392,5.4319e-21,444,1.2989,0.66178,0
-0.4946,0.61792,0.0090148,-1.6558e-20,453,2.1054,1.0726,0
-0.4177,0,0,0,460,0.85264,0.5225,0
-0.41859,0.28271,0.12978,2.7787e-20,469,1.5546,0.95244,0
-0.40928,-0.031256,0.090986,-8.6444e-21,483,0.98382,0.71472,0
-0.40055,0.019607,0.11694,8.9038e-21,485,1.1114,0.8074,0
-0.4383,0.73062,0.014688,1.5591e-20,493,1.7261,1.2538,0
-0.47997,0.12937,-0.30272,-6.0159e-20,523,3.187,0.23587,0
-0.32378,0.054081,-0.52985,3.2622e-20,528,3.8141,0,0
-0.25494,0.085393,-0.61905,-5.9105e-21,532,4.2681,0,0
-0.25782,0.20316,-0.61598,-4.712e-20,533,4.2628,0.23492,0
-0.23508,0.21808,-0.42282,3.7624e-20,540,5.282,0,0
-0.20371,0.2382,-0.32897,-4.0504e-20,543,5.5544,0.23377,0
-0.20609,0.40225,0.049344,-6.8931e-21,547,6.1409,0.23326,0
-0.22235,0.57373,0.29216,1.3858e-19,548,6.4555,0,0
-0.12503,0.71685,0.5488,-2.0854e-20,554,7.4555,0,0
-0.10011,0.68006,0.53891,5.3034e-21,561,8.5669,0.23111,0
-0.13909,0.63728,0.47792,-1.2972e-20,565,9.382,0.23039,0
-0.16949,0.72068,-0.11317,-1.4124e-20,570,10.726,0,0
-0.074596,0.86617,-0.45525,-6.3409e-22,626,12.738,0.454,0
-0.23822,0.50523,-0.57009,-4.8751e-20,641,4.1971,0.69968,0
-0.1511,0.40992,-0.54144,3.4718e-20,643,4.6868,0.69847,0
-0.11147,0.36149,0.081368,-3.381e-20,649,6.3905,0.6943,0
-0.079689,0.62851,0.50951,2.7867e-21,653,7.7527,0.69096,0
-0.12504,0.92919,-0.45247,7.0466e-21,662,11.654,0.68139,0
-0.46397,0.73088,-0.415,7.213e-20,675,3.2568,0.92918,0
-0.34954,0.72066,-0.52079,-5.099e-20,677,3.6808,0.9279,0
-0.077665,0.39506,-0.43505,-2.9894e-20,683,5.1561,0.92345,0
-0.48639,0.9102,-0.32669,3.561e-20,712,2.9753,1.1514,0
-0.21648,0.78874,-0.49646,3.0494e-21,717,4.0596,1.1477,0
-0.029624,0.31724,-0.2001,7.0254e-20,724,5.9526,1.1414,0
-0.13692,0.73573,0.4523,1.1349e-20,733,9.2192,1.1304,0
-0.11372,0.77493,-0.40405,2.913e-20,757,4.4592,1.3602,0
-0.02053,0.56049,-0.2908,-3.1467e-20,760,5.2716,1.3574,0
-0.01435,0.48735,0.28793,7.3029e-21,766,7.19,1.3508,0
-0.057436,0.64776,0.50063,-3.3167e-20,769,8.319,1.347,0
-0.19057,1.0305,-0.17407,-2.5686e-20,774,10.499,1.3395,0
-0.30229,1.0984,-0.38554,-5.1585e-20,791,3.3928,1.5691,0
-0.2074,0.98603,-0.40222,-2.2366e-20,793,3.8541,1.5676,0
-0.0425,0.7345,-0.29194,-3.1648e-20,797,4.8843,1.5643,0
0.023113,0.44182,-0.11142,-2.249e-20,801,6.0767,1.5606,0
-0.11276,1.0712,-0.39529,-7.4946e-22,814,11.41,1.5437,0
-0.34967,1.2377,-0.26701,8.6058e-20,828,2.8331,1.7658,0
-0.20521,1.0923,-0.30604,5.6171e-20,871,3.586,1.9485,0
-0.12982,0.97955,-0.2995,1.0467e-21,873,4.0873,1.9478,0
-0.028691,0.81904,-0.21379,-1.6921e-20,876,4.9116,1.9466,0
0.020126,0.71965,-0.12033,-1.5392e-20,878,5.5135,1.9457,0
0.059902,0.69796,0.11369,-5.6139e-21,961,6.7218,2.3126,0
-0.010829,0.88601,-0.11581,-1.7127e-21,996,5.0613,2.5172,0
