"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.49662,0,0,0,82,0.70711,0.70711,0
-0.48498,0.01767,0.044104,-3.862e-20,87,0.85936,0.85936,0
-0.48463,0.23636,0.010318,1.6489e-20,92,0.89178,1.0442,0
-0.47985,0.76357,-0.02943,-3.3426e-21,101,1.2866,1.2866,0
-0.39188,1.2753,-0.060575,-2.3083e-20,112,1.5316,1.7937,0
-0.29592,1.242,-0.081997,-4.1213e-21,120,1.8605,2.1789,0
-0.50366,0.11084,0.003432,-2.5688e-21,126,0.71472,0.98382,0
-0.5362,0,0,0,145,0.5225,0.85264,0
-0.50216,0.48528,-0.010559,-2.3538e-20,149,0.71792,1.1717,0
-0.42951,1.2583,0.022978,-8.5306e-20,155,1.0047,1.6399,0
-0.53134,0.27466,-0.016472,2.3409e-20,168,0.5522,1.0838,0
-0.52287,0.77939,0.019203,-2.2377e-20,191,0.52598,1.2698,0
-0.59956,0,0,0,208,0.30902,0.95106,0
-0.56505,0.49532,-0.0018894,4.7467e-20,210,0.37591,1.1568,0
-0.43419,1.3152,0.12,1.3129e-20,216,0.5338,1.6426,0
-0.58179,0.61417,0.022921,8.1095e-20,231,0.28397,1.1826,0
-0.53839,1.0368,0.097026,-4.9851e-20,233,0.32087,1.3362,0
-0.39427,1.3288,0.1503,-7.6049e-20,238,0.42578,1.7727,0
-0.63038,0.5632,0.050663,-7.0452e-22,272,0.089562,1.1377,0
-0.57494,1.0533,0.16431,1.9352e-20,274,0.1015,1.289,0
-0.67537,0,0,0,292,0,1,0
-0.36853,0,0,0,313,1,0,0
-0.39339,-0.040776,0.15964,-5.4893e-21,319,1.212,0.095424,0
-0.37575,-0.057609,0.13294,-2.6942e-20,320,1.2925,0,0
-0.38062,-0.099176,0.099253,-6.5251e-20,324,1.4555,0,0
-0.40402,-0.089888,0.12611,5.7541e-21,325,1.4519,0.11435,0
-0.42755,-0.1415,0.010174,2.9836e-20,333,1.8155,0.14304,0
-0.39596,-0.20884,-0.14074,1.6165e-20,338,2.1297,0,0
-0.36499,-0.21001,-0.40293,-1.8269e-20,348,2.7283,0,0
-0.40818,0,0,0,355,0.98769,0.15643,0
-0.47946,-0.075512,-0.10822,-1.7841e-20,367,2.1071,0.33402,0
-0.42927,-0.043238,0.18364,1.6874e-20,378,1.1826,0.28397,0
-0.43272,-0.047901,0.18858,2.3228e-20,379,1.258,0.30208,0
-0.44489,-0.049999,0.16335,-1.2378e-21,381,1.4172,0.34035,0
-0.50065,0.055617,0.053948,1.7921e-20,406,1.7344,0.56364,0
-0.52797,0.2011,-0.13639,-7.2771e-21,410,2.137,0.69452,0
-0.4926,0.34088,-0.30295,-8.9847e-20,413,2.4799,0.80599,0
-0.46451,0.38518,-0.35148,6.8986e-20,414,2.6029,0.84595,0
-0.45695,0,0,0,418,0.92388,0.38268,0
-0.53214,0.29394,-0.079238,8.5654e-21,430,1.973,0.81724,0
-0.46286,-0.035975,0.15205,8.6078e-21,441,1.0838,0.5522,0
