"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.32556,0,0,0,82,0.70711,0.70711,0
-0.32286,0.0001266,0.0064163,-2.7714e-20,87,0.85936,0.85936,0
-0.32028,0.14209,-0.0048437,2.7648e-20,92,0.89178,1.0442,0
-0.27363,0.48417,-0.013535,-2.5645e-20,101,1.2866,1.2866,0
-0.20799,1.1076,0.070328,-1.695e-20,112,1.5316,1.7937,0
-0.1683,1.2112,0.089547,-1.7271e-21,120,1.8605,2.1789,0
-0.33541,0.066465,0.0040975,-5.0581e-21,126,0.71472,0.98382,0
-0.3576,0,0,0,145,0.5225,0.85264,0
-0.33084,0.34777,0.0046664,-1.3582e-20,149,0.71792,1.1717,0
-0.2604,1.0867,0.092095,-7.9631e-20,155,1.0047,1.6399,0
-0.3533,0.19348,-0.0031202,2.1455e-20,168,0.5522,1.0838,0
-0.34531,0.61469,0.039966,-1.8069e-20,191,0.52598,1.2698,0
-0.40599,0,0,0,208,0.30902,0.95106,0
-0.37776,0.38174,0.010801,3.8906e-20,210,0.37591,1.1568,0
-0.28116,1.1919,0.17254,1.0641e-20,216,0.5338,1.6426,0
-0.39136,0.49001,0.032277,6.5411e-20,231,0.28397,1.1826,0
-0.35992,0.87508,0.11434,-3.8874e-20,233,0.32087,1.3362,0
-0.25384,1.2364,0.20593,-5.6705e-20,238,0.42578,1.7727,0
-0.43295,0.46337,0.04998,-1.2969e-20,272,0.089562,1.1377,0
-0.39172,0.90844,0.16771,1.0986e-20,274,0.1015,1.289,0
-0.47327,0,0,0,292,0,1,0
-0.38051,0,0,0,313,1,0,0
-0.36786,-0.024006,-0.19105,-9.8752e-21,319,1.212,0.095424,0
-0.38592,-0.043463,-0.22718,2.2098e-20,320,1.2925,0,0
-0.39219,-0.078832,-0.22085,5.258e-20,324,1.4555,0,0
-0.37257,-0.08784,-0.19414,2.5926e-20,325,1.4519,0.11435,0
-0.38246,-0.16699,-0.13163,-2.1146e-21,333,1.8155,0.14304,0
-0.4318,-0.16525,-0.049665,-1.1971e-20,338,2.1297,0,0
-0.42108,-0.1534,0.23643,1.8089e-20,348,2.7283,0,0
-0.34685,0,0,0,355,0.98769,0.15643,0
-0.34001,-0.21457,-0.027738,1.0299e-22,367,2.1071,0.33402,0
-0.33882,-0.01977,-0.13415,-8.1604e-21,378,1.1826,0.28397,0
-0.33885,-0.042163,-0.14157,-1.6368e-20,379,1.258,0.30208,0
-0.33739,-0.088005,-0.13499,-1.0429e-20,381,1.4172,0.34035,0
-0.30262,-0.13004,-0.071157,6.6706e-21,406,1.7344,0.56364,0
-0.25539,-0.11656,0.0077401,8.2874e-21,410,2.137,0.69452,0
-0.2093,-0.047431,0.096699,-4.6334e-20,413,2.4799,0.80599,0
-0.19496,-0.0096006,0.12863,2.3376e-20,414,2.6029,0.84595,0
-0.31481,0,0,0,418,0.92388,0.38268,0
-0.24727,-0.050798,-0.021243,-3.873e-20,430,1.973,0.81724,0
-0.31557,-0.023033,-0.051239,3.1072e-21,441,1.0838,0.5522,0
-0.30821,-0.057835,-0.065534,-2.7262e-20,444,1.2989,0.66178,0
-0.20088,0.13818,0.0002563,2.3791e-20,453,2.1054,1.0726,0
-0.31036,0,0,0,460,0.85264,0.5225,0
-0.2702,0.042551,-0.052284,-2.7407e-20,469,1.5546,0.95244,0
-0.31503,-0.02285,-0.012264,-4.2946e-21,483,0.98382,0.71472,0
-0.31011,-0.016089,-0.029219,1.5959e-20,485,1.1114,0.8074,0
-0.22682,0.37101,-0.026839,-4.7784e-20,493,1.7261,1.2538,0
-0.31073,-0.17072,0.41732,6.2634e-20,523,3.187,0.23587,0
-0.28705,-0.058385,0.59383,-1.9449e-20,528,3.8141,0,0
-0.26726,0.01656,0.55565,3.8714e-20,532,4.2681,0,0
-0.28474,0.083923,0.48449,3.2186e-20,533,4.2628,0.23492,0
-0.28796,0.34599,0.024448,-4.2182e-20,540,5.282,0,0
-0.30783,0.55176,-0.21332,-2.3266e-21,543,5.5544,0.23377,0
-0.23194,0.67812,-0.47664,7.8919e-20,547,6.1409,0.23326,0
-0.17406,0.63259,-0.52279,-7.7125e-20,548,6.4555,0,0
-0.10608,0.67308,-0.5551,-6.0332e-21,554,7.4555,0,0
-0.11465,0.58712,-0.48047,2.1183e-20,561,8.5669,0.23111,0
-0.15375,0.58173,-0.20969,-2.8508e-20,565,9.382,0.23039,0
-0.12855,0.8057,0.4174,8.2822e-21,570,10.726,0,0
-0.08115,0.80147,0.48089,-8.6066e-21,626,12.738,0.454,0
-0.29157,0.35465,0.31028,3.5175e-20,641,4.1971,0.69968,0
-0.34408,0.55644,0.11606,-1.7409e-20,643,4.6868,0.69847,0
-0.19449,0.87091,-0.55117,1.4316e-20,649,6.3905,0.6943,0
-0.081108,0.73507,-0.47417,-9.5817e-21,653,7.7527,0.69096,0
