"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.37344,0,0,0,82,0.70711,0.70711,0
-0.36421,-0.013981,0.04147,-4.0849e-20,87,0.85936,0.85936,0
-0.35995,0.15668,0.028221,2.7334e-20,92,0.89178,1.0442,0
-0.34144,0.6272,0.044618,1.5511e-21,101,1.2866,1.2866,0
-0.32321,1.2818,0.035589,-2.3886e-21,112,1.5316,1.7937,0
-0.2824,1.3188,-0.010865,-5.7437e-21,120,1.8605,2.1789,0
-0.38187,0.062754,0.018292,-7.1876e-21,126,0.71472,0.98382,0
-0.4119,0,0,0,145,0.5225,0.85264,0
-0.38058,0.39661,0.017157,-2.4979e-20,149,0.71792,1.1717,0
-0.3313,1.2182,0.08743,-4.9842e-20,155,1.0047,1.6399,0
-0.40944,0.21188,0.0034627,1.9864e-20,168,0.5522,1.0838,0
-0.40628,0.69429,0.046301,-1.2902e-20,191,0.52598,1.2698,0
-0.47682,0,0,0,208,0.30902,0.95106,0
-0.4454,0.42496,0.014727,5.0546e-20,210,0.37591,1.1568,0
-0.34381,1.2866,0.1644,1.0155e-20,216,0.5338,1.6426,0
-0.46474,0.54393,0.036591,8.0922e-20,231,0.28397,1.1826,0
-0.43008,0.96727,0.12008,-4.3705e-20,233,0.32087,1.3362,0
-0.31511,1.3149,0.19239,-6.0469e-20,238,0.42578,1.7727,0
-0.51843,0.50795,0.054712,-2.8793e-20,272,0.089562,1.1377,0
-0.47166,0.99267,0.17702,8.8028e-21,274,0.1015,1.289,0
-0.56632,0,0,0,292,0,1,0
-0.35799,0,0,0,313,1,0,0
-0.3624,-0.025698,0.19825,-1.6424e-21,319,1.212,0.095424,0
-0.36226,-0.043147,0.21844,-2.3561e-22,320,1.2925,0,0
-0.36579,-0.076788,0.26308,-3.499e-22,324,1.4555,0,0
-0.36627,-0.057789,0.28117,1.5283e-20,325,1.4519,0.11435,0
-0.38683,-0.078279,0.32459,3.0399e-20,333,1.8155,0.14304,0
-0.40469,-0.1371,0.32689,-1.2073e-21,338,2.1297,0,0
-0.45218,-0.077947,0.19457,-4.6142e-21,348,2.7283,0,0
-0.36505,0,0,0,355,0.98769,0.15643,0
-0.42518,0.03463,0.30394,-2.4764e-21,367,2.1071,0.33402,0
-0.36325,-0.02517,0.19475,-1.2264e-21,378,1.1826,0.28397,0
