"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.36669,0,0,0,82,0.70711,0.70711,0
-0.3577,-0.014828,0.040853,-4.0407e-20,87,0.85936,0.85936,0
-0.35335,0.15304,0.028356,2.7561e-20,92,0.89178,1.0442,0
-0.33376,0.61753,0.046318,1.0283e-21,101,1.2866,1.2866,0
-0.31691,1.2771,0.040694,-1.9218e-21,112,1.5316,1.7937,0
-0.27843,1.3191,-0.005021,-5.6981e-21,120,1.8605,2.1789,0
-0.37511,0.06086,0.018612,-7.3082e-21,126,0.71472,0.98382,0
-0.40481,0,0,0,145,0.5225,0.85264,0
-0.37374,0.39138,0.018042,-2.4656e-20,149,0.71792,1.1717,0
-0.32494,1.2126,0.090354,-4.9094e-20,155,1.0047,1.6399,0
-0.40236,0.20869,0.0041139,1.9787e-20,168,0.5522,1.0838,0
-0.39926,0.68824,0.04727,-1.2667e-20,191,0.52598,1.2698,0
-0.46926,0,0,0,208,0.30902,0.95106,0
-0.43805,0.42069,0.015302,5.0311e-20,210,0.37591,1.1568,0
-0.33787,1.2826,0.16655,1.0034e-20,216,0.5338,1.6426,0
-0.45731,0.53933,0.037027,8.0435e-20,231,0.28397,1.1826,0
-0.42311,0.9615,0.12088,-4.328e-20,233,0.32087,1.3362,0
-0.30968,1.3119,0.19458,-5.9687e-20,238,0.42578,1.7727,0
-0.51082,0.50427,0.054732,-2.9443e-20,272,0.089562,1.1377,0
-0.46458,0.98754,0.17726,8.4382e-21,274,0.1015,1.289,0
-0.5586,0,0,0,292,0,1,0
-0.35563,0,0,0,313,1,0,0
-0.35909,-0.026639,0.1888,-1.8324e-21,319,1.212,0.095424,0
-0.36007,-0.044931,0.20848,1.5057e-21,320,1.2925,0,0
-0.36331,-0.079301,0.25538,3.7144e-21,324,1.4555,0,0
-0.36245,-0.060344,0.27396,1.4835e-20,325,1.4519,0.11435,0
-0.38111,-0.082532,0.325,2.7795e-20,333,1.8155,0.14304,0
-0.39947,-0.14104,0.33571,-2.2216e-21,338,2.1297,0,0
-0.44742,-0.080519,0.22065,-3.646e-21,348,2.7283,0,0
-0.36059,0,0,0,355,0.98769,0.15643,0
-0.41603,0.028928,0.3122,-1.4802e-21,367,2.1071,0.33402,0
-0.3583,-0.025353,0.18716,-1.8093e-21,378,1.1826,0.28397,0
-0.35749,-0.02628,0.22787,-2.7111e-21,379,1.258,0.30208,0
-0.35836,-0.020092,0.27916,-4.7334e-21,381,1.4172,0.34035,0
-0.37036,0.087355,0.286,4.0408e-20,406,1.7344,0.56364,0
-0.42086,0.25954,0.23046,1.0545e-20,410,2.137,0.69452,0
-0.47443,0.43849,0.12351,5.9821e-20,413,2.4799,0.80599,0
-0.49115,0.5071,0.072787,7.3326e-21,414,2.6029,0.84595,0
-0.36179,0,0,0,418,0.92388,0.38268,0
-0.39155,0.28485,0.21053,2.9205e-20,430,1.973,0.81724,0
-0.3527,-0.030787,0.12308,1.8558e-21,441,1.0838,0.5522,0
-0.34298,0.01264,0.19627,-1.4075e-20,444,1.2989,0.66178,0
-0.40557,0.52732,0.10965,-2.3904e-20,453,2.1054,1.0726,0
-0.3589,0,0,0,460,0.85264,0.5225,0
-0.33925,0.21949,0.15252,1.6853e-20,469,1.5546,0.95244,0
-0.35103,-0.034577,0.073922,-7.3432e-21,483,0.98382,0.71472,0
-0.34074,-8.0255e-05,0.10148,1.4588e-20,485,1.1114,0.8074,0
-0.35552,0.62707,0.068067,2.5135e-20,493,1.7261,1.2538,0
-0.50934,0.17432,-0.038496,-5.1739e-20,523,3.187,0.23587,0
-0.39686,0.14715,-0.33412,4.1078e-20,528,3.8141,0,0
-0.31051,0.23684,-0.51614,1.9905e-20,532,4.2681,0,0
-0.33479,0.37629,-0.54795,-4.9273e-20,533,4.2628,0.23492,0
-0.18208,0.28412,-0.62965,1.364e-20,540,5.282,0,0
-0.1581,0.33212,-0.59456,-2.7808e-20,543,5.5544,0.23377,0
-0.1684,0.31194,-0.4433,-3.6043e-20,547,6.1409,0.23326,0
-0.21769,0.41785,-0.21767,1.7119e-19,548,6.4555,0,0
-0.18336,0.67254,0.35886,-6.0069e-20,554,7.4555,0,0
-0.094953,0.73803,0.52736,9.4433e-21,561,8.5669,0.23111,0
-0.090172,0.73214,0.52036,-7.0506e-21,565,9.382,0.23039,0
-0.14066,0.66072,0.35987,-9.4518e-21,570,10.726,0,0
-0.1184,0.89094,-0.44164,1.266e-20,626,12.738,0.454,0
-0.34518,0.68088,-0.56168,-7.3475e-20,641,4.1971,0.69968,0
-0.22309,0.64723,-0.58913,7.1778e-20,643,4.6868,0.69847,0
