"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.49324,0,0,0,82,0.70711,0.70711,0
-0.48144,0.015805,0.044574,-3.9528e-20,87,0.85936,0.85936,0
-0.48078,0.23373,0.011801,1.7206e-20,92,0.89178,1.0442,0
-0.47648,0.76385,-0.024515,-2.0018e-21,101,1.2866,1.2866,0
-0.39335,1.282,-0.058269,-2.1637e-20,112,1.5316,1.7937,0
-0.29965,1.2494,-0.083088,-4.3732e-21,120,1.8605,2.1789,0
-0.50037,0.10886,0.0043142,-2.9184e-21,126,0.71472,0.98382,0
-0.53316,0,0,0,145,0.5225,0.85264,0
-0.49902,0.48402,-0.0091743,-2.4175e-20,149,0.71792,1.1717,0
-0.42802,1.2618,0.025203,-8.2741e-20,155,1.0047,1.6399,0
-0.52853,0.2731,-0.015495,2.3187e-20,168,0.5522,1.0838,0
-0.52048,0.77953,0.02043,-2.1811e-20,191,0.52598,1.2698,0
-0.59739,0,0,0,208,0.30902,0.95106,0
-0.56287,0.4945,-0.0011052,4.8115e-20,210,0.37591,1.1568,0
-0.43282,1.3179,0.12134,1.2998e-20,216,0.5338,1.6426,0
-0.57997,0.61379,0.023614,8.1799e-20,231,0.28397,1.1826,0
-0.53674,1.0379,0.098106,-4.9868e-20,233,0.32087,1.3362,0
-0.39329,1.3314,0.15139,-7.5598e-20,238,0.42578,1.7727,0
-0.62932,0.56298,0.051017,-2.4941e-21,272,0.089562,1.1377,0
-0.57395,1.0545,0.16516,1.886e-20,274,0.1015,1.289,0
-0.67477,0,0,0,292,0,1,0
-0.37143,0,0,0,313,1,0,0
-0.3957,-0.038775,0.17701,-5.1108e-21,319,1.212,0.095424,0
-0.37837,-0.055052,0.15517,-2.654e-20,320,1.2925,0,0
-0.38365,-0.095541,0.12627,-6.4178e-20,324,1.4555,0,0
-0.40661,-0.084838,0.15201,7.7187e-21,325,1.4519,0.11435,0
-0.43244,-0.13187,0.042395,3.3333e-20,333,1.8155,0.14304,0
-0.40352,-0.20195,-0.105,1.5846e-20,338,2.1297,0,0
-0.37322,-0.20367,-0.37815,-1.8277e-20,348,2.7283,0,0
-0.41073,0,0,0,355,0.98769,0.15643,0
-0.48716,-0.057781,-0.076132,-1.7668e-20,367,2.1071,0.33402,0
-0.43016,-0.041484,0.19638,1.5807e-20,378,1.1826,0.28397,0
-0.43341,-0.044833,0.20501,2.1742e-20,379,1.258,0.30208,0
-0.44548,-0.043976,0.1848,-2.2348e-21,381,1.4172,0.34035,0
-0.50138,0.067312,0.077661,2.3498e-20,406,1.7344,0.56364,0
-0.53483,0.2198,-0.11156,-5.8701e-21,410,2.137,0.69452,0
-0.50659,0.36766,-0.28492,-8.2384e-20,413,2.4799,0.80599,0
-0.48065,0.41546,-0.3376,6.6852e-20,414,2.6029,0.84595,0
-0.45682,0,0,0,418,0.92388,0.38268,0
-0.53528,0.30703,-0.057916,1.2977e-20,430,1.973,0.81724,0
-0.46084,-0.035575,0.15641,8.0794e-21,441,1.0838,0.5522,0
-0.46993,0.036046,0.16123,3.4701e-20,444,1.2989,0.66178,0
-0.52227,0.61835,-0.16338,1.5164e-20,453,2.1054,1.0726,0
-0.47351,0,0,0,460,0.85264,0.5225,0
-0.50146,0.32637,0.036131,2.4983e-20,469,1.5546,0.95244,0
-0.47052,-0.02216,0.0995,-8.7715e-21,483,0.98382,0.71472,0
-0.46847,0.047857,0.10665,-1.6049e-21,485,1.1114,0.8074,0
-0.49946,0.78337,-0.086525,-2.8605e-20,493,1.7261,1.2538,0
-0.35168,-0.10402,-0.52997,-3.9258e-20,523,3.187,0.23587,0
-0.31114,-0.045585,-0.50056,-3.7649e-21,528,3.8141,0,0
-0.32471,0.10149,-0.31643,-5.3713e-20,532,4.2681,0,0
-0.27419,0.01359,-0.3946,-4.3914e-20,533,4.2628,0.23492,0
-0.28661,0.43459,0.28729,3.3107e-20,540,5.282,0,0
-0.21349,0.40297,0.35854,-7.3989e-20,543,5.5544,0.23377,0
-0.1516,0.52609,0.53493,3.2032e-20,547,6.1409,0.23326,0
-0.13928,0.62107,0.58255,3.3946e-20,548,6.4555,0,0
-0.11627,0.58059,0.55406,3.585e-20,554,7.4555,0,0
-0.19565,0.60938,0.24066,-5.0308e-21,561,8.5669,0.23111,0
-0.18993,0.76491,-0.22779,3.9394e-21,565,9.382,0.23039,0
-0.091989,0.82978,-0.49382,-3.4333e-21,570,10.726,0,0
-0.078749,0.73108,-0.40155,-1.6933e-20,626,12.738,0.454,0
-0.16104,0.055966,-0.46856,3.1859e-20,641,4.1971,0.69968,0
-0.14171,0.066237,-0.26299,-8.9228e-21,643,4.6868,0.69847,0
-0.09269,0.46314,0.50038,-1.6224e-20,649,6.3905,0.6943,0
-0.14953,0.56998,0.5225,2.2026e-20,653,7.7527,0.69096,0
-0.061845,0.83686,-0.43006,7.9377e-21,662,11.654,0.68139,0
-0.29379,0.43991,-0.46672,8.9164e-20,675,3.2568,0.92918,0
-0.18905,0.33898,-0.47444,-4.0622e-20,677,3.6808,0.9279,0
-0.072702,0.15651,-0.035963,-5.7208e-20,683,5.1561,0.92345,0
-0.34303,0.69987,-0.40077,1.978e-22,712,2.9753,1.1514,0
-0.082571,0.3978,-0.37407,1.6309e-20,717,4.0596,1.1477,0
-0.028287,0.32716,0.29311,6.0667e-20,724,5.9526,1.1414,0
-0.19987,1.0169,-0.28012,5.2604e-21,733,9.2192,1.1304,0
-0.006017,0.4206,-0.24564,1.7119e-20,757,4.4592,1.3602,0
0.020222,0.26095,-0.021684,-1.7328e-21,760,5.2716,1.3574,0
-0.072438,0.5743,0.48174,-2.4392e-21,766,7.19,1.3508,0
-0.19527,0.91525,0.11333,-3.3649e-20,769,8.319,1.347,0
-0.081759,0.99425,-0.42737,-1.7823e-20,774,10.499,1.3395,0
-0.16468,0.87648,-0.31207,-4.6934e-20,791,3.3928,1.5691,0
-0.071883,0.74959,-0.26399,-7.8724e-21,793,3.8541,1.5676,0
0.041492,0.43987,-0.1055,2.8354e-20,797,4.8843,1.5643,0
0.026452,0.3954,0.26042,-4.4307e-20,801,6.0767,1.5606,0
-0.040732,0.9054,-0.35764,1.9847e-21,814,11.41,1.5437,0
-0.25902,1.085,-0.2648,8.7283e-20,828,2.8331,1.7658,0
-0.10027,0.94621,-0.20357,4.1317e-20,871,3.586,1.9485,0
-0.025397,0.84671,-0.14228,-4.0007e-21,873,4.0873,1.9478,0
0.053532,0.69267,-0.0072375,1.8624e-21,876,4.9116,1.9466,0
0.069054,0.59364,0.099489,3.1376e-21,878,5.5135,1.9457,0
0.0066863,0.92806,0.23204,-8.6168e-21,961,6.7218,2.3126,0
0.039671,0.91435,0.067387,-1.254e-20,996,5.0613,2.5172,0
0.050029,0.92922,0.15082,-6.4866e-21,998,5.6893,2.5172,0
-0.05447,1.1813,0.09941,-2.885e-20,1003,7.4758,2.5172,0
-0.039043,1.0921,-0.25057,-1.8538e-21,1049,10.099,2.736,0
-0.015504,0.98331,-0.24256,-8.1263e-21,1051,11.109,2.736,0
-0.051582,1.1893,-0.18117,1.0396e-20,1087,9.1598,2.97,0
0.0040084,0.89679,-0.18364,5.582e-21,1093,12.196,2.97,0
0.0099896,1.0076,0.048153,9.6944e-21,1116,5.0613,3.2202,0
-0.00016389,1.1289,0.053196,9.0799e-22,1201,6.7218,3.7739,0
-0.016407,1.1217,-0.10429,3.9878e-21,1247,9.1598,4.08,0
0.002835,1.0054,-0.13645,4.9218e-22,1251,11.109,4.08,0
-0.0057039,1.1014,0.013534,-3.2373e-22,1321,6.7218,4.7572,0
0.015721,0.96528,-0.08015,0,1333,12.196,4.7572,0
-0.13826,1.1418,0.11262,3.8187e-20,2145,-4.3934e-16,3.1819,0
-0.10131,1.1126,0.086374,-1.8999e-20,2175,-4.2301e-16,3.807,0
-0.080682,1.0964,0.072325,-9.66e-21,2195,-4.1015e-16,4.2993,0
0.067388,0.92805,0.28111,4.7708e-20,2456,-1.5845,1.5845,0
0.036301,0.88726,0.46308,-5.0944e-20,2468,-1.1532,1.1532,0
-0.097089,0.93219,0.60878,-4.678e-20,2475,-0.89178,1.0442,0
-0.18062,0.85507,0.65861,-2.8759e-22,2479,-0.78951,0.92446,0
-0.26434,0,0,0,2484,-0.64945,0.76041,0
-0.10293,1.0057,0.51113,7.8541e-20,2499,-0.90709,1.2487,0
-0.23942,1.0743,0.58463,5.6178e-21,2522,-0.71792,1.1717,0
-0.44358,0,0,0,2527,-0.5225,0.85264,0
-0.064213,1.0603,0.26187,-1.8375e-20,2533,-1.0726,2.1054,0
-0.41502,1.037,0.5608,-1.8574e-20,2545,-0.5522,1.0838,0
-0.57709,0,0,0,2569,-0.38268,0.92388,0
-0.41068,1.2329,0.48072,5.8227e-21,2585,-0.42475,1.3071,0
-0.52515,1.0842,0.44327,-6.5652e-20,2587,-0.37591,1.1568,0
-0.67361,0,0,0,2632,-0.15643,0.98769,0
-0.22036,1.2024,0.20786,-6.6359e-20,2639,-0.17623,2.2362,0
-0.31357,1.2658,0.27121,-1.0989e-20,2643,-0.14304,1.8155,0
-0.51145,1.2753,0.32262,-1.6704e-19,2648,-0.10781,1.369,0
-0.6047,0.99852,0.23435,3.1453e-20,2650,-0.095424,1.212,0
-0.63978,0.72867,0.15051,6.1943e-20,2651,-0.089562,1.1377,0
0.25028,0.77419,0.010354,-5.7574e-23,2660,-2.5997,0,0
0.31449,0.68608,0.014113,-1.5986e-22,2668,-2.1297,0,0
0.41037,0.51891,0.084183,-4.1983e-20,2679,-1.6271,0.12817,0
0.48816,0.34927,0.025761,-1.1498e-21,2684,-1.3725,0,0
0.5288,0.20259,0.028503,1.4053e-20,2688,-1.2153,0,0
0.56323,0.04943,0.019686,-1.1879e-21,2692,-1.0692,0,0
0.57347,0,0,0,2695,-1,0,0
0.45626,0.37881,0.19463,3.9447e-20,2711,-1.3568,0.21499,0
0.50291,0.15208,0.2172,-2.7647e-20,2714,-1.1273,0.17859,0
0.52722,0,0,0,2716,-0.98769,0.15643,0
0.36938,0.55805,0.20529,-8.8038e-20,2729,-1.5885,0.38151,0
0.1995,0.82415,0.11233,-6.234e-21,2740,-2.6029,0.84595,0
0.29039,0.68556,0.19859,1.446e-20,2747,-1.8296,0.59459,0
0.33742,0.58918,0.26057,5.8683e-20,2750,-1.5541,0.50503,0
0.38056,0.45334,0.34806,-4.9642e-20,2753,-1.3071,0.42475,0
0.4007,0.23677,0.38633,9.7513e-20,2756,-1.0857,0.35279,0
0.41467,0,0,0,2758,-0.95106,0.30902,0
0.254,0.67118,0.3555,-1.4316e-20,2792,-1.456,0.74178,0
0.24937,0.36177,0.51593,-1.916e-19,2798,-1.0172,0.51827,0
0.24835,0,0,0,2800,-0.89101,0.45399,0
0.18247,0.80084,0.27659,9.1772e-22,2809,-1.7284,1.0589,0
0.20433,0.72027,0.39351,1.634e-20,2813,-1.393,0.85347,0
0.20148,0.63227,0.52233,6.5569e-20,2816,-1.1717,0.71792,0
0.065528,0.50928,0.59213,2.5625e-19,2840,-0.92341,0.67086,0
0.047764,0,0,0,2842,-0.80902,0.58779,0
0.090262,0.93303,0.17062,2.7145e-20,2844,-2.2843,1.9505,0
0.094352,0.82943,0.44774,-5.0337e-20,2855,-1.2411,1.0599,0
0.054893,0.77943,0.58843,-1.2634e-20,2858,-1.0442,0.89178,0
0.13985,0.9058,0.004484,1.0958e-21,2912,-4.3358,0,0
0.16568,0.87408,0.035199,-5.1608e-21,2951,-3.5732,0.46918,0
0.15415,0.88371,0.063051,-1.4415e-20,3011,-3.47,0.92747,0
0.053896,0.98346,0.076454,2.8664e-21,3372,-3.8187,3.4878,0
-0.02203,1.0472,0.098719,1.3807e-21,4180,-1.5637,4.1771,0
-0.3108,0,0,0,4394,0.64945,-0.76041,0
-0.3487,0,0,0,4402,0.45399,-0.89101,0
-0.3846,0,0,0,4406,0.30902,-0.95106,0
-0.42474,0,0,0,4410,0.15643,-0.98769,0
-0.39745,0.69672,-0.11095,-1.3653e-20,4436,0.095424,-1.212,0
-0.31364,0.20988,-0.00653,6.8648e-21,4441,0.67593,-1.1031,0
-0.31485,0.46475,-0.025031,1.1841e-20,4453,0.62391,-1.2246,0
-0.34654,1.1196,-0.27481,1.27e-19,4459,-8.2717e-17,-1.3725,0
-0.30174,1.041,-0.14476,-3.1725e-20,4477,0.47729,-1.4687,0
-0.26894,0.26762,-0.0015603,-1.5861e-20,4483,1.1532,-1.1532,0
-0.28072,0.76453,-0.056868,-1.2398e-20,4485,0.85347,-1.393,0
-0.20503,1.2161,-0.28162,-2.7221e-20,4514,-1.8199e-16,-1.8196,0
-0.1359,1.1729,-0.23067,5.2425e-20,4558,-2.7552e-16,-2.2408,0
-0.20655,1.1308,-0.088915,9.6271e-21,4559,1.5316,-1.7937,0
-0.18637,1.242,-0.079382,-6.7876e-21,4615,2.1213,-2.1213,0
-0.33606,0,0,0,4627,0.98769,-0.15643,0
-0.31065,0,0,0,4631,0.95106,-0.30902,0
