"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.46449,0,0,0,82,0.70711,0.70711,0
-0.4527,0.004744,0.04545,-4.2604e-20,87,0.85936,0.85936,0
-0.45051,0.21235,0.01922,2.1333e-20,92,0.89178,1.0442,0
-0.4449,0.74198,0.0026209,2.7691e-21,101,1.2866,1.2866,0
-0.38824,1.3041,-0.035426,-1.3897e-20,112,1.5316,1.7937,0
-0.31029,1.2842,-0.074815,-5.3904e-21,120,1.8605,2.1789,0
-0.47221,0.094725,0.0095808,-4.7263e-21,126,0.71472,0.98382,0
-0.50527,0,0,0,145,0.5225,0.85264,0
-0.47131,0.46546,-0.00027711,-2.626e-20,149,0.71792,1.1717,0
-0.40916,1.2662,0.042607,-6.9244e-20,155,1.0047,1.6399,0
-0.50172,0.2578,-0.0091278,2.1906e-20,168,0.5522,1.0838,0
-0.49583,0.76599,0.028742,-1.8498e-20,191,0.52598,1.2698,0
-0.57231,0,0,0,208,0.30902,0.95106,0
-0.5383,0.4803,0.0040969,5.0539e-20,210,0.37591,1.1568,0
-0.41561,1.3215,0.13276,1.2125e-20,216,0.5338,1.6426,0
-0.55693,0.601,0.028048,8.3829e-20,231,0.28397,1.1826,0
-0.51573,1.0302,0.1053,-4.8875e-20,233,0.32087,1.3362,0
-0.37911,1.3373,0.16163,-7.1705e-20,238,0.42578,1.7727,0
-0.60938,0.55313,0.052797,-1.2599e-20,272,0.089562,1.1377,0
-0.55572,1.0483,0.16995,1.5592e-20,274,0.1015,1.289,0
-0.65668,0,0,0,292,0,1,0
-0.38091,0,0,0,313,1,0,0
-0.39938,-0.028209,0.23478,-2.9112e-21,319,1.212,0.095424,0
-0.38602,-0.041495,0.2366,-2.0782e-20,320,1.2925,0,0
-0.39231,-0.075941,0.23492,-4.9581e-20,324,1.4555,0,0
-0.40978,-0.06051,0.255,1.5761e-20,325,1.4519,0.11435,0
-0.4432,-0.086957,0.18955,4.5253e-20,333,1.8155,0.14304,0
-0.43504,-0.15813,0.079155,1.0275e-20,338,2.1297,0,0
-0.43039,-0.14194,-0.20372,-1.6633e-20,348,2.7283,0,0
-0.41304,0,0,0,355,0.98769,0.15643,0
-0.50555,0.016398,0.085644,-1.4383e-20,367,2.1071,0.33402,0
-0.42326,-0.032349,0.23417,9.2169e-21,378,1.1826,0.28397,0
-0.42503,-0.030864,0.26019,1.2658e-20,379,1.258,0.30208,0
-0.43473,-0.019393,0.26795,-5.8733e-21,381,1.4172,0.34035,0
-0.48384,0.10766,0.1848,4.4209e-20,406,1.7344,0.56364,0
