"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.32778,0,0,0,82,0.70711,0.70711,0
-0.32037,-0.018067,0.03523,-3.6924e-20,87,0.85936,0.85936,0
-0.31553,0.13292,0.026757,2.8646e-20,92,0.89178,1.0442,0
-0.2884,0.55596,0.051276,-3.7154e-21,101,1.2866,1.2866,0
-0.2751,1.2385,0.070415,-4.6576e-22,112,1.5316,1.7937,0
-0.24922,1.3121,0.03359,-5.1962e-21,120,1.8605,2.1789,0
-0.33598,0.051292,0.01914,-8.0855e-21,126,0.71472,0.98382,0
-0.36336,0,0,0,145,0.5225,0.85264,0
-0.33382,0.3601,0.021696,-2.2077e-20,149,0.71792,1.1717,0
-0.28595,1.1725,0.10623,-4.722e-20,155,1.0047,1.6399,0
-0.36081,0.19059,0.0069512,1.9583e-20,168,0.5522,1.0838,0
-0.35759,0.65007,0.051805,-1.1898e-20,191,0.52598,1.2698,0
-0.42403,0,0,0,208,0.30902,0.95106,0
-0.39416,0.3949,0.017963,4.8204e-20,210,0.37591,1.1568,0
-0.30174,1.2535,0.17854,9.408e-21,216,0.5338,1.6426,0
-0.41257,0.51093,0.038935,7.6721e-20,231,0.28397,1.1826,0
-0.38094,0.92371,0.12455,-4.0696e-20,233,0.32087,1.3362,0
-0.27636,1.2902,0.20727,-5.5205e-20,238,0.42578,1.7727,0
-0.46423,0.48147,0.05444,-3.1562e-20,272,0.089562,1.1377,0
-0.42112,0.95375,0.17775,6.7343e-21,274,0.1015,1.289,0
-0.51081,0,0,0,292,0,1,0
-0.34664,0,0,0,313,1,0,0
-0.34371,-0.033928,0.10781,-4.0698e-21,319,1.212,0.095424,0
-0.35253,-0.057594,0.11896,1.3435e-20,320,1.2925,0,0
-0.35448,-0.097749,0.17465,3.1571e-20,324,1.4555,0,0
-0.34434,-0.081466,0.1979,1.2847e-20,325,1.4519,0.11435,0
-0.35015,-0.1217,0.29276,8.1412e-21,333,1.8155,0.14304,0
-0.36958,-0.1798,0.35443,-9.1629e-21,338,2.1297,0,0
-0.40071,-0.12247,0.36775,3.6034e-21,348,2.7283,0,0
-0.33675,0,0,0,355,0.98769,0.15643,0
-0.35755,-0.029501,0.33493,6.3023e-21,367,2.1071,0.33402,0
-0.33155,-0.027697,0.12299,-5.4944e-21,378,1.1826,0.28397,0
-0.33026,-0.034649,0.15916,-8.6442e-21,379,1.258,0.30208,0
-0.32783,-0.041573,0.21583,-4.0894e-21,381,1.4172,0.34035,0
-0.32009,0.039663,0.26555,2.7059e-20,406,1.7344,0.56364,0
-0.3475,0.19256,0.26693,9.4978e-21,410,2.137,0.69452,0
-0.39266,0.36684,0.2096,6.3653e-20,413,2.4799,0.80599,0
-0.41091,0.4344,0.17588,-7.7268e-21,414,2.6029,0.84595,0
-0.32678,0,0,0,418,0.92388,0.38268,0
-0.32361,0.21968,0.22908,1.68e-20,430,1.973,0.81724,0
-0.31842,-0.02943,0.088968,7.4752e-22,441,1.0838,0.5522,0
-0.30666,-0.0053966,0.15752,-2.4413e-20,444,1.2989,0.66178,0
-0.33105,0.44092,0.15133,-2.0543e-20,453,2.1054,1.0726,0
-0.32136,0,0,0,460,0.85264,0.5225,0
-0.28955,0.1685,0.14216,5.6599e-21,469,1.5546,0.95244,0
-0.31494,-0.034445,0.056706,-6.2644e-21,483,0.98382,0.71472,0
-0.30477,-0.010887,0.079933,1.6447e-20,485,1.1114,0.8074,0
-0.29542,0.54235,0.085513,1.93e-20,493,1.7261,1.2538,0
-0.4695,0.1405,0.16652,-3.3053e-20,523,3.187,0.23587,0
-0.421,0.14526,-0.10894,4.1743e-20,528,3.8141,0,0
-0.36,0.26264,-0.35859,3.6361e-20,532,4.2681,0,0
-0.39674,0.41065,-0.40766,-3.2952e-20,533,4.2628,0.23492,0
-0.19061,0.42015,-0.60732,1.4909e-21,540,5.282,0,0
-0.16253,0.50174,-0.60091,-3.2097e-20,543,5.5544,0.23377,0
-0.13758,0.4283,-0.57101,-6.5311e-21,547,6.1409,0.23326,0
-0.16752,0.37488,-0.52934,1.1124e-19,548,6.4555,0,0
-0.20712,0.56838,0.022633,-9.3669e-20,554,7.4555,0,0
-0.12071,0.71847,0.45514,1.6086e-20,561,8.5669,0.23111,0
-0.086199,0.76984,0.51633,-4.1589e-21,565,9.382,0.23039,0
-0.097342,0.71632,0.48008,-4.2596e-21,570,10.726,0,0
-0.16137,0.85336,-0.24502,1.6524e-20,626,12.738,0.454,0
-0.41871,0.72876,-0.45398,-6.6135e-20,641,4.1971,0.69968,0
-0.29637,0.74733,-0.58118,8.8744e-20,643,4.6868,0.69847,0
-0.09148,0.49272,-0.46584,-2.0844e-20,649,6.3905,0.6943,0
-0.10952,0.48313,0.051389,3.4484e-22,653,7.7527,0.69096,0
-0.17091,0.79374,0.23803,-4.4017e-21,662,11.654,0.68139,0
-0.48525,0.70254,-0.057839,-6.3427e-22,675,3.2568,0.92918,0
-0.48074,0.81346,-0.25704,-1.2801e-22,677,3.6808,0.9279,0
-0.17824,0.7904,-0.55718,-1.0292e-20,683,5.1561,0.92345,0
-0.44844,0.80968,-0.019124,4.0917e-20,712,2.9753,1.1514,0
-0.38869,1.0125,-0.43576,-1.528e-21,717,4.0596,1.1477,0
-0.071934,0.69486,-0.41482,2.0727e-20,724,5.9526,1.1414,0
-0.048776,0.69323,0.4435,1.1468e-20,733,9.2192,1.1304,0
-0.26662,1.0532,-0.48347,3.4606e-20,757,4.4592,1.3602,0
-0.12686,0.87275,-0.45807,-3.1629e-20,760,5.2716,1.3574,0
-0.023126,0.48311,-0.2143,1.0065e-21,766,7.19,1.3508,0
-0.027264,0.54101,0.19183,-3.0863e-20,769,8.319,1.347,0
-0.086495,0.78661,0.49025,-5.2663e-20,774,10.499,1.3395,0
-0.38009,1.2175,-0.24534,-3.8247e-20,791,3.3928,1.5691,0
-0.33576,1.2012,-0.3627,-6.0965e-20,793,3.8541,1.5676,0
-0.1658,0.99142,-0.43988,-4.2172e-20,797,4.8843,1.5643,0
-0.040556,0.75001,-0.31902,7.0644e-21,801,6.0767,1.5606,0
-0.14591,0.93335,0.23684,-1.7344e-20,814,11.41,1.5437,0
-0.3436,1.2763,-0.11368,4.4532e-20,828,2.8331,1.7658,0
-0.28195,1.2733,-0.26005,5.6984e-20,871,3.586,1.9485,0
-0.23046,1.1881,-0.32831,7.9714e-21,873,4.0873,1.9478,0
-0.12998,1.0145,-0.35328,-3.1922e-20,876,4.9116,1.9466,0
-0.069547,0.89884,-0.31769,-6.4736e-21,878,5.5135,1.9457,0
0.012528,0.78224,-0.12753,-5.1038e-21,961,6.7218,2.3126,0
-0.083122,1.0063,-0.24779,9.5709e-21,996,5.0613,2.5172,0
-0.038642,0.91932,-0.21503,5.9907e-21,998,5.6893,2.5172,0
0.036292,0.75035,-0.0041407,-5.3799e-21,1003,7.4758,2.5172,0
-0.0021231,0.91011,0.293,3.9651e-21,1049,10.099,2.736,0
-0.061974,1.1295,0.12216,-1.46e-20,1051,11.109,2.736,0
0.03865,0.84824,0.21709,1.3647e-21,1087,9.1598,2.97,0
-0.06161,1.2254,-0.15049,2.4034e-20,1093,12.196,2.97,0
-0.060497,1.0214,-0.16275,8.0848e-21,1116,5.0613,3.2202,0
0.010303,0.93679,-0.041101,-3.0361e-21,1201,6.7218,3.7739,0
0.031491,1.0325,0.1126,-2.8019e-21,1247,9.1598,4.08,0
-0.002631,1.1785,0.015853,-1.6779e-21,1251,11.109,4.08,0
0.0036977,0.98986,-0.020502,2.4957e-21,1321,6.7218,4.7572,0
0.001098,1.1184,-0.058422,0,1333,12.196,4.7572,0
-0.08952,1.1461,0.13969,3.1646e-20,2145,-4.3934e-16,3.1819,0
-0.064478,1.1227,0.10544,-1.6785e-20,2175,-4.2301e-16,3.807,0
-0.050552,1.1082,0.085865,-8.8901e-21,2195,-4.1015e-16,4.2993,0
0.10608,0.91483,0.28237,4.1013e-20,2456,-1.5845,1.5845,0
0.085845,0.86627,0.45707,-4.5943e-20,2468,-1.1532,1.1532,0
-0.032553,0.90333,0.59763,-4.282e-20,2475,-0.89178,1.0442,0
-0.10779,0.82229,0.63948,-1.033e-22,2479,-0.78951,0.92446,0
-0.18281,0,0,0,2484,-0.64945,0.76041,0
-0.038353,0.97783,0.50759,6.9373e-20,2499,-0.90709,1.2487,0
