"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.37027,0,0,0,82,0.70711,0.70711,0
-0.36116,-0.014416,0.041167,-4.0626e-20,87,0.85936,0.85936,0
-0.35686,0.15484,0.028299,2.7447e-20,92,0.89178,1.0442,0
-0.3378,0.62236,0.045497,1.2945e-21,101,1.2866,1.2866,0
-0.32029,1.2795,0.038157,-2.145e-21,112,1.5316,1.7937,0
-0.28067,1.319,-0.0079484,-5.7228e-21,120,1.8605,2.1789,0
-0.3787,0.061794,0.018458,-7.2551e-21,126,0.71472,0.98382,0
-0.40856,0,0,0,145,0.5225,0.85264,0
-0.37736,0.39399,0.017609,-2.4816e-20,149,0.71792,1.1717,0
-0.32833,1.2154,0.088906,-4.9451e-20,155,1.0047,1.6399,0
-0.4061,0.21027,0.0037948,1.9826e-20,168,0.5522,1.0838,0
-0.40298,0.69127,0.046793,-1.2783e-20,191,0.52598,1.2698,0
-0.47324,0,0,0,208,0.30902,0.95106,0
-0.44193,0.42282,0.01502,5.0427e-20,210,0.37591,1.1568,0
-0.34105,1.2846,0.16549,1.0094e-20,216,0.5338,1.6426,0
-0.46122,0.54163,0.036813,8.0676e-20,231,0.28397,1.1826,0
-0.4268,0.96439,0.12049,-4.349e-20,233,0.32087,1.3362,0
-0.3126,1.3134,0.19349,-6.0075e-20,238,0.42578,1.7727,0
-0.51482,0.50611,0.054725,-2.9118e-20,272,0.089562,1.1377,0
-0.46832,0.99011,0.17714,8.6194e-21,274,0.1015,1.289,0
-0.56266,0,0,0,292,0,1,0
-0.35703,0,0,0,313,1,0,0
-0.36096,-0.026155,0.19363,-1.7507e-21,319,1.212,0.095424,0
-0.36138,-0.044023,0.21359,6.32e-22,320,1.2925,0,0
-0.36477,-0.078019,0.25939,1.6684e-21,324,1.4555,0,0
-0.36459,-0.059031,0.27772,1.5081e-20,325,1.4519,0.11435,0
-0.38423,-0.080331,0.32497,2.9145e-20,333,1.8155,0.14304,0
-0.40238,-0.13899,0.33148,-1.7116e-21,338,2.1297,0,0
-0.45016,-0.079127,0.20766,-4.1817e-21,348,2.7283,0,0
-0.36306,0,0,0,355,0.98769,0.15643,0
-0.42093,0.031897,0.30822,-1.9526e-21,367,2.1071,0.33402,0
-0.361,-0.025251,0.19103,-1.5184e-21,378,1.1826,0.28397,0
-0.36024,-0.025822,0.23181,-2.2739e-21,379,1.258,0.30208,0
-0.3614,-0.018869,0.28231,-4.8401e-21,381,1.4172,0.34035,0
-0.37487,0.090113,0.28579,4.1315e-20,406,1.7344,0.56364,0
-0.42673,0.26327,0.22603,1.0568e-20,410,2.137,0.69452,0
-0.48039,0.44243,0.11558,5.8131e-20,413,2.4799,0.80599,0
-0.49677,0.51118,0.063659,8.3091e-21,414,2.6029,0.84595,0
-0.36506,0,0,0,418,0.92388,0.38268,0
