"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.46178,0,0,0,82,0.70711,0.70711,0
-0.45003,0.0039715,0.045434,-4.2715e-20,87,0.85936,0.85936,0
-0.44774,0.21057,0.019685,2.1618e-20,92,0.89178,1.0442,0
-0.44184,0.73929,0.00444,2.9461e-21,101,1.2866,1.2866,0
-0.38693,1.3048,-0.033358,-1.339e-20,112,1.5316,1.7937,0
-0.31022,1.2863,-0.073501,-5.4372e-21,120,1.8605,2.1789,0
-0.46954,0.093616,0.0099529,-4.8388e-21,126,0.71472,0.98382,0
-0.50256,0,0,0,145,0.5225,0.85264,0
-0.46865,0.4636,0.00038331,-2.6335e-20,149,0.71792,1.1717,0
-0.40708,1.2657,0.044045,-6.8377e-20,155,1.0047,1.6399,0
-0.49907,0.25642,-0.0086531,2.1818e-20,168,0.5522,1.0838,0
-0.49333,0.76432,0.029377,-1.8264e-20,191,0.52598,1.2698,0
-0.5697,0,0,0,208,0.30902,0.95106,0
-0.53575,0.47884,0.0044884,5.065e-20,210,0.37591,1.1568,0
-0.4137,1.3212,0.13374,1.2059e-20,216,0.5338,1.6426,0
-0.55446,0.59958,0.028374,8.3879e-20,231,0.28397,1.1826,0
-0.51345,1.029,0.10584,-4.8755e-20,233,0.32087,1.3362,0
-0.37746,1.3372,0.16253,-7.1367e-20,238,0.42578,1.7727,0
-0.60708,0.55202,0.052905,-1.3303e-20,272,0.089562,1.1377,0
-0.55359,1.0471,0.17027,1.5341e-20,274,0.1015,1.289,0
-0.65447,0,0,0,292,0,1,0
-0.3809,0,0,0,313,1,0,0
-0.39886,-0.02762,0.23671,-2.7537e-21,319,1.212,0.095424,0
-0.38589,-0.040773,0.2399,-2.0206e-20,320,1.2925,0,0
-0.39216,-0.074872,0.24008,-4.8146e-20,324,1.4555,0,0
-0.40912,-0.059236,0.25983,1.6064e-20,325,1.4519,0.11435,0
-0.44263,-0.084643,0.19785,4.5444e-20,333,1.8155,0.14304,0
-0.43596,-0.15539,0.090714,1.1283e-20,338,2.1297,0,0
-0.43389,-0.13743,-0.19035,-1.6399e-20,348,2.7283,0,0
-0.4123,0,0,0,355,0.98769,0.15643,0
-0.50481,0.019986,0.095776,-1.3926e-20,367,2.1071,0.33402,0
-0.42192,-0.03181,0.23512,8.76e-21,378,1.1826,0.28397,0
-0.42357,-0.030133,0.26213,1.2037e-20,379,1.258,0.30208,0
-0.43301,-0.018252,0.27175,-5.9889e-21,381,1.4172,0.34035,0
-0.48123,0.10914,0.19084,4.4948e-20,406,1.7344,0.56364,0
-0.54009,0.28459,0.0299,2.9449e-21,410,2.137,0.69452,0
-0.55539,0.46141,-0.15345,-2.5172e-20,413,2.4799,0.80599,0
-0.54601,0.52494,-0.22184,5.6031e-20,414,2.6029,0.84595,0
-0.44097,0,0,0,418,0.92388,0.38268,0
-0.52126,0.34201,0.059205,3.1136e-20,430,1.973,0.81724,0
-0.43661,-0.033626,0.16294,5.3781e-21,441,1.0838,0.5522,0
-0.43781,0.037703,0.20408,1.9099e-20,444,1.2989,0.66178,0
-0.52538,0.64367,-0.065234,-5.5823e-21,453,2.1054,1.0726,0
-0.44802,0,0,0,460,0.85264,0.5225,0
-0.46204,0.31158,0.0982,3.0231e-20,469,1.5546,0.95244,0
-0.4407,-0.027733,0.097725,-9.1003e-21,483,0.98382,0.71472,0
-0.43419,0.032708,0.11821,4.1225e-21,485,1.1114,0.8074,0
-0.47641,0.77199,-0.027388,2.6541e-22,493,1.7261,1.2538,0
-0.42702,0.050911,-0.42299,-5.6564e-20,523,3.187,0.23587,0
-0.29069,-0.038631,-0.59079,2.2998e-20,528,3.8141,0,0
-0.25766,0.014027,-0.59401,-3.1497e-20,532,4.2681,0,0
-0.23998,0.055807,-0.61494,-4.2422e-20,533,4.2628,0.23492,0
-0.27963,0.31461,-0.12111,4.1448e-20,540,5.282,0,0
-0.22837,0.30908,-0.018205,-6.1576e-20,543,5.5544,0.23377,0
-0.19254,0.476,0.31983,2.6523e-20,547,6.1409,0.23326,0
-0.18656,0.62576,0.48554,9.4143e-20,548,6.4555,0,0
-0.10761,0.68901,0.55763,-5.6139e-22,554,7.4555,0,0
-0.12913,0.6085,0.52875,2.8204e-21,561,8.5669,0.23111,0
-0.18454,0.64375,0.25914,-1.2449e-20,565,9.382,0.23039,0
-0.14044,0.78955,-0.36757,-9.811e-21,570,10.726,0,0
-0.066612,0.82137,-0.43585,-6.6931e-21,626,12.738,0.454,0
-0.18967,0.32813,-0.55028,-2.0048e-20,641,4.1971,0.69968,0
-0.13247,0.20979,-0.50594,6.8374e-21,643,4.6868,0.69847,0
-0.10111,0.41924,0.31422,-2.597e-20,649,6.3905,0.6943,0
-0.092003,0.61268,0.55212,8.8691e-21,653,7.7527,0.69096,0
-0.086737,0.90701,-0.46781,6.5463e-21,662,11.654,0.68139,0
-0.3981,0.64487,-0.46523,8.4968e-20,675,3.2568,0.92918,0
-0.27732,0.59676,-0.51576,-5.2154e-20,677,3.6808,0.9279,0
-0.069226,0.22444,-0.34618,-4.5872e-20,683,5.1561,0.92345,0
-0.43954,0.8542,-0.38535,2.065e-20,712,2.9753,1.1514,0
-0.15443,0.65615,-0.44866,6.3856e-21,717,4.0596,1.1477,0
-0.026659,0.29091,0.0083986,7.3515e-20,724,5.9526,1.1414,0
-0.19655,0.84477,0.18678,1.0808e-20,733,9.2192,1.1304,0
-0.062967,0.65335,-0.3381,2.5545e-20,757,4.4592,1.3602,0
0.0050863,0.40115,-0.22433,-2.4725e-20,760,5.2716,1.3574,0
-0.024727,0.51859,0.41475,3.2125e-21,766,7.19,1.3508,0
-0.10266,0.69046,0.4753,-3.6729e-20,769,8.319,1.347,0
-0.14883,1.0658,-0.37908,-1.9315e-20,774,10.499,1.3395,0
-0.24885,1.0128,-0.37405,-5.0474e-20,791,3.3928,1.5691,0
-0.15138,0.89309,-0.35916,-1.2435e-20,793,3.8541,1.5676,0
-0.00099433,0.62633,-0.21905,-1.348e-20,797,4.8843,1.5643,0
0.032543,0.38108,0.030133,-3.5938e-20,801,6.0767,1.5606,0
-0.07259,1.0062,-0.40051,2.409e-21,814,11.41,1.5437,0
-0.32034,1.1809,-0.28332,9.0339e-20,828,2.8331,1.7658,0
-0.16411,1.0263,-0.27866,5.1121e-20,871,3.586,1.9485,0
-0.086865,0.91718,-0.24754,-1.0989e-21,873,4.0873,1.9478,0
0.0095757,0.76631,-0.13129,-1.0357e-20,876,4.9116,1.9466,0
0.049175,0.65316,-0.035956,-1.0636e-20,878,5.5135,1.9457,0
0.057416,0.73188,0.19821,-5.501e-21,961,6.7218,2.3126,0
0.015492,0.87736,-0.041944,-6.3723e-21,996,5.0613,2.5172,0
0.048145,0.8517,0.05676,-2.444e-21,998,5.6893,2.5172,0
